Sample,,,,,,,SOTALOL HYDROCHLORIDE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,NALOXONE HYDROCHLORIDE Results,,FENSPIRIDE HYDROCHLORIDE Results,,PIDOTIMOD Results,,CLONIDINE HYDROCHLORIDE Results,,SUMATRIPTAN SUCCINATE Results,,NEOSTIGMINE BROMIDE Results,,TINIDAZOLE Results,,ROXATIDINE ACETATE HYDROCHLORIDE Results,,IS_EMETINE Results,,FAMCICLOVIR Results,,ZIDOVUDINE [AZT] Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,IS_SULFAMETHOXAZOLE Results,,BRIVUDINE Results,,DIACETAMATE Results,,IS_EYTHROMYCINE Results,,VILAZODONE HYDROCHLORIDE Results,,PHENAZOPYRIDINE HYDROCHLORIDE Results,,OMEPRAZOLE Results,,DILTIAZEM HYDROCHLORIDE Results,,PERICIAZINE Results,,PANTOPRAZOLE Results,,ERGOTAMINE TARTRATE Results,,FLUOXETINE Results,,RAMIPRIL Results,,BENAZEPRIL HYDROCHLORIDE Results,,ENTACAPONE Results,,METAXALONE Results,,MEBENDAZOLE Results,,RILUZOLE Results,,CETIRIZINE HYDROCHLORIDE Results,,QUINAPRIL HYDROCHLORIDE Results,,DICYCLOMINE HYDROCHLORIDE Results,,PRANOPROFEN Results,,FAMPROFAZONE Results,,TOLAZAMIDE Results,,BISACODYL Results,,CARISOPRODOL Results,,TRANDOLAPRIL Results,,KETOROLAC TROMETHAMINE Results,,VORICONAZOLE Results,,TELMISARTAN Results,,GRISEOFULVIN Results,,RAMELTEON Results,,IS_MIFEPRISTONE Results,,BICALUTAMIDE Results,,LOSARTAN Results,,IRBESARTAN Results,,EZETIMIBE Results,,REPAGLINIDE Results,,DEFLAZACORT Results,,ARTEMISININ Results,,SULFASALAZINE Results,,NITRENDIPINE Results,,DIFLORASONE DIACETATE Results,,VALSARTAN Results,,RACECADOTRIL Results,,LEVONORGESTREL Results,,ETODOLAC Results,,TRANILAST Results,,OXAPROZIN Results,,PACLITAXEL Results,,CYPROTERONE ACETATE Results,,INDOMETHACIN Results,,NORETHINDRONE ACETATE Results,,NATEGLINIDE Results,,DANAZOL Results,,IS_IPRIFLAVONE Results,,RITONAVIR Results,,LOVASTATIN Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ009F-Plate1-L001-OD333-T02,MZ009F-Plate1-L001-OD333-T02.d,Sample,,10/20/2017 8:16 AM,0.986,2356903,1.042,3125997,1.065,3278123,1.165,3239102,1.165,4261321,1.311,234895,1.188,6825675,1.255,2949903,1.177,1977733,1.680,834882,1.803,1143967,1.646,3390266,1.971,6792706,2.027,5990,1.993,1038578,1.982,8491868,2.239,3855340,2.094,18908,2.362,13677,2.474,1901781,2.575,4932128,2.597,5636773,2.899,5406975,2.821,14114625,2.844,8428160,3.112,11354101,3.168,83003,3.179,3905917,3.403,20049296,3.492,1224821,3.526,737630,3.504,3030531,3.615,3337717,3.627,5763806,3.604,5929771,3.593,8655575,3.694,2149,3.638,3729255,3.694,12214328,3.694,22265023,4.018,3711,3.750,1356189,3.727,9628534,3.783,3982434,3.806,3694331,3.761,7902233,3.828,10907200,3.884,11152571,3.850,6383040,3.985,646407,4.018,8495410,4.085,19237726,4.108,74922,4.141,18149885,4.152,13308089,4.220,2797,4.410,52647,4.354,1480783,4.365,9108623,4.421,7114258,4.399,472021,4.432,11588949,4.477,1332044,4.410,180081,4.499,14113220,4.578,247690,4.600,9984214,4.622,2519559,4.667,10272209,4.801,7920617,4.779,5051,4.779,11620169,4.868,9670308,5.025,3432781
!,!,MZ009F-Plate1-L002-OD333-T02,MZ009F-Plate1-L002-OD333-T02.d,Sample,,10/20/2017 8:23 AM,0.976,2556624,1.043,3120666,1.065,5341059,1.166,3182029,1.166,4376226,1.300,210685,1.177,6727035,1.244,2783989,1.177,2047006,1.669,795126,1.804,1028244,1.636,3500731,1.971,7466859,2.016,3251,1.994,987468,1.971,8983963,2.229,4055109,2.083,20297,2.352,21195,2.464,1952398,2.576,4558295,2.598,5487669,2.900,5423159,2.822,14789209,2.833,8794046,3.113,11448265,3.157,83956,3.169,3877180,3.392,19839174,3.493,1184201,3.527,678877,3.493,2904099,3.605,3541551,3.627,5491305,3.594,6326111,3.594,8887297,3.672,546,3.638,3320411,3.683,12526833,3.694,24353962,4.008,4051,3.739,1235298,3.717,9178386,3.773,3454364,3.806,3311632,3.750,7941973,3.817,10804212,3.873,11118863,3.840,6950371,3.974,655460,4.008,8644410,4.075,20909653,4.097,77175,4.131,19287649,4.153,13839148,,,4.399,42516,4.343,1464469,4.354,9637399,4.422,7349564,4.399,930069,4.433,11969888,4.466,1252606,4.399,224287,4.489,14887245,4.578,263218,4.589,9983579,4.612,2425089,4.668,10276373,4.791,7936497,4.780,6437,4.768,12371706,4.869,10521770,5.014,4133367
!,!,MZ009F-Plate1-L003-OD333-T02,MZ009F-Plate1-L003-OD333-T02.d,Sample,,10/20/2017 8:29 AM,0.986,2309403,1.053,2883532,1.076,3509054,1.165,3124574,1.176,4375947,1.311,231820,1.187,6425449,1.255,2843257,1.187,1894434,1.680,825524,1.803,1289679,1.646,3185951,1.971,6850355,1.881,14877,1.993,1035215,1.982,8298122,2.239,3856889,2.094,19343,2.362,18533,2.474,1840466,2.575,4865612,2.597,5663361,2.910,5335519,2.821,14128227,2.843,8239870,3.112,10970283,3.168,63839,3.179,3776925,3.391,19558478,3.492,1192565,3.526,676580,3.503,3083868,3.615,3429148,3.637,5758668,3.604,5939006,3.593,8668171,3.682,2033,3.637,3612739,3.682,12331719,3.693,22338356,4.029,4108,3.738,1370006,3.716,9447350,3.783,3902659,3.805,3591080,3.760,8159539,3.816,10738767,3.872,10620374,3.850,6804587,3.973,604032,4.018,8240166,4.085,18613896,4.107,79382,4.141,17389980,4.152,12990986,,,4.409,29808,4.353,1400410,4.365,8749278,4.421,6835274,4.398,887864,4.432,11201065,4.476,1310568,4.409,229771,4.499,13636566,4.577,245826,4.600,9666903,4.611,2401145,4.667,9976818,4.801,7666730,5.181,1479,4.779,12390837,4.868,9569698,5.025,3415881
,!,MZ009F-Plate1-L004-OD333-T02,MZ009F-Plate1-L004-OD333-T02.d,Sample,,10/20/2017 8:36 AM,0.975,2396828,1.043,2943744,1.054,4661810,1.154,3224130,1.154,4266294,1.289,207654,1.177,6433375,1.244,2750198,1.177,1779767,1.669,837360,1.803,1067085,1.624,3376276,1.971,7206980,1.882,15813,1.993,1007526,1.971,8905599,2.228,4033356,2.083,19832,2.363,19613,2.463,1779595,2.575,4619526,2.598,5479588,2.900,5375384,2.821,14202835,2.832,8342877,3.112,11160673,3.157,61177,3.168,3751177,3.392,19277274,3.493,1148591,3.526,660375,3.493,3102139,3.604,3496105,3.627,5372649,3.593,6434170,3.593,8814405,3.683,2010,3.638,3329598,3.683,12492665,3.694,24648066,4.018,3572,3.739,1299318,3.716,9321712,3.772,3485503,3.806,3339634,3.761,7485763,3.817,10614400,3.873,11007756,3.839,6504129,3.974,619477,4.007,8158240,4.074,19891921,4.108,79463,4.130,17988070,4.153,13154738,4.242,3791,4.399,47889,4.343,1413114,4.354,9312176,4.421,6790815,4.399,948998,4.432,11554050,4.466,1191778,4.399,222371,4.488,14161600,4.578,243215,4.589,9878218,4.611,2261770,4.667,9820340,4.790,7883357,4.768,14246,4.779,12701846,4.869,9857858,5.014,4222152
,!,MZ009F-Plate1-L005-OD333-T02,MZ009F-Plate1-L005-OD333-T02.d,Sample,,10/20/2017 8:42 AM,0.986,2152221,1.042,2811170,1.075,3138636,1.165,3208479,1.165,4242241,1.310,219126,1.187,6415616,1.254,2726120,1.187,1671043,1.679,846691,1.802,1202145,1.646,3381588,1.970,6908451,2.026,8287,2.004,1097725,1.970,8567766,2.239,3978598,2.093,18833,2.373,20114,2.474,1835058,2.574,4854530,2.619,5505655,2.899,5249733,2.820,13951135,2.843,8202818,3.122,10824708,3.167,85740,3.178,3728269,3.391,19404772,3.492,1184702,3.525,679288,3.503,3183706,3.615,3373298,3.626,5642503,3.603,5968999,3.592,8726631,3.682,1077,3.637,3501251,3.682,12129359,3.693,22166410,4.006,5171,3.738,1331626,3.715,9308525,3.782,3793744,3.805,3433591,3.760,7613173,3.816,10379330,3.872,10683975,3.850,6498893,3.973,603114,4.017,8172150,4.073,18016488,4.107,100281,4.129,17015675,4.152,12664111,4.230,3179,4.409,40550,4.353,1346942,4.364,8534427,4.420,6539998,4.398,1040427,4.431,10897762,4.465,1279504,4.409,222948,4.498,12955548,4.577,233388,4.599,9178619,4.610,2200495,4.666,9525231,4.801,7171976,4.767,11381,4.778,11884081,4.868,9128811,5.024,3321045
,!,MZ009F-Plate1-L006-OD333-T02,MZ009F-Plate1-L006-OD333-T02.d,Sample,,10/20/2017 8:49 AM,0.975,2561642,1.042,3044094,1.065,5113719,1.300,179841,1.165,4310689,1.300,213782,1.177,6518480,1.244,2771506,1.177,1909327,1.669,893973,1.803,1219583,1.624,3311305,1.971,7096961,1.814,14426,1.993,986150,1.971,8656239,2.228,4100930,2.083,18653,2.351,19377,2.463,1872587,2.575,4697121,2.608,5589524,2.899,5362786,2.821,14459691,2.832,8495733,3.112,11189851,3.157,74830,3.168,3851092,3.380,19550669,3.492,1200880,3.526,647214,3.492,3204431,3.604,3490080,3.627,5638954,3.593,6480550,3.593,8826827,3.694,4468,3.638,3308174,3.683,12870286,3.694,24822179,4.007,3708,3.738,1312839,3.716,9348044,3.772,3462199,3.806,3291812,3.761,7620880,3.817,10613618,3.873,10947640,3.839,7034289,3.973,633164,4.007,8283626,4.074,19296040,4.096,114279,4.130,17894854,4.152,12832159,4.589,4218,4.410,39565,4.343,1424093,4.354,9320008,4.421,6935134,4.398,938288,4.432,11660980,4.466,1201498,4.398,217860,4.488,14287408,4.577,249374,4.589,9684477,4.611,2257295,4.667,9787533,4.790,7730264,4.768,7356,4.779,12797108,4.868,10067872,5.014,4045230
,!,MZ009F-Plate1-L007-OD333-T02,MZ009F-Plate1-L007-OD333-T02.d,Sample,,10/20/2017 8:55 AM,0.987,2169015,1.043,2915657,1.076,3344920,1.177,3306909,1.177,4407229,1.311,217034,1.188,6650575,1.255,2829823,1.188,1845250,1.681,801745,1.804,1052614,1.647,3537861,1.971,7160737,2.016,8741,1.994,1148987,1.983,8439534,2.240,4160656,2.095,19381,2.363,16528,2.475,1894792,2.576,5104278,2.598,5617198,2.900,5443900,2.822,14447923,2.844,8499299,3.113,11150084,3.157,71844,3.168,3952003,3.394,19793261,3.493,1261910,3.526,717703,3.493,3002117,3.616,3461188,3.627,5768945,3.594,6179959,3.594,9067088,3.705,1395,3.638,3634727,3.683,12420247,3.694,22267834,4.019,4899,3.739,1370623,3.717,9365299,3.773,3952916,3.806,3532613,3.761,7998269,3.817,10530527,3.884,10583086,3.851,6931922,3.985,649878,4.019,8462050,4.086,18875691,4.108,98138,4.142,17909408,4.164,13172050,4.220,3043,4.410,32933,4.354,1417015,4.366,8811218,4.421,7017464,4.399,937564,4.433,11214805,4.477,1360808,4.410,245323,4.500,13831295,4.578,245914,4.600,9678576,4.612,2368291,4.668,9995244,4.802,7689341,4.779,10810,4.779,12586976,4.869,9525538,5.026,3674659
,!,MZ009F-Plate1-L008-OD333-T02,MZ009F-Plate1-L008-OD333-T02.d,Sample,,10/20/2017 9:02 AM,0.986,2774866,1.053,3736715,1.064,5616462,1.165,3337906,1.165,4426713,1.299,225068,1.187,6949855,1.243,2857133,1.176,2152022,1.679,820047,1.802,1116369,1.623,3764082,1.970,7639937,1.881,7352,1.993,1036269,1.970,9308969,2.228,4210013,2.082,19780,2.362,18243,2.462,1962722,2.574,4566592,2.608,5514783,2.899,5666045,2.820,15142365,2.832,8745122,3.111,11882906,3.156,83712,3.167,3832440,3.393,20663516,3.492,1233259,3.525,668866,3.492,3028772,3.604,3493311,3.626,5550375,3.592,6299352,3.592,8865147,3.693,3916,3.637,3343651,3.682,12523831,3.693,24849339,4.029,3755,3.738,1267779,3.715,9295478,3.771,3529897,3.805,3430445,3.760,7323555,3.816,11122022,3.872,11518207,3.838,8058536,3.973,657581,4.017,9046453,4.073,22060184,4.107,68182,4.129,19961357,4.152,14482686,4.219,2748,4.409,37379,4.353,1495875,4.353,9918767,4.420,7581935,4.398,930025,4.431,12261810,4.465,1314870,4.398,236285,4.499,15069686,4.577,272347,4.599,10125069,4.610,2412916,4.666,10372071,4.789,8261992,4.767,13233,4.778,14041634,4.868,10417987,5.013,4129676
,!,MZ009F-Plate1-L009-OD333-T02,MZ009F-Plate1-L009-OD333-T02.d,Sample,,10/20/2017 9:08 AM,0.986,2158183,1.054,2766474,1.076,3537544,1.177,3207696,1.177,4256336,1.311,228311,1.199,6483065,1.255,2814724,1.188,1985713,1.680,882098,1.803,1287377,1.658,3312272,1.971,6918750,2.016,6351,1.993,1042445,1.982,8047796,2.239,3891345,2.094,19348,2.363,20751,2.474,1865312,2.575,4801853,2.597,5675986,2.900,5349478,2.821,14148805,2.844,8411254,3.112,11143369,3.157,66904,3.168,3913076,3.392,19962142,3.492,1207189,3.526,712810,3.492,3174553,3.615,3446953,3.627,5718427,3.604,6206015,3.593,8907161,3.683,1068,3.638,3662503,3.683,12495261,3.694,22522609,4.029,6456,3.739,1340040,3.716,9474256,3.783,3900036,3.806,3572991,3.761,8104275,3.817,10778361,3.873,10877707,3.850,5567055,3.973,614652,4.018,8249779,4.074,17918118,4.108,120732,4.130,17309803,4.152,12652698,4.208,2253,4.410,36877,4.354,1392873,4.365,8561050,4.421,6826687,4.399,1057652,4.432,11127114,4.477,1298208,4.410,247873,4.499,13700937,4.578,238524,4.600,9683385,4.622,2332547,4.667,9916030,4.801,7738893,4.779,9226,4.779,11545902,4.869,9741537,5.025,3657344
