Sample,,,,,,,SOTALOL HYDROCHLORIDE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,NALOXONE HYDROCHLORIDE Results,,FENSPIRIDE HYDROCHLORIDE Results,,PIDOTIMOD Results,,CLONIDINE HYDROCHLORIDE Results,,SUMATRIPTAN SUCCINATE Results,,NEOSTIGMINE BROMIDE Results,,TINIDAZOLE Results,,ROXATIDINE ACETATE HYDROCHLORIDE Results,,IS_EMETINE Results,,FAMCICLOVIR Results,,ZIDOVUDINE [AZT] Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,IS_SULFAMETHOXAZOLE Results,,BRIVUDINE Results,,DIACETAMATE Results,,IS_EYTHROMYCINE Results,,VILAZODONE HYDROCHLORIDE Results,,PHENAZOPYRIDINE HYDROCHLORIDE Results,,OMEPRAZOLE Results,,DILTIAZEM HYDROCHLORIDE Results,,PERICIAZINE Results,,PANTOPRAZOLE Results,,ERGOTAMINE TARTRATE Results,,FLUOXETINE Results,,RAMIPRIL Results,,BENAZEPRIL HYDROCHLORIDE Results,,ENTACAPONE Results,,METAXALONE Results,,MEBENDAZOLE Results,,RILUZOLE Results,,CETIRIZINE HYDROCHLORIDE Results,,QUINAPRIL HYDROCHLORIDE Results,,DICYCLOMINE HYDROCHLORIDE Results,,PRANOPROFEN Results,,FAMPROFAZONE Results,,TOLAZAMIDE Results,,BISACODYL Results,,CARISOPRODOL Results,,TRANDOLAPRIL Results,,KETOROLAC TROMETHAMINE Results,,VORICONAZOLE Results,,TELMISARTAN Results,,GRISEOFULVIN Results,,RAMELTEON Results,,IS_MIFEPRISTONE Results,,BICALUTAMIDE Results,,LOSARTAN Results,,IRBESARTAN Results,,EZETIMIBE Results,,REPAGLINIDE Results,,DEFLAZACORT Results,,ARTEMISININ Results,,SULFASALAZINE Results,,NITRENDIPINE Results,,DIFLORASONE DIACETATE Results,,VALSARTAN Results,,RACECADOTRIL Results,,LEVONORGESTREL Results,,ETODOLAC Results,,TRANILAST Results,,OXAPROZIN Results,,PACLITAXEL Results,,CYPROTERONE ACETATE Results,,INDOMETHACIN Results,,NORETHINDRONE ACETATE Results,,NATEGLINIDE Results,,DANAZOL Results,,IS_IPRIFLAVONE Results,,RITONAVIR Results,,LOVASTATIN Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ009F-Plate1-L010-OD333-T08,MZ009F-Plate1-L010-OD333-T08.d,Sample,,10/18/17 12:47,0.984,3378780,1.04,4913693,1.073,5632685,1.163,3567309,1.174,5412105,1.308,268130,1.196,7953723,1.252,3480962,1.185,2762958,1.689,52001,1.845,16551,1.577,4502484,1.98,6829914,1.823,21940,2.002,1276431,1.968,11277222,2.248,4551148,2.103,23026,2.382,33260,2.472,2857594,2.572,5196538,2.595,5773264,2.919,4783597,2.83,17216636,2.841,11050915,3.132,10514573,3.177,37711,3.177,5015721,3.4,23178204,3.512,1482639,3.546,99870,3.512,3770918,3.624,3991263,3.646,6934575,3.602,6739853,3.613,9610181,3.714,3974,3.646,4049516,3.714,14206821,3.714,24425245,4.049,9128,3.758,1595658,3.736,10373696,3.792,4539647,3.825,4267648,3.769,8719581,3.825,13037263,3.893,13120671,3.859,8019459,3.982,751126,4.027,10174988,4.094,19953462,4.127,169090,4.15,20775636,4.172,12968563,4.217,6450,4.418,11841,4.362,1212405,4.374,11234963,4.43,8184172,4.116,17152,4.441,12256293,4.486,1469610,4.418,323605,4.508,16506847,4.586,329207,4.609,11551412,4.631,2838164,4.676,9402585,4.81,9995300,4.687,7277,4.788,14002890,4.888,11953857,5.034,3741219
!,!,MZ009F-Plate1-L011-OD333-T08,MZ009F-Plate1-L011-OD333-T08.d,Sample,,10/18/17 12:53,0.974,3195181,1.041,3587703,1.064,5664982,1.164,3645495,1.153,5394717,1.299,256231,1.176,7464200,1.243,3271941,1.176,2397153,1.992,15658,1.769,19873,1.578,4665257,1.981,4522579,1.802,23558,1.992,1173422,1.97,11015779,2.238,4712792,2.093,24411,2.373,18984,2.473,1896915,2.574,5867516,2.596,6251819,2.91,4532294,2.82,15775278,2.831,10542555,3.122,10124891,3.178,32565,3.167,4768244,3.402,21269384,3.503,1326719,3.536,110953,3.503,3504108,3.615,3939171,3.637,6018390,3.603,6807051,3.603,9059942,3.704,4444,3.637,3761765,3.704,13551165,3.704,26679177,4.017,4983,3.749,1498190,3.726,9822932,3.782,4176892,3.816,3982567,3.76,8237526,3.827,12359456,3.883,12535864,3.861,7454832,3.984,782404,4.017,9644384,4.084,19375377,4.118,164859,4.152,19144258,4.163,10334234,,,4.398,9690,4.353,1099181,4.364,10796237,4.431,8316882,4.129,4583,4.442,12174428,4.476,1389767,4.409,296830,4.498,16953104,4.588,318149,4.599,11635085,4.621,3030749,4.677,9044806,4.812,9815163,4.644,4848,4.789,13861388,4.879,11695540,5.024,4027913
!,!,MZ009F-Plate1-L012-OD333-T08,MZ009F-Plate1-L012-OD333-T08.d,Sample,,10/18/17 13:00,0.985,2257063,1.052,3028847,1.075,3308170,1.164,3503974,1.164,5210844,1.31,226983,1.198,6785422,1.254,3037066,1.187,1967072,1.679,49306,2.059,18767,1.578,4100576,1.981,6165543,1.802,23045,2.003,1295574,1.97,10402133,2.238,4683215,2.104,25271,2.373,22421,2.473,2157373,2.574,5932882,2.596,6574426,2.921,4240028,2.831,14824558,2.842,10195021,3.133,9364909,3.178,54204,3.178,4806399,3.413,20191496,3.502,1289329,3.536,93813,3.514,3584871,3.626,3671637,3.648,6460012,3.603,6571897,3.603,8764145,3.715,1916,3.648,3833442,3.704,13606488,3.704,23749276,4.039,5863,3.76,1426716,3.726,9375979,3.793,4127553,3.816,3795235,3.771,8027637,3.827,11860005,3.894,11651363,3.86,7615849,3.984,719953,4.028,8768790,4.095,17815001,4.118,137834,4.151,18182473,4.174,11953764,4.588,4634,4.42,8972,4.364,1028394,4.375,10220054,4.431,7271470,4.118,10040,4.442,11245136,4.487,1340858,4.409,297040,4.509,15263510,4.588,295135,4.61,10850942,4.632,2860262,4.677,8958725,4.811,8988940,,,4.789,13593561,4.878,10731484,5.035,3730945
,!,MZ009F-Plate1-L013-OD333-T08,MZ009F-Plate1-L013-OD333-T08.d,Sample,,10/18/17 13:06,0.976,2474041,1.044,3070928,1.055,3932918,1.167,3592714,1.155,5522061,1.301,242107,1.178,7304746,1.245,3229958,1.178,1656507,1.681,49451,1.827,31779,1.569,4274010,1.972,6167142,1.793,22375,1.995,1265020,1.972,11014494,2.241,4816406,2.095,23620,2.375,32395,2.476,2350884,2.576,5658570,2.646,6537261,2.912,4427006,2.822,16431442,2.834,11285990,3.124,9851196,3.203,57249,3.169,5047970,3.399,21435789,3.505,1395015,3.538,84507,3.505,3695672,3.617,4292956,3.639,6350526,3.605,7210977,3.605,9474805,3.706,4234,3.639,3859487,3.706,14412395,3.706,26397268,4.019,4194,3.751,1492006,3.729,9934277,3.784,3972214,3.818,3984914,3.762,8641266,3.829,12495077,3.885,12578176,3.863,8189223,3.986,818818,4.019,9800190,4.087,20896974,4.109,107766,4.154,20079310,4.165,12791258,4.288,3559,4.411,9234,4.355,1179726,4.366,11509123,4.433,8356126,4.198,2297,4.445,12551566,4.478,1359593,4.411,306586,4.5,17109873,4.59,347600,4.601,12034749,4.624,3143616,4.679,9742022,4.803,10110570,4.78,1273,4.791,15216354,4.881,12168650,5.026,4573692
!,!,MZ009F-Plate1-L014-OD333-T08,MZ009F-Plate1-L014-OD333-T08.d,Sample,,10/18/17 13:13,0.985,2456953,1.052,3299330,1.074,3578015,1.175,3577414,1.164,5446284,1.309,249569,1.198,7108390,1.253,3181215,1.186,2336111,1.69,34639,1.835,10042,1.578,4233269,1.981,6046226,1.891,5706,2.003,1224060,1.969,10593506,2.238,4659226,2.093,22084,2.383,30418,2.473,2256020,2.574,5641921,2.636,6361505,2.92,4293248,2.831,15538772,2.842,10539172,3.133,9444137,3.2,55209,3.178,4961106,3.413,21015463,3.513,1354901,3.536,77422,3.513,3685728,3.625,3949626,3.648,6555650,3.603,6784150,3.614,9228624,3.849,491,3.648,3918888,3.703,13585604,3.715,23798117,4.028,4339,3.759,1511280,3.737,9664824,3.793,4284442,3.815,3932222,3.771,9066110,3.827,11970730,3.894,11983074,3.86,8076306,3.994,745634,4.028,9238844,4.095,18032666,4.129,173903,4.162,18775519,4.173,11953000,,,4.419,10043,4.364,1051180,4.375,10231111,4.431,7638354,4.129,9548,4.442,11583957,4.487,1403975,4.408,304463,4.509,15387138,4.598,314722,4.61,11231179,4.632,2899182,4.677,9062637,4.811,9466920,4.867,12689,4.789,14192295,4.889,11048821,5.035,3870143
!,!,MZ009F-Plate1-L015-OD333-T08,MZ009F-Plate1-L015-OD333-T08.d,Sample,,10/18/17 13:19,0.975,2663224,1.042,3356271,1.065,4219283,1.165,3628170,1.154,5331338,1.3,256265,1.188,7118252,1.244,3271312,1.177,1973270,1.669,15972,1.826,20687,1.579,4480198,1.971,6660483,2.027,4257,1.993,1253445,1.971,11093656,2.239,4651719,2.094,22664,2.363,21166,2.474,2577996,2.575,5626414,2.597,6171951,2.911,4373577,2.821,15915204,2.832,10758120,3.123,9812665,3.19,37901,3.168,4822615,3.403,21397008,3.504,1346965,3.537,77338,3.504,3511844,3.615,4093364,3.638,6011539,3.593,6975506,3.604,9354141,3.459,367,3.649,3815860,3.705,13816850,3.705,26659792,4.018,4486,3.75,1478721,3.727,9845874,3.783,4119692,3.817,3916018,3.761,8309401,3.828,12317934,3.884,12312860,3.862,7942750,3.985,763571,4.018,9714218,4.085,20048749,4.119,153817,4.152,19754913,4.164,12407987,,,4.41,10124,4.354,1096583,4.365,11223972,4.432,8252715,,,4.443,11817261,4.477,1388841,4.41,301079,4.499,16510814,4.589,339087,4.6,11573392,4.622,2957774,4.678,9012625,4.801,10055892,4.992,12060,4.79,15002222,4.88,11908250,5.036,4377425
,!,MZ009F-Plate1-L016-OD333-T08,MZ009F-Plate1-L016-OD333-T08.d,Sample,,10/18/17 13:26,0.986,2508521,1.053,3477905,1.064,3825877,1.165,3765154,1.165,5671038,1.31,256879,1.187,7785647,1.254,3485688,1.187,2449713,1.691,43882,1.836,37842,1.579,4455502,1.982,6940277,1.803,20548,2.004,1295437,1.97,10655738,2.239,4614588,2.094,23547,2.384,20413,2.474,2721366,2.575,5729488,2.597,6331619,2.921,4505934,2.832,16111999,2.843,10123371,3.123,10085887,3.201,58797,3.168,4543968,3.402,22539262,3.503,1355841,3.537,90800,3.503,3534504,3.626,3697970,3.649,6468389,3.604,6370856,3.604,9295881,3.749,829,3.649,4089684,3.705,13043156,3.705,24655002,4.018,5164,3.749,1560793,3.727,9980647,3.783,4489403,3.816,4160724,3.772,7884829,3.828,12487799,3.884,12764953,3.861,7842327,3.984,729271,4.029,9652332,4.096,21322061,4.118,69834,4.152,20128981,4.163,13925432,4.208,3802,4.409,10015,4.365,1072998,4.365,10604053,4.432,8204381,4.107,7667,4.443,11627389,4.488,1523898,4.409,314939,4.51,15963093,4.588,307467,4.611,11374385,4.633,3062513,4.678,9349196,4.812,9854686,4.689,3769,4.79,14601348,4.879,11078546,5.036,3975593
!,!,MZ009F-Plate1-L017-OD333-T08,MZ009F-Plate1-L017-OD333-T08.d,Sample,,10/18/17 13:32,0.983,4529062,1.039,4826900,1.061,5595941,1.173,3380689,1.162,4914905,1.307,272067,1.184,7262166,1.251,3306884,1.184,2600339,1.676,36843,1.833,20638,1.576,4038509,1.978,6886776,1.799,23285,2.001,1224026,1.967,11058416,2.236,4492001,2.101,27884,2.37,31389,2.471,2740928,2.571,4374559,2.594,5699846,2.907,4659965,2.817,16046688,2.84,9879153,3.12,10312072,3.187,28062,3.164,4441788,3.402,22451332,3.5,1393807,3.545,88884,3.511,3679600,3.612,3934094,3.634,5968224,3.601,6805041,3.601,9655730,3.746,1236,3.645,3792214,3.701,13202917,3.701,26953800,4.059,10001,3.757,1562200,3.724,10112941,3.78,4184706,3.813,4079397,3.768,7597388,3.824,12664937,3.88,13012271,3.858,7700895,3.981,711135,4.026,9791016,4.082,21023866,4.115,111449,4.149,19817406,4.16,13232868,4.193,14227,4.406,13297,4.361,1031675,4.361,11390326,4.428,8370720,4.115,3994,4.44,11723855,4.473,1345811,4.406,277914,4.507,15741918,4.585,299372,4.607,10963542,4.619,2643270,4.675,8281611,4.809,9722660,,,4.786,12809181,4.876,10964491,5.033,3541408
,!,MZ009F-Plate1-L018-OD333-T08,MZ009F-Plate1-L018-OD333-T08.d,Sample,,10/18/17 13:39,0.987,2495017,1.054,3544957,1.076,3237621,1.166,3515823,1.166,5274060,1.311,236396,1.199,7017745,1.255,3179181,1.188,2330690,1.68,49198,1.837,11022,1.58,4174733,1.983,6070714,1.826,18749,2.005,1232919,1.971,10393654,2.24,4699166,2.094,25046,2.385,31380,2.475,2304683,2.575,5728750,2.598,6402290,2.922,4307698,2.822,15177195,2.844,10144682,3.124,9405836,3.18,58554,3.18,4767677,3.406,20800487,3.504,1354099,3.538,86033,3.504,3729304,3.616,3773113,3.638,6634519,3.605,6625927,3.605,9177093,3.717,4447,3.65,3841318,3.705,13945580,3.705,24115903,4.03,4333,3.761,1543349,3.728,9809943,3.784,4226290,3.817,3877876,3.761,8613896,3.829,12025335,3.884,11896390,3.862,7745599,3.985,731912,4.03,8964693,4.097,17948933,4.119,158545,4.153,18597020,4.164,12076472,4.231,7308,4.41,7160,4.365,1067369,4.365,10241553,4.433,7489059,4.131,11004,4.444,11542195,4.489,1364622,4.41,296495,4.511,15309488,4.589,297959,4.612,10802544,4.623,2827961,4.679,8851394,4.813,9096364,4.679,4018,4.791,13058452,4.88,10815029,5.037,3758474
,!,MZ009F-Plate1-L019-OD333-T08,MZ009F-Plate1-L019-OD333-T08.d,Sample,,10/18/17 13:45,0.986,2712370,1.042,3478152,1.064,3411863,1.165,3714481,1.165,5386887,1.31,241270,1.187,7262629,1.243,3248607,1.176,2306889,1.668,69521,1.847,8052,1.568,4497793,1.97,6735903,1.814,19466,2.004,1219610,1.97,10944478,2.239,4597356,2.094,20102,2.362,24919,2.474,2385967,2.575,5855162,2.597,6162881,2.91,4484778,2.821,16101717,2.832,10429951,3.123,9470124,3.179,50773,3.167,4838081,3.402,20741662,3.503,1391431,3.537,98608,3.503,3569509,3.615,4238695,3.637,6151081,3.604,6794997,3.604,9766594,3.705,2078,3.637,3757547,3.705,13436065,3.705,25815845,4.018,4738,3.749,1477585,3.727,10021075,3.783,3964285,3.816,3888828,3.76,8444686,3.828,12112922,3.884,12101049,3.861,7349087,3.984,790775,4.018,9611518,4.085,19091090,4.118,202519,4.152,18226844,4.163,10836697,3.951,34635,4.421,11818,4.353,1158376,4.365,11074479,4.432,8123818,4.118,7327,4.443,11883325,4.476,1360842,4.409,300571,4.51,16509068,4.588,327630,4.6,11500805,4.622,2915686,4.678,9102572,4.801,9668597,4.846,6239,4.79,14255839,4.879,11875996,5.036,4408822
,!,MZ009F-Plate1-L020-OD333-T08,MZ009F-Plate1-L020-OD333-T08.d,Sample,,10/18/17 13:51,0.987,2307038,1.054,3403194,1.076,3560281,1.177,3745714,1.177,5725767,1.311,240177,1.199,7134549,1.255,3392392,1.188,1602063,1.691,58710,1.837,21761,1.58,4454801,1.982,5748731,2.038,2310,2.005,1271907,1.971,10503351,2.24,4686944,2.094,22218,2.374,15999,2.475,2436028,2.575,6212591,2.598,6787617,2.911,4470182,2.821,15983964,2.844,10937673,3.123,9704316,3.168,50697,3.179,5159114,3.408,20764026,3.504,1296191,3.537,109554,3.504,3625564,3.616,3904946,3.638,6685163,3.604,6729831,3.614,8956184,3.582,424,3.649,3862660,3.705,14293536,3.705,23655428,4.018,5483,3.75,1510909,3.728,9478350,3.783,4223114,3.817,3899065,3.772,8679566,3.828,12256197,3.884,12088822,3.862,7415814,3.985,736504,4.018,9233390,4.097,17700000,4.119,184022,4.153,19194913,4.164,11842298,4.22,4120,4.421,10110,4.365,1101239,4.376,10313845,4.432,7668080,4.343,2585,4.444,11760936,4.488,1434985,4.41,302496,4.511,15559801,4.589,307982,4.611,11308869,4.634,3032145,4.678,9414452,4.813,9342865,4.69,5458,4.79,13452439,4.88,11191367,5.036,3840917
,!,MZ009F-Plate1-L021-OD333-T08,MZ009F-Plate1-L021-OD333-T08.d,Sample,,10/18/17 13:58,0.974,2689215,1.041,3226601,1.064,4341836,1.165,3818662,1.153,5827778,1.299,255297,1.176,7333205,1.243,3453918,1.176,1493476,1.679,123276,1.791,23733,1.567,4922044,1.981,7242164,1.802,26596,1.992,1245740,1.97,11003561,2.239,4821094,2.093,23607,2.362,22599,2.473,1699755,2.574,6560832,2.609,6063315,2.91,4405823,2.82,16043720,2.831,10949634,3.122,10181199,3.189,36390,3.167,5147188,3.4,21751255,3.503,1335897,3.536,135209,3.503,3690545,3.615,3946511,3.637,6341656,3.603,7207871,3.603,9384607,3.749,1932,3.648,3840490,3.704,13922972,3.704,27045395,4.028,7929,3.749,1505683,3.726,9798858,3.782,4179253,3.816,3782700,3.76,8619769,3.827,12258558,3.883,12330294,3.861,8346669,3.984,815136,4.017,9370624,4.084,19489647,4.118,165506,4.152,19439258,4.163,12511607,4.577,5747,4.42,11596,4.353,1123934,4.364,11337719,4.431,8760986,4.174,5523,4.442,12397397,4.476,1428197,4.409,325320,4.498,16515600,4.588,321640,4.599,11738410,4.621,3107375,4.677,9509778,4.812,10233921,4.644,3279,4.789,15199504,4.879,11740831,5.024,4423701
!,!,MZ009F-Plate1-L022-OD333-T08,MZ009F-Plate1-L022-OD333-T08.d,Sample,,10/18/17 14:04,0.986,2488054,1.053,3503776,1.064,3757031,1.165,4025101,1.165,6048379,1.299,271102,1.188,7873788,1.255,3583552,1.188,1431569,1.68,60413,1.836,21883,1.579,4702909,1.982,6816020,1.881,22486,2.004,1397902,1.971,10796103,2.239,4875723,2.094,24173,2.385,20403,2.474,2092804,2.575,6390153,2.597,6942198,2.91,4658727,2.821,16759096,2.843,10928978,3.123,10521948,3.179,52003,3.179,4986538,3.404,22460169,3.503,1428875,3.537,102120,3.503,3759902,3.615,3988891,3.638,7172378,3.604,6845426,3.614,9448852,3.716,1949,3.649,4070075,3.705,14511449,3.705,24476235,4.029,4903,3.761,1550255,3.727,10108949,3.783,4463575,3.817,4236370,3.772,8736339,3.828,13018553,3.884,12950022,3.861,8464245,3.984,777571,4.029,10130267,4.096,19448006,4.119,166018,4.152,20214615,4.163,12529471,,,4.421,10495,4.365,1220477,4.365,11025229,4.432,8289802,4.119,9720,4.443,12646025,4.488,1554593,4.41,333161,4.51,16052253,4.589,326034,4.611,12048073,4.622,3206808,4.678,10124213,4.812,10135540,4.98,13139,4.79,15298101,4.879,11666709,5.036,4585008
,!,MZ009F-Plate1-L023-OD333-T08,MZ009F-Plate1-L023-OD333-T08.d,Sample,,10/18/17 14:11,0.975,2750709,1.053,3376155,1.065,3725354,1.165,3791858,1.154,5599511,1.3,262450,1.195,7317343,1.244,3501166,1.177,1934395,1.68,59167,2.049,26152,1.568,4410961,1.971,7008080,1.803,13386,1.993,1292433,1.971,11265317,2.239,4902504,2.083,21008,2.374,27341,2.474,2332592,2.575,5802162,2.597,6516673,2.911,4418575,2.821,16514995,2.832,11134720,3.123,10078373,3.19,58375,3.168,5231829,3.402,21831967,3.504,1324404,3.537,97357,3.504,3821217,3.615,4096445,3.638,6502184,3.604,7313723,3.604,9595710,3.705,6322,3.638,3824454,3.705,14449231,3.705,27000908,4.029,5462,3.75,1515931,3.727,10039789,3.783,4128641,3.817,3926337,3.761,8830002,3.828,12491035,3.884,12559918,3.85,8333544,3.985,795670,4.018,9632498,4.085,20605322,4.119,139764,4.152,20566679,4.164,12789108,3.94,2162,4.421,8608,4.354,1142706,4.365,11850296,4.432,8534921,4.197,5118,4.443,12275409,4.477,1439147,4.41,308383,4.499,16673962,4.589,344157,4.6,11834910,4.622,3110412,4.678,9749409,4.801,10284166,4.768,2142,4.79,14737781,4.88,11664794,5.036,4687430
,!,MZ009F-Plate1-L024-OD333-T08,MZ009F-Plate1-L024-OD333-T08.d,Sample,,10/18/17 14:17,0.997,2491248,1.064,3633885,1.086,4148007,1.176,3835365,1.176,5605604,1.31,247701,1.198,7346045,1.254,3382427,1.198,2206702,1.69,38298,2.059,30808,1.578,4268452,1.981,6468619,2.037,8474,2.004,1236810,1.97,10112357,2.238,4578346,2.104,24444,2.373,21912,2.473,2342545,2.574,5468498,2.63,6270384,2.91,4236297,2.82,16150767,2.843,10134396,3.122,9872274,3.189,47322,3.178,4912161,3.402,21782125,3.503,1363177,3.536,77398,3.514,3699603,3.626,3714860,3.648,6629924,3.603,6848369,3.603,9642794,3.726,1988,3.648,4021427,3.704,13914010,3.704,24611500,4.04,6039,3.749,1585144,3.726,9944817,3.782,4412882,3.816,4036195,3.771,8116772,3.827,12331210,3.883,12264169,3.861,7842921,3.984,743800,4.028,9215517,4.096,20162660,4.118,81511,4.152,19939708,4.163,13633644,4.588,2767,4.409,9490,4.364,1017009,4.375,10853619,4.431,7941366,4.174,3204,4.442,11497391,4.487,1487738,4.409,311655,4.51,15176542,4.588,307248,4.61,11291933,4.633,3037212,4.677,9540679,4.812,9522038,4.845,5412,4.789,13973535,4.879,10973451,5.035,4164634
,!,MZ009F-Plate1-L025-OD333-T08,MZ009F-Plate1-L025-OD333-T08.d,Sample,,10/18/17 14:24,0.964,6065811,1.031,6238777,1.053,6789528,1.165,3658678,1.165,5462754,1.299,284147,1.188,8841125,1.243,4056727,1.176,3323939,1.68,47488,1.747,35703,1.568,5481790,1.982,8202916,2.027,8262,1.993,1432070,1.971,12221951,2.239,4394217,2.094,25995,2.362,24216,2.463,1938145,2.575,3480788,2.597,5670812,2.91,5079127,2.821,17871861,2.832,9624880,3.123,11559737,3.179,43374,3.168,4176590,3.399,26303473,3.503,1571331,3.537,89369,3.503,3791027,3.615,4082572,3.638,7256690,3.604,7110369,3.604,10788572,3.738,2935,3.649,4318261,3.705,14588339,3.705,29094207,4.029,3441,3.749,1693779,3.727,10997389,3.783,4342896,3.817,4559335,3.761,7937484,3.828,14390313,3.884,15156892,3.861,8665181,3.984,817532,4.018,11680664,4.085,24334054,4.119,127540,4.152,23435625,4.163,15278647,3.962,4419,4.398,11454,4.354,1176320,4.365,13255652,4.432,9974970,4.119,4858,4.443,14052325,4.477,1735612,4.409,305049,4.499,18497700,4.588,360333,4.6,12998152,4.622,3208804,4.678,10048573,4.801,12433440,4.857,8191,4.79,14321815,4.879,12381526,5.036,4463545
,!,MZ009F-Plate1-L026-OD333-T08,MZ009F-Plate1-L026-OD333-T08.d,Sample,,10/18/17 14:30,0.987,3601732,1.054,5458449,1.076,6775377,1.166,3768574,1.166,5697750,1.311,254790,1.188,8056058,1.255,3848118,1.188,2821803,1.692,50583,1.837,9694,1.58,4836896,1.982,7022555,2.038,7246,2.005,1387689,1.971,10966720,2.24,4614462,2.105,26727,2.374,22605,2.475,2243926,2.575,6107676,2.598,6712380,2.911,4614937,2.821,17228733,2.844,10908090,3.124,10545389,3.179,68739,3.168,5021992,3.403,23045720,3.504,1418090,3.537,97781,3.504,3612462,3.616,3860944,3.649,7231090,3.605,7052663,3.605,9769950,3.806,867,3.649,4157698,3.705,14572301,3.705,24723437,4.019,4712,3.761,1550426,3.728,10150561,3.795,4506724,3.817,4283592,3.772,9007778,3.828,13127032,3.896,13155154,3.862,8348617,3.985,774367,4.03,10290300,4.097,20248509,4.119,124816,4.153,20989978,4.164,13500984,3.963,1401,4.41,10298,4.365,1260991,4.365,11114357,4.433,8550363,4.119,8751,4.444,12486541,4.477,1622703,4.41,328207,4.511,16801874,4.589,333693,4.612,12669173,4.623,3335701,4.679,10749390,4.813,10665778,4.858,7166,4.791,15278293,4.88,11943781,5.037,4312692
!,!,MZ009F-Plate1-L027-OD333-T08,MZ009F-Plate1-L027-OD333-T08.d,Sample,,10/18/17 14:37,0.973,3213663,1.029,4905217,1.063,6386871,1.163,3856585,1.163,5549162,1.297,255651,1.174,7806091,1.242,3638874,1.174,2749782,1.689,51945,1.823,20356,1.577,4807745,1.98,7027659,1.812,14231,2.002,1345491,1.969,11617162,2.237,4879889,2.081,23246,2.371,32622,2.472,2318044,2.573,5586590,2.595,6747012,2.908,4504818,2.819,16956934,2.83,11037742,3.121,10372580,3.188,49721,3.177,4913831,3.401,22658360,3.501,1383885,3.535,91820,3.501,3734843,3.613,3968836,3.636,6775082,3.602,7124117,3.602,9814142,3.703,3576,3.647,3946950,3.703,14653369,3.703,27454360,4.016,5020,3.748,1525994,3.725,10181599,3.781,4276673,3.815,4065764,3.77,8392267,3.826,12917371,3.882,13125161,3.859,8081341,3.982,817435,4.027,9892582,4.083,19711993,4.117,202140,4.15,20081409,4.161,12227197,,,4.408,10369,4.352,1166889,4.363,11811216,4.43,9005531,4.128,5388,4.441,12237934,4.475,1478798,4.408,307072,4.508,17709868,4.587,329811,4.609,12687503,4.62,3304352,4.676,10474579,4.81,10811653,4.844,14766,4.788,15626232,4.877,12181359,5.034,4693280
!,!,MZ009F-Plate1-L028-OD333-T08,MZ009F-Plate1-L028-OD333-T08.d,Sample,,10/18/17 14:43,0.987,2411983,1.054,3612971,1.076,3183784,1.166,3772133,1.166,5641116,1.311,239691,1.188,7234828,1.255,3333225,1.188,2302388,1.691,72508,2.061,25728,1.58,4470913,1.982,6483301,1.803,13219,2.005,1274859,1.971,10306648,2.24,4860947,2.094,22929,2.374,33784,2.475,2002083,2.575,6600279,2.598,6855400,2.911,4077183,2.821,16192835,2.844,10546280,3.123,9661874,3.19,59074,3.179,5122570,3.409,21210325,3.504,1333100,3.537,100536,3.515,3704647,3.616,3803397,3.649,7120550,3.604,6769218,3.604,9208417,3.694,1864,3.649,3959220,3.705,14613179,3.705,24178550,4.018,5440,3.75,1459841,3.728,9274156,3.783,4263217,3.817,3933699,3.761,8691935,3.828,12368126,3.884,12281405,3.862,7692183,3.985,788111,4.018,9217404,4.086,18317240,4.119,191792,4.153,19421409,4.164,12516993,,,4.41,9697,4.365,1107729,4.365,10657026,4.432,7753382,4.119,11717,4.443,11672400,4.477,1487771,4.41,296040,4.511,15631053,4.589,300002,4.611,11712521,4.622,3157884,4.678,10070451,4.813,9630853,4.79,8240,4.79,14347568,4.88,11130790,5.036,4132441
