Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T01,MZ012D-P1-MV01A-T01.d,Sample,,7/31/2018 3:59 AM,0.773,37343,1.936,937879,1.936,6899593,2.126,1929947,2.484,260291,3.569,373,5.191,2270
!,!,MZ012D-P1-MV01B-T01,MZ012D-P1-MV01B-T01.d,Sample,,7/31/2018 4:06 AM,0.786,38586,1.949,900842,1.961,6597656,2.162,1902647,2.509,225563,4.914,673,5.194,4021
!,!,MZ012D-P1-MV01C-T01,MZ012D-P1-MV01C-T01.d,Sample,,7/31/2018 4:12 AM,0.765,32701,1.928,880546,1.940,6405083,2.130,1961077,2.488,210388,4.882,1050,5.184,3111
!,!,MZ012D-P1-MV01D-T01,MZ012D-P1-MV01D-T01.d,Sample,,7/31/2018 4:19 AM,0.775,36263,1.950,885780,1.961,6500557,2.162,1915927,2.509,209609,3.907,840,5.295,11859
!,!,MZ012D-P1-MV02A-T01,MZ012D-P1-MV02A-T01.d,Sample,,7/31/2018 4:25 AM,1.053,10099,1.926,860548,1.937,6363851,2.127,1774453,2.485,173819,3.492,1097,5.271,6471
!,!,MZ012D-P1-MV02B-T01,MZ012D-P1-MV02B-T01.d,Sample,,7/31/2018 4:31 AM,1.086,19478,1.958,828878,1.958,6330697,2.160,1808525,2.506,166310,4.979,1102,5.292,7979
!,!,MZ012D-P1-MV02C-T01,MZ012D-P1-MV02C-T01.d,Sample,,7/31/2018 4:38 AM,0.762,8906,1.936,830841,1.936,6299674,2.127,1823899,2.485,148996,3.447,839,5.203,2024
!,!,MZ012D-P1-MV02D-T01,MZ012D-P1-MV02D-T01.d,Sample,,7/31/2018 4:44 AM,0.753,33655,1.961,877671,1.961,6859831,2.162,1713145,2.509,267327,3.605,2126,5.183,1352
!,!,MZ012D-P1-MV03A-T01,MZ012D-P1-MV03A-T01.d,Sample,,7/31/2018 4:51 AM,0.774,11395,1.937,795191,1.937,6179809,2.127,1848708,2.485,164820,3.895,1319,5.271,10325
!,!,MZ012D-P1-MV03B-T01,MZ012D-P1-MV03B-T01.d,Sample,,7/31/2018 4:57 AM,0.785,15625,1.960,819362,1.960,6525576,2.162,1846791,2.508,187231,3.929,1681,5.216,2361
!,!,MZ012D-P1-MV03C-T01,MZ012D-P1-MV03C-T01.d,Sample,,7/31/2018 5:04 AM,0.751,14249,1.937,860943,1.937,6746866,2.127,1905873,2.485,194730,3.883,2008,5.270,6913
!,!,MZ012D-P1-MV03D-T01,MZ012D-P1-MV03D-T01.d,Sample,,7/31/2018 5:10 AM,0.773,11763,1.947,821552,1.959,6527583,2.160,1890194,2.507,169477,4.923,953,5.180,1924
!,!,MZ012D-P1-MV04A-T01,MZ012D-P1-MV04A-T01.d,Sample,,7/31/2018 5:17 AM,0.762,52286,1.937,885909,1.937,6712870,2.127,2033712,2.485,188622,3.581,1122,5.270,12640
!,!,MZ012D-P1-MV04B-T01,MZ012D-P1-MV04B-T01.d,Sample,,7/31/2018 5:23 AM,0.774,60188,1.960,874439,1.960,6747020,2.161,2050078,2.508,196160,3.089,1305,5.293,10873
!,!,MZ012D-P1-MV04C-T01,MZ012D-P1-MV04C-T01.d,Sample,,7/31/2018 5:29 AM,0.773,83742,1.936,907663,1.936,7080270,2.137,2093387,2.484,238717,3.580,635,5.180,2180
!,!,MZ012D-P1-MV04D-T01,MZ012D-P1-MV04D-T01.d,Sample,,7/31/2018 5:36 AM,0.773,65076,1.948,909675,1.959,6890239,2.160,2067851,2.507,188348,4.252,3569,5.282,6098
!,!,MZ012D-P1-MV05A-T01,MZ012D-P1-MV05A-T01.d,Sample,,7/31/2018 5:42 AM,1.055,14605,1.927,794088,1.939,5939805,2.129,1355100,2.487,166691,3.740,585,5.183,1936
!,!,MZ012D-P1-MV05B-T01,MZ012D-P1-MV05B-T01.d,Sample,,7/31/2018 5:49 AM,1.075,13804,1.959,761702,1.959,5690928,2.160,1253275,2.507,162499,4.923,839,5.293,5171
!,!,MZ012D-P1-MV05C-T01,MZ012D-P1-MV05C-T01.d,Sample,,7/31/2018 5:55 AM,1.055,14753,1.939,762216,1.939,5627354,2.129,1311324,2.487,152323,3.740,679,5.183,4079
!,!,MZ012D-P1-MV05D-T01,MZ012D-P1-MV05D-T01.d,Sample,,7/31/2018 6:02 AM,1.087,14312,1.960,755497,1.960,5606921,2.161,1266927,2.508,142138,4.902,694,5.204,1778
!,!,MZ012D-P1-MV06A-T01,MZ012D-P1-MV06A-T01.d,Sample,,7/31/2018 6:08 AM,0.761,8867,1.936,815006,1.936,6080000,2.126,1847109,2.484,143458,4.878,1429,5.259,2407
!,!,MZ012D-P1-MV06B-T01,MZ012D-P1-MV06B-T01.d,Sample,,7/31/2018 6:15 AM,0.773,18074,1.959,835577,1.959,6415090,2.160,1811680,2.507,189076,3.100,826,5.203,2950
!,!,MZ012D-P1-MV06C-T01,MZ012D-P1-MV06C-T01.d,Sample,,7/31/2018 6:21 AM,0.751,21015,1.937,848180,1.937,6507931,2.127,1790277,2.485,206187,3.459,803,5.181,2571
!,!,MZ012D-P1-MV06D-T01,MZ012D-P1-MV06D-T01.d,Sample,,7/31/2018 6:28 AM,0.763,13391,1.960,821234,1.960,6289487,2.161,1813543,2.508,150962,4.902,1093,5.193,3065
!,!,MZ012D-P1-MV07A-T01,MZ012D-P1-MV07A-T01.d,Sample,,7/31/2018 6:34 AM,1.074,16742,1.936,835933,1.936,6314575,2.126,1671271,2.484,184442,3.233,495,5.180,3521
!,!,MZ012D-P1-MV07B-T01,MZ012D-P1-MV07B-T01.d,Sample,,7/31/2018 6:40 AM,0.773,10869,1.959,794503,1.959,6024227,2.161,1610752,2.507,175862,3.749,604,5.203,1954
!,!,MZ012D-P1-MV07C-T01,MZ012D-P1-MV07C-T01.d,Sample,,7/31/2018 6:47 AM,0.753,11678,1.928,813736,1.939,6052120,2.129,1698061,2.487,163060,4.870,1024,5.172,937
!,!,MZ012D-P1-MV07D-T01,MZ012D-P1-MV07D-T01.d,Sample,,7/31/2018 6:53 AM,1.086,13377,1.959,797256,1.959,6195227,2.160,1679002,2.507,170517,4.901,749,5.203,5005
!,!,MZ012D-P1-MV08A-T01,MZ012D-P1-MV08A-T01.d,Sample,,7/31/2018 7:00 AM,0.762,35512,1.937,856936,1.937,6549416,2.127,1859344,2.485,229432,4.868,1094,5.181,3200
!,!,MZ012D-P1-MV08B-T01,MZ012D-P1-MV08B-T01.d,Sample,,7/31/2018 7:06 AM,0.774,25337,1.959,856585,1.959,6428658,2.161,1797389,2.508,242973,4.890,1178,5.204,1745
