Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P2-MV24A-T02,MZ012D-P2-MV24A-T02.d,Sample,,8/4/2018 2:31 AM,1.937,5684808,1.926,3371975,1.926,682125,2.127,1541094,2.754,4919841,3.738,379601,4.577,26708
!,!,MZ012D-P2-MV24B-T02,MZ012D-P2-MV24B-T02.d,Sample,,8/4/2018 2:37 AM,1.950,5560192,1.939,3302925,1.950,638370,2.152,1598819,2.778,4812559,3.763,367401,4.591,17245
!,!,MZ012D-P2-MV24C-T02,MZ012D-P2-MV24C-T02.d,Sample,,8/4/2018 2:44 AM,1.938,5284080,1.927,3140939,1.938,636597,2.128,1561712,2.755,4606253,3.728,343581,4.578,16882
!,!,MZ012D-P2-MV24D-T02,MZ012D-P2-MV24D-T02.d,Sample,,8/4/2018 2:50 AM,1.950,5469651,1.939,3352896,1.950,642697,2.162,1555000,2.778,4831396,3.762,386602,4.601,14961
,!,MZ012D-P2-MV25A-T02,MZ012D-P2-MV25A-T02.d,Sample,,8/4/2018 3:22 AM,1.939,5633123,1.928,3454281,1.939,654865,2.129,1574159,2.756,5317117,3.740,359421,4.579,424486
!,!,MZ012D-P2-MV25B-T02,MZ012D-P2-MV25B-T02.d,Sample,,8/4/2018 3:29 AM,1.951,5240491,1.940,3236391,1.951,614482,2.152,1623141,2.779,4725071,3.763,362436,4.602,107296
!,!,MZ012D-P2-MV25C-T02,MZ012D-P2-MV25C-T02.d,Sample,,8/4/2018 3:35 AM,1.938,5319343,1.927,3202192,1.938,629306,2.140,1616553,2.755,4839101,3.739,345634,4.579,42038
!,!,MZ012D-P2-MV25D-T02,MZ012D-P2-MV25D-T02.d,Sample,,8/4/2018 3:42 AM,1.948,5226070,1.937,3262912,1.948,618208,2.161,1600624,2.776,4778297,3.761,373949,4.588,19946
!,!,MZ012D-P2-MV26A-T02,MZ012D-P2-MV26A-T02.d,Sample,,8/4/2018 3:48 AM,1.936,4539623,1.925,2465435,1.936,645623,2.126,1556977,2.764,4450984,3.737,311655,4.576,668420
,!,MZ012D-P2-MV26B-T02,MZ012D-P2-MV26B-T02.d,Sample,,8/4/2018 3:55 AM,1.957,4773382,1.946,2550139,1.957,630106,2.158,1583171,2.785,4743799,3.758,340035,4.597,769534
!,!,MZ012D-P2-MV26C-T02,MZ012D-P2-MV26C-T02.d,Sample,,8/4/2018 4:01 AM,1.937,4798399,1.926,2517499,1.937,665670,2.127,1617078,2.753,4740188,3.738,315796,4.577,717720
!,!,MZ012D-P2-MV26D-T02,MZ012D-P2-MV26D-T02.d,Sample,,8/4/2018 4:07 AM,1.952,4905444,1.941,2639060,1.952,657264,2.153,1627677,2.780,4950913,3.764,339860,4.592,738480
!,!,MZ012D-P2-MV27A-T02,MZ012D-P2-MV27A-T02.d,Sample,,8/4/2018 4:14 AM,1.936,4280544,1.925,2542027,1.936,579001,2.126,1389630,2.764,4525807,3.737,351367,4.576,991757
!,!,MZ012D-P2-MV27B-T02,MZ012D-P2-MV27B-T02.d,Sample,,8/4/2018 4:20 AM,1.949,5074988,1.938,2819679,1.949,619647,2.162,1457022,2.777,5260579,3.762,391712,4.589,1313828
!,!,MZ012D-P2-MV27C-T02,MZ012D-P2-MV27C-T02.d,Sample,,8/4/2018 4:27 AM,1.939,4703148,1.927,2589468,1.939,615112,2.129,1453671,2.755,4689882,3.729,347682,4.568,1215196
!,!,MZ012D-P2-MV27D-T02,MZ012D-P2-MV27D-T02.d,Sample,,8/4/2018 4:33 AM,1.958,4656814,1.936,2640179,1.947,592889,2.160,1431847,2.775,4653371,3.759,359404,4.598,1195521
,!,MZ012D-P2-MV28A-T02,MZ012D-P2-MV28A-T02.d,Sample,,8/4/2018 4:40 AM,1.936,5274953,1.925,2106930,1.936,660297,2.126,1790776,2.753,4753628,3.737,380151,4.576,1870867
!,!,MZ012D-P2-MV28B-T02,MZ012D-P2-MV28B-T02.d,Sample,,8/4/2018 4:46 AM,1.959,5249026,1.937,2028250,1.948,632411,2.160,1798159,2.776,4694916,3.760,394676,4.588,1786083
!,!,MZ012D-P2-MV28C-T02,MZ012D-P2-MV28C-T02.d,Sample,,8/4/2018 4:53 AM,1.937,5101521,1.926,1972014,1.937,642281,2.127,1784165,2.754,4489668,3.738,368249,4.577,1799615
!,!,MZ012D-P2-MV28D-T02,MZ012D-P2-MV28D-T02.d,Sample,,8/4/2018 4:59 AM,1.960,5343334,1.937,2060074,1.949,637252,2.161,1839056,2.776,4756770,3.761,395613,4.589,1768615
,,MZ012D-P2-CTR05A-T02,MZ012D-P2-CTR05A-T02.d,Sample,,8/4/2018 7:14 AM,1.938,4070561,1.927,3309051,1.938,511492,2.129,1022246,2.755,4646717,3.728,403340,4.567,3163254
