Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T12,MZ012D-P1-MV01A-T12.d,Sample,,7/28/2018 9:10 PM,0.763,354983,1.937,1109937,1.937,9834034,2.127,4191037,2.474,2965129,3.571,1502,5.193,2921
!,!,MZ012D-P1-MV01B-T12,MZ012D-P1-MV01B-T12.d,Sample,,7/28/2018 9:16 PM,0.798,455429,1.962,1117824,1.973,9916637,2.163,4102989,2.510,2803737,3.494,1302,5.295,50209
!,!,MZ012D-P1-MV01C-T12,MZ012D-P1-MV01C-T12.d,Sample,,7/28/2018 9:23 PM,0.764,325162,1.938,1083627,1.938,9659151,2.128,4080400,2.475,2650261,3.896,1455,5.216,5034
!,!,MZ012D-P1-MV01D-T12,MZ012D-P1-MV01D-T12.d,Sample,,7/28/2018 9:29 PM,0.785,379324,1.959,1078784,1.970,9631674,2.161,4015348,2.507,2743380,3.917,1212,5.147,2054
!,!,MZ012D-P1-MV02A-T12,MZ012D-P1-MV02A-T12.d,Sample,,7/28/2018 9:36 PM,0.764,342992,1.939,1142093,1.939,9773145,2.129,4215893,2.487,800218,3.897,405565,5.116,1291
!,!,MZ012D-P1-MV02B-T12,MZ012D-P1-MV02B-T12.d,Sample,,7/28/2018 9:42 PM,0.785,402739,1.960,1068080,1.971,9265557,2.161,3963577,2.508,749177,3.918,391740,5.294,16216
!,!,MZ012D-P1-MV02C-T12,MZ012D-P1-MV02C-T12.d,Sample,,7/28/2018 9:49 PM,0.762,327060,1.937,1151455,1.937,10029108,2.138,4277494,2.485,821212,3.894,420308,5.270,16461
!,!,MZ012D-P1-MV02D-T12,MZ012D-P1-MV02D-T12.d,Sample,,7/28/2018 9:55 PM,0.784,459951,1.959,1079303,1.970,9693510,2.160,4085323,2.507,896558,3.917,459896,5.192,2061
!,!,MZ012D-P1-MV03A-T12,MZ012D-P1-MV03A-T12.d,Sample,,7/28/2018 10:01 PM,0.764,383106,1.939,1299426,1.939,10594273,2.140,4680995,2.487,1296294,3.897,1664036,5.273,20167
!,!,MZ012D-P1-MV03B-T12,MZ012D-P1-MV03B-T12.d,Sample,,7/28/2018 10:08 PM,0.772,604931,1.957,1263169,1.969,10546115,2.159,4502457,2.517,1094206,3.915,1665559,5.213,1784
!,!,MZ012D-P1-MV03C-T12,MZ012D-P1-MV03C-T12.d,Sample,,7/28/2018 10:14 PM,0.762,467381,1.937,1340202,1.937,10822676,2.138,4760276,2.485,1136075,3.894,1566824,5.270,18246
!,!,MZ012D-P1-MV03D-T12,MZ012D-P1-MV03D-T12.d,Sample,,7/28/2018 10:21 PM,0.772,400575,1.958,1172305,1.969,10058197,2.159,4433947,2.506,1052428,3.916,1613549,5.225,2594
