Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ012D-P1-MV01A-T12,MZ012D-P1-MV01A-T12.d,Sample,,7/28/2018 9:10 PM,1.937,9851115,1.904,8278,1.937,1112846,2.127,4190366,2.765,6435397,3.738,579207,4.577,60472
!,!,MZ012D-P1-MV01B-T12,MZ012D-P1-MV01B-T12.d,Sample,,7/28/2018 9:16 PM,1.973,9952857,1.928,9912,1.962,1114743,2.163,4099020,2.790,6567929,3.774,587435,4.613,22405
!,!,MZ012D-P1-MV01C-T12,MZ012D-P1-MV01C-T12.d,Sample,,7/28/2018 9:23 PM,1.938,9661781,1.916,9877,1.938,1080903,2.128,4075588,2.766,6246950,3.739,569066,4.578,11782
!,!,MZ012D-P1-MV01D-T12,MZ012D-P1-MV01D-T12.d,Sample,,7/28/2018 9:29 PM,1.970,9661045,1.926,13988,1.959,1071452,2.161,4020195,2.798,6448220,3.772,593663,4.611,6084
,!,MZ012D-P1-MV02A-T12,MZ012D-P1-MV02A-T12.d,Sample,,7/28/2018 9:36 PM,1.939,9777976,1.928,101918,1.939,1137384,2.129,4204243,2.767,7455230,3.740,491353,4.892,6835
!,!,MZ012D-P1-MV02B-T12,MZ012D-P1-MV02B-T12.d,Sample,,7/28/2018 9:42 PM,1.971,9241644,1.949,127555,1.960,1055174,2.161,3945574,2.799,7411504,3.772,515531,4.925,4009
!,!,MZ012D-P1-MV02C-T12,MZ012D-P1-MV02C-T12.d,Sample,,7/28/2018 9:49 PM,1.937,9966300,1.925,115251,1.937,1142723,2.138,4274146,2.764,7705906,3.738,478435,4.879,4521
!,!,MZ012D-P1-MV02D-T12,MZ012D-P1-MV02D-T12.d,Sample,,7/28/2018 9:55 PM,1.970,9673446,1.948,91565,1.959,1065398,2.160,4089092,2.798,7708861,3.771,511371,,
!,!,MZ012D-P1-MV03A-T12,MZ012D-P1-MV03A-T12.d,Sample,,7/28/2018 10:01 PM,1.939,10553344,1.928,605526,1.939,1289537,2.140,4674110,2.767,8162252,3.740,228552,4.579,3961
!,!,MZ012D-P1-MV03B-T12,MZ012D-P1-MV03B-T12.d,Sample,,7/28/2018 10:08 PM,1.969,10536801,1.946,670796,1.957,1263169,2.159,4508418,2.796,8012675,3.770,243733,4.586,7228
!,!,MZ012D-P1-MV03C-T12,MZ012D-P1-MV03C-T12.d,Sample,,7/28/2018 10:14 PM,1.937,10876882,1.925,658374,1.937,1328346,2.138,4755753,2.764,8087761,3.738,246441,4.577,8186
!,!,MZ012D-P1-MV03D-T12,MZ012D-P1-MV03D-T12.d,Sample,,7/28/2018 10:21 PM,1.969,10038592,1.947,658885,1.958,1165680,2.159,4422380,2.797,7872205,3.770,256834,4.609,5854
,!,MZ012D-P1-MV04A-T12,MZ012D-P1-MV04A-T12.d,Sample,,7/28/2018 10:27 PM,1.936,9759048,1.903,1562,1.936,1062851,2.137,4064513,2.764,6849800,3.737,530628,4.576,2407
,!,MZ012D-P1-MV04B-T12,MZ012D-P1-MV04B-T12.d,Sample,,7/28/2018 10:34 PM,1.971,10570559,1.949,4981,1.960,1134323,2.161,4361802,2.788,7736426,3.761,589685,4.925,5195
!,!,MZ012D-P1-MV04C-T12,MZ012D-P1-MV04C-T12.d,Sample,,7/28/2018 10:40 PM,1.945,10153870,1.911,3326,1.934,1109643,2.135,4268897,2.761,7351543,3.746,552867,4.887,13235
,!,MZ012D-P1-MV04D-T12,MZ012D-P1-MV04D-T12.d,Sample,,7/28/2018 10:47 PM,1.960,10512005,1.926,3373,1.960,1109442,2.161,4367182,2.788,7693732,3.761,583552,5.036,9976
!,!,MZ012D-P1-MV05A-T12,MZ012D-P1-MV05A-T12.d,Sample,,7/28/2018 10:53 PM,1.936,8353937,1.925,3355236,1.936,1109070,2.138,2676563,2.764,7059496,3.737,584721,4.576,1405933
!,!,MZ012D-P1-MV05B-T12,MZ012D-P1-MV05B-T12.d,Sample,,7/28/2018 10:59 PM,1.959,9104323,1.947,3717142,1.959,1168378,2.160,2606752,2.798,7967627,3.771,645992,4.599,1865481
!,!,MZ012D-P1-MV05C-T12,MZ012D-P1-MV05C-T12.d,Sample,,7/28/2018 11:06 PM,1.935,8257974,1.924,3247375,1.935,1122655,2.137,2596614,2.763,6949088,3.737,568022,4.576,1730987
!,!,MZ012D-P1-MV05D-T12,MZ012D-P1-MV05D-T12.d,Sample,,7/28/2018 11:12 PM,1.959,8331524,1.948,3373180,1.959,1135739,2.161,2512560,2.787,7244501,3.772,565426,4.599,1776042
!,!,MZ012D-P1-MV06A-T12,MZ012D-P1-MV06A-T12.d,Sample,,7/28/2018 11:19 PM,1.939,9849365,1.928,144956,1.928,1140514,2.129,4291086,2.767,7602911,3.740,582693,4.579,325072
!,!,MZ012D-P1-MV06B-T12,MZ012D-P1-MV06B-T12.d,Sample,,7/28/2018 11:25 PM,1.968,9413879,1.946,179182,1.957,1080241,2.158,3957538,2.796,7836413,3.769,627639,4.608,170966
!,!,MZ012D-P1-MV06C-T12,MZ012D-P1-MV06C-T12.d,Sample,,7/28/2018 11:32 PM,1.938,9564847,1.927,158420,1.938,1121433,2.140,4131285,2.766,7364720,3.739,583287,4.578,115807
