Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T00,MZ012D-P1-MV01A-T00.d,Sample,,7/31/2018 2:57 PM,0.763,10846,1.937,862215,1.937,6292574,2.128,1756300,2.486,293148,4.902,1384,5.271,7637
!,!,MZ012D-P1-MV01B-T00,MZ012D-P1-MV01B-T00.d,Sample,,7/31/2018 3:04 PM,1.088,17130,1.960,803146,1.960,5801516,2.162,1676284,2.508,262824,3.101,722,5.294,8395
!,!,MZ012D-P1-MV01C-T00,MZ012D-P1-MV01C-T00.d,Sample,,7/31/2018 3:10 PM,0.775,6276,1.938,791064,1.938,5734883,2.129,1724749,2.486,254072,3.739,685,5.149,1331
!,!,MZ012D-P1-MV01D-T00,MZ012D-P1-MV01D-T00.d,Sample,,7/31/2018 3:17 PM,1.079,15896,1.952,828264,1.963,6073320,2.164,1725142,2.511,286456,3.562,789,5.207,3938
!,!,MZ012D-P1-MV02A-T00,MZ012D-P1-MV02A-T00.d,Sample,,7/31/2018 3:23 PM,1.054,17507,1.938,801814,1.938,5862322,2.128,1679124,2.486,249455,4.880,879,5.271,5014
!,!,MZ012D-P1-MV02B-T00,MZ012D-P1-MV02B-T00.d,Sample,,7/31/2018 3:29 PM,1.078,17033,1.962,786201,1.962,5842121,2.163,1621332,2.510,258980,3.483,1581,5.184,2729
!,!,MZ012D-P1-MV02C-T00,MZ012D-P1-MV02C-T00.d,Sample,,7/31/2018 3:36 PM,1.050,17884,1.933,824885,1.945,6100005,2.124,1697613,2.482,281430,3.063,387,5.189,2147
!,!,MZ012D-P1-MV02D-T00,MZ012D-P1-MV02D-T00.d,Sample,,7/31/2018 3:42 PM,1.089,16557,1.961,811849,1.961,6148983,2.163,1642672,2.509,327352,4.903,978,5.284,4154
!,!,MZ012D-P1-MV03A-T00,MZ012D-P1-MV03A-T00.d,Sample,,7/31/2018 3:49 PM,1.054,16786,1.938,770329,1.938,5761821,2.128,1649610,2.486,252144,3.571,1187,5.193,716
!,!,MZ012D-P1-MV03B-T00,MZ012D-P1-MV03B-T00.d,Sample,,7/31/2018 3:55 PM,1.078,16548,1.962,785830,1.962,5993377,2.164,1646916,2.510,298425,3.517,343,5.195,2649
!,!,MZ012D-P1-MV03C-T00,MZ012D-P1-MV03C-T00.d,Sample,,7/31/2018 4:02 PM,1.055,16039,1.939,804980,1.939,5926525,2.129,1749554,2.487,295656,3.572,621,5.183,2171
!,!,MZ012D-P1-MV03D-T00,MZ012D-P1-MV03D-T00.d,Sample,,7/31/2018 4:08 PM,1.076,17100,1.960,811771,1.960,6358270,2.161,1724469,2.508,316176,3.929,634,5.204,2116
!,!,MZ012D-P1-MV04A-T00,MZ012D-P1-MV04A-T00.d,Sample,,7/31/2018 4:15 PM,0.773,13354,1.936,830977,1.936,6149432,2.127,1811593,2.485,221563,4.230,2264,5.169,1191
!,!,MZ012D-P1-MV04B-T00,MZ012D-P1-MV04B-T00.d,Sample,,7/31/2018 4:21 PM,1.075,17602,1.959,837041,1.959,6351058,2.161,1782431,2.507,283337,3.593,1532,5.192,1988
!,!,MZ012D-P1-MV04C-T00,MZ012D-P1-MV04C-T00.d,Sample,,7/31/2018 4:27 PM,0.774,9480,1.937,834281,1.937,6219440,2.127,1853639,2.485,225768,3.481,1308,5.260,5395
!,!,MZ012D-P1-MV04D-T00,MZ012D-P1-MV04D-T00.d,Sample,,7/31/2018 4:34 PM,0.785,12224,1.960,842366,1.960,6407904,2.161,1814471,2.508,248741,3.582,664,5.294,6689
!,!,MZ012D-P1-MV05A-T00,MZ012D-P1-MV05A-T00.d,Sample,,7/31/2018 4:40 PM,1.065,19394,1.938,724896,1.938,5280480,2.128,1234900,2.486,209068,4.925,452,5.272,3592
!,!,MZ012D-P1-MV05B-T00,MZ012D-P1-MV05B-T00.d,Sample,,7/31/2018 4:47 PM,1.074,14537,1.957,756560,1.969,5648401,2.159,1234743,2.505,274105,4.922,1376,5.291,1416
!,!,MZ012D-P1-MV05C-T00,MZ012D-P1-MV05C-T00.d,Sample,,7/31/2018 4:53 PM,0.887,2242,1.939,752371,1.939,5585306,2.129,1238117,2.487,284214,4.892,926,5.183,3473
!,!,MZ012D-P1-MV05D-T00,MZ012D-P1-MV05D-T00.d,Sample,,7/31/2018 5:00 PM,1.086,14866,1.958,711366,1.958,5335248,2.160,1238518,2.506,244968,4.923,1785,5.180,4101
