Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T08,MZ012D-P1-MV01A-T08.d,Sample,,7/29/2018 8:08 AM,1.939,10781724,1.928,38971,1.939,1268635,2.129,4996293,2.767,7408487,3.740,607570,4.579,45142
!,!,MZ012D-P1-MV01B-T08,MZ012D-P1-MV01B-T08.d,Sample,,7/29/2018 8:14 AM,1.960,9557126,1.938,34537,1.960,1105192,2.162,4366308,2.788,7032907,3.761,590133,4.600,21993
!,!,MZ012D-P1-MV01C-T08,MZ012D-P1-MV01C-T08.d,Sample,,7/29/2018 8:21 AM,1.938,9594153,1.926,35451,1.938,1133782,2.139,4479142,2.765,6859028,3.739,558368,4.578,9302
!,!,MZ012D-P1-MV01D-T08,MZ012D-P1-MV01D-T08.d,Sample,,7/29/2018 8:27 AM,1.969,9865220,1.946,34850,1.958,1160185,2.159,4505398,2.797,7313853,3.770,588457,4.609,6262
!,!,MZ012D-P1-MV02A-T08,MZ012D-P1-MV02A-T08.d,Sample,,7/29/2018 8:34 AM,1.939,9429183,1.927,921205,1.939,1185012,2.129,4157800,2.766,7322130,3.740,518425,4.579,7203
!,!,MZ012D-P1-MV02B-T08,MZ012D-P1-MV02B-T08.d,Sample,,7/29/2018 8:40 AM,1.969,9147666,1.947,1020133,1.958,1126056,2.159,3967326,2.797,7541560,3.770,542105,4.598,4741
!,!,MZ012D-P1-MV02C-T08,MZ012D-P1-MV02C-T08.d,Sample,,7/29/2018 8:47 AM,1.938,10000201,1.927,982895,1.938,1229333,2.139,4418836,2.766,7470417,3.739,542829,,
!,!,MZ012D-P1-MV02D-T08,MZ012D-P1-MV02D-T08.d,Sample,,7/29/2018 8:53 AM,1.959,9487340,1.937,875016,1.959,1139692,2.160,4116935,2.798,7779148,3.771,572875,,
!,!,MZ012D-P1-MV03A-T08,MZ012D-P1-MV03A-T08.d,Sample,,7/29/2018 8:59 AM,1.937,10053199,1.926,1957774,1.937,1220770,2.138,4409292,2.765,7959183,3.738,460240,4.577,5520
!,!,MZ012D-P1-MV03B-T08,MZ012D-P1-MV03B-T08.d,Sample,,7/29/2018 9:06 AM,1.960,10377882,1.937,2132771,1.960,1236372,2.161,4529595,2.788,8393610,3.772,462555,4.611,4755
!,!,MZ012D-P1-MV03C-T08,MZ012D-P1-MV03C-T08.d,Sample,,7/29/2018 9:12 AM,1.938,9641103,1.927,1894264,1.938,1159301,2.139,4359709,2.766,7526442,3.739,423771,,
!,!,MZ012D-P1-MV03D-T08,MZ012D-P1-MV03D-T08.d,Sample,,7/29/2018 9:19 AM,1.961,9174906,1.938,1896805,1.961,1115219,2.162,4113735,2.789,7443219,3.773,406708,4.601,7035
!,!,MZ012D-P1-MV04A-T08,MZ012D-P1-MV04A-T08.d,Sample,,7/29/2018 9:25 AM,1.937,9802378,1.926,20150,1.937,1105034,2.138,4187148,2.765,7262595,3.738,523175,,
!,!,MZ012D-P1-MV04B-T08,MZ012D-P1-MV04B-T08.d,Sample,,7/29/2018 9:32 AM,1.969,10112245,1.947,22096,1.958,1135129,2.160,4276268,2.797,7603496,3.770,598196,4.945,8845
!,!,MZ012D-P1-MV04C-T08,MZ012D-P1-MV04C-T08.d,Sample,,7/29/2018 9:38 AM,1.938,9567385,1.927,21649,1.938,1067630,2.139,4152688,2.766,6978843,3.739,532530,4.858,1480
