Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T02,MZ012D-P1-MV01A-T02.d,Sample,,7/30/2018 5:01 PM,1.935,7665850,1.924,2003926,1.935,1056678,2.126,2428333,2.763,6788685,3.736,485116,4.575,2192803
!,!,MZ012D-P1-MV01B-T02,MZ012D-P1-MV01B-T02.d,Sample,,7/30/2018 5:08 PM,1.969,7863117,1.947,2106214,1.958,1046631,2.159,2368537,2.797,7176921,3.770,504994,4.598,2537329
!,!,MZ012D-P1-MV01C-T02,MZ012D-P1-MV01C-T02.d,Sample,,7/30/2018 5:14 PM,1.936,7910254,1.925,2023641,1.936,1082741,2.126,2475930,2.764,6972150,3.737,476611,4.576,2486009
!,!,MZ012D-P1-MV01D-T02,MZ012D-P1-MV01D-T02.d,Sample,,7/30/2018 5:21 PM,1.962,7901901,1.940,1932117,1.962,1062292,2.164,2376767,2.790,7273788,3.764,490410,4.603,2582902
!,!,MZ012D-P1-MV02A-T02,MZ012D-P1-MV02A-T02.d,Sample,,7/30/2018 5:27 PM,1.939,7405962,1.928,4329894,1.939,906177,2.129,2095368,2.767,6502262,3.740,447498,4.579,2780884
!,!,MZ012D-P1-MV02B-T02,MZ012D-P1-MV02B-T02.d,Sample,,7/30/2018 5:33 PM,1.958,7287305,1.936,4564749,1.958,895064,2.160,2083212,2.797,6758259,3.760,504398,4.599,3005727
!,!,MZ012D-P1-MV02C-T02,MZ012D-P1-MV02C-T02.d,Sample,,7/30/2018 5:40 PM,1.940,7185252,1.918,4488069,1.940,904162,2.130,2054181,2.768,6837558,3.741,473291,4.580,3041113
!,!,MZ012D-P1-MV02D-T02,MZ012D-P1-MV02D-T02.d,Sample,,7/30/2018 5:46 PM,1.969,7515882,1.947,4684226,1.958,933894,2.159,2096560,2.797,6886149,3.759,506526,4.598,2992186
!,!,MZ012D-P1-MV03A-T02,MZ012D-P1-MV03A-T02.d,Sample,,7/30/2018 5:53 PM,1.937,8021758,1.926,4972630,1.937,959626,2.128,2334963,2.765,7407488,3.738,473614,4.578,385967
!,!,MZ012D-P1-MV03B-T02,MZ012D-P1-MV03B-T02.d,Sample,,7/30/2018 5:59 PM,1.960,7728567,1.938,5109515,1.960,911761,2.162,2243390,2.799,7463038,3.761,469891,4.601,130697
!,!,MZ012D-P1-MV03C-T02,MZ012D-P1-MV03C-T02.d,Sample,,7/30/2018 6:06 PM,1.937,7786397,1.925,4901408,1.937,966033,2.127,2332169,2.764,7124840,3.738,454825,4.577,52300
!,!,MZ012D-P1-MV03D-T02,MZ012D-P1-MV03D-T02.d,Sample,,7/30/2018 6:12 PM,1.959,7205333,1.937,4771936,1.959,884963,2.161,2184631,2.798,6749234,3.772,448895,4.600,28591
!,!,MZ012D-P1-MV04A-T02,MZ012D-P1-MV04A-T02.d,Sample,,7/30/2018 6:19 PM,1.938,8205919,1.926,2097611,1.938,1041984,2.128,2653239,2.765,6911281,3.739,479730,4.578,988819
!,!,MZ012D-P1-MV04B-T02,MZ012D-P1-MV04B-T02.d,Sample,,7/30/2018 6:25 PM,1.970,8122361,1.948,2155874,1.959,1000184,2.160,2584107,2.798,7050075,3.760,528702,4.599,1180022
,!,MZ012D-P1-MV04C-T02,MZ012D-P1-MV04C-T02.d,Sample,,7/30/2018 6:31 PM,1.937,8112011,1.926,2138267,1.937,1029179,2.127,2512147,2.765,6940999,3.738,498396,4.577,1247834
!,!,MZ012D-P1-MV04D-T02,MZ012D-P1-MV04D-T02.d,Sample,,7/30/2018 6:38 PM,1.961,8014148,1.939,2122189,1.961,982338,2.163,2543814,2.789,7064289,3.762,503627,4.601,1065578
!,!,MZ012D-P1-MV05A-T02,MZ012D-P1-MV05A-T02.d,Sample,,7/30/2018 6:44 PM,1.936,6564745,1.925,4669136,1.936,840671,2.126,1369262,2.764,7308925,3.737,533181,4.576,4352979
!,!,MZ012D-P1-MV05B-T02,MZ012D-P1-MV05B-T02.d,Sample,,7/30/2018 6:51 PM,1.970,6441307,1.948,4631090,1.959,827958,2.160,1334366,2.798,6992219,3.760,538471,4.599,4552455
!,!,MZ012D-P1-MV05C-T02,MZ012D-P1-MV05C-T02.d,Sample,,7/30/2018 6:57 PM,1.939,6212678,1.927,4527693,1.939,829397,2.129,1401198,2.766,6707780,3.740,491077,4.579,4306861
!,!,MZ012D-P1-MV05D-T02,MZ012D-P1-MV05D-T02.d,Sample,,7/30/2018 7:04 PM,1.960,6598310,1.948,4627492,1.960,871353,2.161,1395867,2.799,6922105,3.761,515591,4.600,4323215
!,!,MZ012D-P1-MV06A-T02,MZ012D-P1-MV06A-T02.d,Sample,,7/30/2018 7:10 PM,1.938,7202460,1.927,3192060,1.938,923214,2.128,2207834,2.766,6537593,3.739,479887,4.578,3320026
!,!,MZ012D-P1-MV06B-T02,MZ012D-P1-MV06B-T02.d,Sample,,7/30/2018 7:17 PM,1.959,7033732,1.948,3418501,1.959,896711,2.161,2088556,2.798,6929554,3.771,509743,4.599,3482869
!,!,MZ012D-P1-MV06C-T02,MZ012D-P1-MV06C-T02.d,Sample,,7/30/2018 7:23 PM,1.946,7012144,1.924,3352434,1.935,913931,2.137,2163238,2.763,6576159,3.748,478596,4.575,3424968
!,!,MZ012D-P1-MV06D-T02,MZ012D-P1-MV06D-T02.d,Sample,,7/30/2018 7:29 PM,1.969,7136032,1.947,3391093,1.958,891574,2.160,2103129,2.797,6815016,3.759,546230,4.598,3471540
!,!,MZ012D-P1-MV07A-T02,MZ012D-P1-MV07A-T02.d,Sample,,7/30/2018 7:36 PM,1.936,7380238,1.925,4157855,1.936,970484,2.126,1812097,2.764,7900450,3.737,540466,4.576,4441901
!,!,MZ012D-P1-MV07B-T02,MZ012D-P1-MV07B-T02.d,Sample,,7/30/2018 7:42 PM,1.961,7334648,1.938,4107706,1.961,907021,2.162,1855711,2.788,7857189,3.762,564991,4.601,4451181
