Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T24,MZ012D-P1-MV01A-T24.d,Sample,,7/27/2018 11:14 PM,1.928,11334030,1.905,27447,1.939,1217710,2.129,4714989,2.756,5039319,3.740,751670,4.904,20976
!,!,MZ012D-P1-MV01B-T24,MZ012D-P1-MV01B-T24.d,Sample,,7/27/2018 11:20 PM,1.970,12044072,1.936,11751,1.959,1234822,2.160,4820651,2.809,5812193,3.771,753572,4.901,15925
!,!,MZ012D-P1-MV01C-T24,MZ012D-P1-MV01C-T24.d,Sample,,7/27/2018 11:27 PM,1.929,10790702,1.906,14366,1.929,1136386,2.130,4398502,2.757,4760260,3.741,659123,4.580,5886
!,!,MZ012D-P1-MV01D-T24,MZ012D-P1-MV01D-T24.d,Sample,,7/27/2018 11:33 PM,1.971,11122536,1.937,16518,1.959,1186045,2.161,4645834,2.798,5238644,3.772,723774,,
!,!,MZ012D-P1-MV02A-T24,MZ012D-P1-MV02A-T24.d,Sample,,7/27/2018 11:40 PM,1.938,10443188,,,1.926,1096636,2.128,4741460,2.754,7276677,3.739,254547,4.578,9192
!,!,MZ012D-P1-MV02B-T24,MZ012D-P1-MV02B-T24.d,Sample,,7/27/2018 11:46 PM,1.973,10914919,1.940,5263,1.962,1192985,2.163,4844642,2.801,7888136,3.774,291960,4.602,13730
!,!,MZ012D-P1-MV02C-T24,MZ012D-P1-MV02C-T24.d,Sample,,7/27/2018 11:52 PM,1.938,11295111,1.905,4828,1.938,1192993,2.129,4902463,2.755,7729382,3.740,269444,4.579,19124
,,MZ012D-P1-MV02D-T24,MZ012D-P1-MV02D-T24.d,Sample,,7/27/2018 11:59 PM,1.972,11024735,1.916,8784,1.961,1151945,2.163,4845166,2.800,8207360,3.762,278436,4.601,10253
!,!,MZ012D-P1-MV03A-T24,MZ012D-P1-MV03A-T24.d,Sample,,7/28/2018 12:05 AM,1.938,11552137,1.926,13429,1.938,1244741,2.139,4999969,2.765,7673299,3.750,13633,4.578,10128
,,MZ012D-P1-MV03B-T24,MZ012D-P1-MV03B-T24.d,Sample,,7/28/2018 12:12 AM,1.972,11385146,1.949,8064,1.961,1209790,2.162,4879063,2.800,7827030,3.773,14790,4.612,9821
!,!,MZ012D-P1-MV03C-T24,MZ012D-P1-MV03C-T24.d,Sample,,7/28/2018 12:18 AM,1.938,10758643,1.927,6189,1.938,1209274,2.139,4622643,2.766,7105590,3.739,6673,4.578,10210
!,!,MZ012D-P1-MV03D-T24,MZ012D-P1-MV03D-T24.d,Sample,,7/28/2018 12:25 AM,1.972,10925374,1.949,11610,1.961,1198484,2.162,4808076,2.800,7604987,3.773,6530,4.612,9894
!,!,MZ012D-P1-MV04A-T24,MZ012D-P1-MV04A-T24.d,Sample,,7/28/2018 12:31 AM,1.937,12525583,2.228,12700,1.937,1340451,2.138,4993230,2.765,7744462,3.738,478402,4.588,18044
!,!,MZ012D-P1-MV04B-T24,MZ012D-P1-MV04B-T24.d,Sample,,7/28/2018 12:38 AM,1.970,11284703,1.926,3174,1.959,1145276,2.161,4786338,2.798,7470091,3.772,495241,4.599,14682
!,!,MZ012D-P1-MV04C-T24,MZ012D-P1-MV04C-T24.d,Sample,,7/28/2018 12:44 AM,1.936,10787343,1.892,5523,1.936,1176638,2.138,4496620,2.764,7019263,3.749,450698,4.576,26383
,!,MZ012D-P1-MV04D-T24,MZ012D-P1-MV04D-T24.d,Sample,,7/28/2018 12:51 AM,1.969,11589952,2.271,11031,1.958,1198041,2.159,4671662,2.797,8085688,3.770,465917,4.609,24659
,!,MZ012D-P1-MV05A-T24,MZ012D-P1-MV05A-T24.d,Sample,,7/28/2018 12:57 AM,1.935,10093362,1.924,393351,1.935,1293614,2.136,4459749,2.763,6591180,3.747,667299,4.586,122706
,!,MZ012D-P1-MV05B-T24,MZ012D-P1-MV05B-T24.d,Sample,,7/28/2018 1:04 AM,1.972,10245642,1.939,474089,1.961,1283063,2.162,4320794,2.800,6991142,3.762,721303,4.601,129419
!,!,MZ012D-P1-MV05C-T24,MZ012D-P1-MV05C-T24.d,Sample,,7/28/2018 1:10 AM,1.938,10161821,1.926,466907,1.938,1301689,2.128,4532673,2.765,6376085,3.739,662201,4.578,150060
!,!,MZ012D-P1-MV05D-T24,MZ012D-P1-MV05D-T24.d,Sample,,7/28/2018 1:17 AM,1.971,10407899,1.949,521613,1.960,1314734,2.162,4381140,2.799,7126597,3.772,720250,4.600,168821
!,!,MZ012D-P1-MV06A-T24,MZ012D-P1-MV06A-T24.d,Sample,,7/28/2018 1:23 AM,1.938,10154088,1.905,5023,1.938,1124722,2.129,4172950,2.766,6651274,3.739,663754,4.578,53737
!,!,MZ012D-P1-MV06B-T24,MZ012D-P1-MV06B-T24.d,Sample,,7/28/2018 1:29 AM,1.969,10695868,1.924,6817,1.958,1169759,2.159,4466185,2.797,7711034,3.770,742023,4.609,55045
,!,MZ012D-P1-MV06C-T24,MZ012D-P1-MV06C-T24.d,Sample,,7/28/2018 1:36 AM,1.936,11061407,1.902,5402,1.936,1202748,2.137,4471759,2.764,7151082,3.737,680246,4.587,44735
!,!,MZ012D-P1-MV06D-T24,MZ012D-P1-MV06D-T24.d,Sample,,7/28/2018 1:42 AM,1.970,11021733,1.936,5278,1.959,1164356,2.160,4444250,2.798,7630398,3.760,740817,4.599,52273
!,!,MZ012D-P1-MV07A-T24,MZ012D-P1-MV07A-T24.d,Sample,,7/28/2018 1:49 AM,1.937,10596037,1.914,7791,1.937,1233716,2.138,4446423,2.765,5746193,3.738,705148,4.577,77607
