Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P2-MV24A-T00,MZ012D-P2-MV24A-T00.d,Sample,,8/4/2018 1:42 PM,0.751,1038,1.937,626131,1.937,4641628,2.139,1376032,2.474,93281,3.738,503,5.193,1500
!,!,MZ012D-P2-MV24B-T00,MZ012D-P2-MV24B-T00.d,Sample,,8/4/2018 1:48 PM,0.817,920,1.958,610099,1.958,4703461,2.160,1346087,2.495,94965,3.536,537,5.124,783
!,!,MZ012D-P2-MV24C-T00,MZ012D-P2-MV24C-T00.d,Sample,,8/4/2018 1:55 PM,0.762,1830,1.936,585120,1.936,4435272,2.138,1265631,2.473,93151,3.514,328,,
!,!,MZ012D-P2-MV24D-T00,MZ012D-P2-MV24D-T00.d,Sample,,8/4/2018 2:01 PM,0.773,855,1.948,621127,1.948,4696904,2.149,1362036,2.496,95083,,,,
!,!,MZ012D-P2-MV25A-T00,MZ012D-P2-MV25A-T00.d,Sample,,8/4/2018 2:34 PM,0.796,613,1.937,581453,1.937,4426181,2.138,1287030,2.474,81436,3.436,523,,
!,!,MZ012D-P2-MV25B-T00,MZ012D-P2-MV25B-T00.d,Sample,,8/4/2018 2:40 PM,1.085,3071,1.958,567844,1.958,4365408,2.159,1279465,2.495,88358,,,5.213,914
!,!,MZ012D-P2-MV25C-T00,MZ012D-P2-MV25C-T00.d,Sample,,8/4/2018 2:46 PM,1.075,3947,1.936,587751,1.936,4505995,2.137,1285461,2.473,94631,3.581,333,5.169,1499
!,!,MZ012D-P2-MV25D-T00,MZ012D-P2-MV25D-T00.d,Sample,,8/4/2018 2:53 PM,0.863,258,1.959,583771,1.959,4680498,2.160,1325428,2.496,77495,3.749,930,5.203,935
!,!,MZ012D-P2-MV26A-T00,MZ012D-P2-MV26A-T00.d,Sample,,8/4/2018 2:59 PM,1.076,2795,1.937,600796,1.937,4162797,2.138,1336631,2.474,73797,3.727,828,5.192,944
!,!,MZ012D-P2-MV26B-T00,MZ012D-P2-MV26B-T00.d,Sample,,8/4/2018 3:06 PM,1.062,3095,1.957,591063,1.957,4202948,2.159,1335854,2.494,78032,3.535,407,,
!,!,MZ012D-P2-MV26C-T00,MZ012D-P2-MV26C-T00.d,Sample,,8/4/2018 3:12 PM,0.716,510,1.935,595824,1.935,4093235,2.137,1328723,2.472,77508,3.725,488,,
!,!,MZ012D-P2-MV26D-T00,MZ012D-P2-MV26D-T00.d,Sample,,8/4/2018 3:19 PM,1.075,4608,1.958,603644,1.958,4307731,2.160,1339493,2.495,81917,3.759,415,5.203,1210
!,!,MZ012D-P2-MV27A-T00,MZ012D-P2-MV27A-T00.d,Sample,,8/4/2018 3:25 PM,,,1.936,605175,1.936,4484666,2.138,1288508,2.473,85709,3.872,628,5.181,472
!,!,MZ012D-P2-MV27B-T00,MZ012D-P2-MV27B-T00.d,Sample,,8/4/2018 3:32 PM,0.761,1691,1.958,603129,1.958,4545378,2.159,1287268,2.506,96281,3.099,521,,
!,!,MZ012D-P2-MV27C-T00,MZ012D-P2-MV27C-T00.d,Sample,,8/4/2018 3:38 PM,0.751,1437,1.937,580747,1.937,4405184,2.139,1272256,2.474,94063,3.067,882,5.170,858
!,!,MZ012D-P2-MV27D-T00,MZ012D-P2-MV27D-T00.d,Sample,,8/4/2018 3:44 PM,,,1.947,585593,1.959,4376768,2.160,1302467,2.496,79548,3.435,326,,
!,!,MZ012D-P2-MV28A-T00,MZ012D-P2-MV28A-T00.d,Sample,,8/4/2018 3:51 PM,0.963,1514,1.937,580604,1.937,4413466,2.138,1429658,2.474,89338,3.738,351,5.192,822
!,!,MZ012D-P2-MV28B-T00,MZ012D-P2-MV28B-T00.d,Sample,,8/4/2018 3:57 PM,0.785,4127,1.948,591500,1.948,4525581,2.150,1428159,2.497,90556,,,5.204,1134
!,!,MZ012D-P2-MV28C-T00,MZ012D-P2-MV28C-T00.d,Sample,,8/4/2018 4:04 PM,1.074,2146,1.936,596539,1.936,4435743,2.137,1430308,2.473,91706,,,,
!,!,MZ012D-P2-MV28D-T00,MZ012D-P2-MV28D-T00.d,Sample,,8/4/2018 4:10 PM,1.066,8296,1.949,621732,1.949,4942692,2.151,1482355,2.498,106452,3.885,496,,
!,!,MZ012D-P2-CTR05A-T00,MZ012D-P2-CTR05A-T00.d,Sample,,8/4/2018 6:26 PM,1.078,5525,1.939,492381,1.939,3848094,2.141,987417,2.476,113603,3.729,470,5.184,986
!,!,MZ012D-P2-CTR06A-T00,MZ012D-P2-CTR06A-T00.d,Sample,,8/4/2018 6:32 PM,1.077,15139,1.949,481106,1.949,3788219,2.162,991524,2.498,111216,3.169,596,,
!,!,MZ012D-P2-CTR07A-T00,MZ012D-P2-CTR07A-T00.d,Sample,,8/4/2018 6:38 PM,1.076,7982,1.937,493065,1.937,3831067,2.138,987471,2.474,112895,3.078,379,,
!,!,MZ012D-P2-CTR08A-T00,MZ012D-P2-CTR08A-T00.d,Sample,,8/4/2018 6:45 PM,0.963,884,1.958,499848,1.958,3836333,2.160,1009121,2.495,120367,,,5.202,1187
