Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T18,MZ012D-P1-MV01A-T18.d,Sample,,7/28/2018 10:12 AM,0.763,550742,1.937,1215383,1.937,11150648,2.139,4563195,2.474,5899449,3.884,3844,5.271,54841
!,!,MZ012D-P1-MV01B-T18,MZ012D-P1-MV01B-T18.d,Sample,,7/28/2018 10:18 AM,0.782,576473,1.957,1204150,1.968,11147963,2.158,4515519,2.505,5588961,3.926,4796,5.291,75342
!,!,MZ012D-P1-MV01C-T18,MZ012D-P1-MV01C-T18.d,Sample,,7/28/2018 10:25 AM,0.772,509144,1.936,1175984,1.936,11092962,2.137,4488574,2.484,5504194,3.894,3050,5.270,63232
!,!,MZ012D-P1-MV01D-T18,MZ012D-P1-MV01D-T18.d,Sample,,7/28/2018 10:31 AM,0.784,558656,1.959,1208881,1.970,11266237,2.160,4471899,2.507,5703399,3.916,3809,5.225,3971
!,!,MZ012D-P1-MV02A-T18,MZ012D-P1-MV02A-T18.d,Sample,,7/28/2018 10:38 AM,0.760,537738,1.935,1162123,1.946,10687707,2.136,4476883,2.483,2073248,3.893,1274666,5.280,35494
!,!,MZ012D-P1-MV02B-T18,MZ012D-P1-MV02B-T18.d,Sample,,7/28/2018 10:44 AM,0.783,635057,1.958,1174161,1.969,10650612,2.159,4508651,2.517,1903810,3.927,1212151,5.303,29282
!,!,MZ012D-P1-MV02C-T18,MZ012D-P1-MV02C-T18.d,Sample,,7/28/2018 10:51 AM,0.763,522371,1.938,1149144,1.938,10351847,2.139,4422817,2.486,1950809,3.895,1150260,5.182,3056
!,!,MZ012D-P1-MV02D-T18,MZ012D-P1-MV02D-T18.d,Sample,,7/28/2018 10:57 AM,0.783,791943,1.958,1134702,1.969,10577248,2.159,4470879,2.506,2240115,3.927,1350777,5.291,20826
!,!,MZ012D-P1-MV03A-T18,MZ012D-P1-MV03A-T18.d,Sample,,7/28/2018 11:04 AM,0.762,338702,1.937,1219490,1.937,10351606,2.138,4364226,2.485,2187215,3.895,2324225,5.270,20549
!,!,MZ012D-P1-MV03B-T18,MZ012D-P1-MV03B-T18.d,Sample,,7/28/2018 11:10 AM,0.785,358575,1.959,1258103,1.971,10815206,2.161,4462698,2.508,2124896,3.917,2500283,5.237,1070
!,!,MZ012D-P1-MV03C-T18,MZ012D-P1-MV03C-T18.d,Sample,,7/28/2018 11:16 AM,0.761,379283,1.935,1284147,1.946,10558980,2.137,4523307,2.483,2091297,3.893,2320859,5.191,2037
!,!,MZ012D-P1-MV03D-T18,MZ012D-P1-MV03D-T18.d,Sample,,7/28/2018 11:23 AM,0.772,402861,1.958,1182314,1.969,10118790,2.159,4201224,2.506,1932677,3.916,2393125,5.213,6429
!,!,MZ012D-P1-MV04A-T18,MZ012D-P1-MV04A-T18.d,Sample,,7/28/2018 11:29 AM,0.763,356634,1.938,1179385,1.938,10403795,2.128,4235947,2.486,2555900,3.895,788300,5.193,2902
!,!,MZ012D-P1-MV04B-T18,MZ012D-P1-MV04B-T18.d,Sample,,7/28/2018 11:36 AM,0.784,409317,1.959,1225402,1.970,11152149,2.160,4624457,2.507,2751132,3.917,832064,5.237,1220
!,!,MZ012D-P1-MV04C-T18,MZ012D-P1-MV04C-T18.d,Sample,,7/28/2018 11:42 AM,0.762,201188,1.937,1244627,1.937,11297286,2.138,4599569,2.485,2759369,3.895,778637,5.204,6926
!,!,MZ012D-P1-MV04D-T18,MZ012D-P1-MV04D-T18.d,Sample,,7/28/2018 11:49 AM,0.774,389911,1.960,1201092,1.971,10922609,2.161,4437727,2.508,2904524,3.917,952807,5.293,27440
!,!,MZ012D-P1-MV05A-T18,MZ012D-P1-MV05A-T18.d,Sample,,7/28/2018 11:55 AM,0.763,185716,1.938,1527365,1.938,10986517,2.128,4055239,2.486,2888980,3.907,2021,5.272,21398
!,!,MZ012D-P1-MV05B-T18,MZ012D-P1-MV05B-T18.d,Sample,,7/28/2018 12:02 PM,0.773,171769,1.959,1318868,1.970,9866206,2.160,3714096,2.507,2300508,3.111,2195,5.293,20600
!,!,MZ012D-P1-MV05C-T18,MZ012D-P1-MV05C-T18.d,Sample,,7/28/2018 12:08 PM,0.774,158861,1.937,1304475,1.937,9934830,2.138,4073268,2.485,2393385,3.626,1027,5.192,3715
