Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ012D-P2-MV24A-T01,MZ012D-P2-MV24A-T01.d,Sample,,8/4/2018 8:06 AM,1.937,5468563,1.925,3884799,1.937,674782,2.127,1493556,2.753,4938616,3.738,381398,4.577,361818
!,!,MZ012D-P2-MV24B-T01,MZ012D-P2-MV24B-T01.d,Sample,,8/4/2018 8:13 AM,1.949,5260355,1.938,3772422,1.949,645547,2.151,1476509,2.777,4727564,3.762,380449,4.589,351470
!,!,MZ012D-P2-MV24C-T01,MZ012D-P2-MV24C-T01.d,Sample,,8/4/2018 8:19 AM,1.939,5192493,1.928,3620851,1.939,649881,2.130,1470190,2.756,4714235,3.729,359819,4.568,377006
!,!,MZ012D-P2-MV24D-T01,MZ012D-P2-MV24D-T01.d,Sample,,8/4/2018 8:26 AM,1.948,5637753,1.937,3882161,1.948,685735,2.160,1458036,2.776,5174396,3.760,403178,4.599,392735
,!,MZ012D-P2-MV25A-T01,MZ012D-P2-MV25A-T01.d,Sample,,8/4/2018 8:58 AM,1.938,4468371,1.927,3325188,1.938,561561,2.139,1356641,2.755,4420242,3.728,324584,4.567,665889
!,!,MZ012D-P2-MV25B-T01,MZ012D-P2-MV25B-T01.d,Sample,,8/4/2018 9:04 AM,1.946,5191297,1.935,3713054,1.946,624703,2.159,1411610,2.774,5480116,3.759,361443,4.586,419791
!,!,MZ012D-P2-MV25C-T01,MZ012D-P2-MV25C-T01.d,Sample,,8/4/2018 9:11 AM,1.935,4851585,1.924,3395849,1.935,605890,2.137,1383658,2.752,4787681,3.737,336735,4.576,394283
!,!,MZ012D-P2-MV25D-T01,MZ012D-P2-MV25D-T01.d,Sample,,8/4/2018 9:17 AM,1.951,4726962,1.939,3367152,1.951,590181,2.152,1414041,2.778,4644209,3.752,329348,4.591,284425
!,!,MZ012D-P2-MV26A-T01,MZ012D-P2-MV26A-T01.d,Sample,,8/4/2018 9:24 AM,1.933,4545377,1.922,2974376,1.933,639905,2.134,1376093,2.761,4753981,3.734,321590,4.573,2616220
!,!,MZ012D-P2-MV26B-T01,MZ012D-P2-MV26B-T01.d,Sample,,8/4/2018 9:30 AM,1.948,4433104,1.937,2957107,1.948,611640,2.149,1356767,2.776,4720435,3.760,347924,4.588,2619764
!,!,MZ012D-P2-MV26C-T01,MZ012D-P2-MV26C-T01.d,Sample,,8/4/2018 9:37 AM,1.939,4500546,1.928,3014964,1.939,637011,2.129,1361162,2.756,4946900,3.729,305256,4.568,2864787
!,!,MZ012D-P2-MV26D-T01,MZ012D-P2-MV26D-T01.d,Sample,,8/4/2018 9:43 AM,1.949,4554574,1.938,2978316,1.949,628819,2.150,1371236,2.777,4855606,3.750,331173,4.589,2824311
!,!,MZ012D-P2-MV27A-T01,MZ012D-P2-MV27A-T01.d,Sample,,8/4/2018 9:49 AM,1.940,4186494,1.929,2996952,1.940,581338,2.130,1272449,2.757,4501302,3.730,330110,4.569,2354710
!,!,MZ012D-P2-MV27B-T01,MZ012D-P2-MV27B-T01.d,Sample,,8/4/2018 9:56 AM,1.959,4157649,1.937,3033786,1.948,573720,2.150,1268291,2.776,4703902,3.761,354104,4.588,2394330
!,!,MZ012D-P2-MV27C-T01,MZ012D-P2-MV27C-T01.d,Sample,,8/4/2018 10:02 AM,1.939,4517435,1.928,3235894,1.939,607974,2.129,1292341,2.756,5176832,3.740,354574,4.568,2564626
!,!,MZ012D-P2-MV27D-T01,MZ012D-P2-MV27D-T01.d,Sample,,8/4/2018 10:09 AM,1.959,4229898,1.936,2998196,1.948,576545,2.149,1335805,2.775,4281552,3.749,343874,4.588,2182443
!,!,MZ012D-P2-MV28A-T01,MZ012D-P2-MV28A-T01.d,Sample,,8/4/2018 10:15 AM,1.937,4619295,1.926,2661919,1.937,618689,2.127,1511874,2.754,4682986,3.727,355528,4.577,2621279
!,!,MZ012D-P2-MV28B-T01,MZ012D-P2-MV28B-T01.d,Sample,,8/4/2018 10:22 AM,1.949,4666275,1.938,2732151,1.949,616752,2.150,1515258,2.777,4910411,3.750,378194,4.589,2823232
!,!,MZ012D-P2-MV28C-T01,MZ012D-P2-MV28C-T01.d,Sample,,8/4/2018 10:28 AM,1.938,4542080,1.926,2636861,1.938,603197,2.139,1502417,2.754,4646605,3.728,361525,4.567,2678031
