Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T06,MZ012D-P1-MV01A-T06.d,Sample,,7/29/2018 7:06 PM,0.763,327495,1.937,1261116,1.937,9652445,2.128,4567817,2.485,1018738,3.739,1718,5.271,26573
!,!,MZ012D-P1-MV01B-T06,MZ012D-P1-MV01B-T06.d,Sample,,7/29/2018 7:12 PM,0.784,342965,1.959,1220971,1.959,9405856,2.160,4233763,2.507,924585,4.912,2012,5.293,33344
!,!,MZ012D-P1-MV01C-T06,MZ012D-P1-MV01C-T06.d,Sample,,7/29/2018 7:19 PM,0.773,286738,1.936,1116273,1.936,8772027,2.138,4090015,2.485,867104,4.946,1603,5.181,2514
!,!,MZ012D-P1-MV01D-T06,MZ012D-P1-MV01D-T06.d,Sample,,7/29/2018 7:25 PM,0.772,306256,1.958,1245706,1.958,9626618,2.160,4387322,2.506,1004327,3.916,921,5.147,4143
!,!,MZ012D-P1-MV02A-T06,MZ012D-P1-MV02A-T06.d,Sample,,7/29/2018 7:31 PM,0.775,150746,1.927,1219528,1.938,9032394,2.128,3687563,2.486,252559,3.896,56360,5.171,1647
!,!,MZ012D-P1-MV02B-T06,MZ012D-P1-MV02B-T06.d,Sample,,7/29/2018 7:38 PM,0.796,158210,1.959,1101814,1.959,8354492,2.160,3477164,2.507,223441,3.917,48359,5.293,12854
!,!,MZ012D-P1-MV02C-T06,MZ012D-P1-MV02C-T06.d,Sample,,7/29/2018 7:44 PM,0.772,141130,1.936,1148922,1.936,8757242,2.137,3643157,2.484,239299,3.882,54280,5.169,3813
!,!,MZ012D-P1-MV02D-T06,MZ012D-P1-MV02D-T06.d,Sample,,7/29/2018 7:51 PM,0.785,195223,1.960,1124566,1.960,8746501,2.161,3645641,2.508,255827,3.918,57965,5.294,5070
!,!,MZ012D-P1-MV03A-T06,MZ012D-P1-MV03A-T06.d,Sample,,7/29/2018 7:57 PM,0.775,134114,1.938,1066348,1.938,8428649,2.139,3763250,2.486,369785,3.896,234368,5.272,6201
!,!,MZ012D-P1-MV03B-T06,MZ012D-P1-MV03B-T06.d,Sample,,7/29/2018 8:04 PM,0.788,136227,1.963,1022861,1.963,8545341,2.164,3816692,2.511,356380,3.920,266371,5.218,8450
!,!,MZ012D-P1-MV03C-T06,MZ012D-P1-MV03C-T06.d,Sample,,7/29/2018 8:10 PM,0.761,134190,1.936,1109975,1.936,8886888,2.137,3997536,2.484,379303,3.893,279698,5.191,565
!,!,MZ012D-P1-MV03D-T06,MZ012D-P1-MV03D-T06.d,Sample,,7/29/2018 8:17 PM,0.773,119603,1.959,981894,1.970,8047052,2.161,3634341,2.507,324746,3.917,261360,5.293,11503
!,!,MZ012D-P1-MV04A-T06,MZ012D-P1-MV04A-T06.d,Sample,,7/29/2018 8:23 PM,0.762,261601,1.936,975373,1.936,8637947,2.138,3779090,2.485,475054,3.883,28053,5.270,11213
!,!,MZ012D-P1-MV04B-T06,MZ012D-P1-MV04B-T06.d,Sample,,7/29/2018 8:29 PM,0.785,294674,1.959,1035748,1.959,8820589,2.161,3888118,2.507,485575,3.917,29418,5.293,6045
!,!,MZ012D-P1-MV04C-T06,MZ012D-P1-MV04C-T06.d,Sample,,7/29/2018 8:36 PM,0.763,250705,1.938,1011039,1.938,8645770,2.139,3728993,2.486,469345,3.896,31201,5.272,11392
!,!,MZ012D-P1-MV04D-T06,MZ012D-P1-MV04D-T06.d,Sample,,7/29/2018 8:42 PM,0.786,300664,1.960,1061054,1.960,9249932,2.162,4029275,2.508,535706,3.918,37571,5.294,13645
!,!,MZ012D-P1-MV05A-T06,MZ012D-P1-MV05A-T06.d,Sample,,7/29/2018 8:49 PM,0.774,14464,1.937,942015,1.937,7117873,2.127,1592455,2.485,336324,3.884,724,5.137,1179
!,!,MZ012D-P1-MV05B-T06,MZ012D-P1-MV05B-T06.d,Sample,,7/29/2018 8:55 PM,0.787,17864,1.962,950226,1.962,7336363,2.163,1583677,2.510,330277,3.091,1133,5.206,3213
!,!,MZ012D-P1-MV05C-T06,MZ012D-P1-MV05C-T06.d,Sample,,7/29/2018 9:02 PM,0.762,12694,1.936,958921,1.936,7123583,2.127,1632741,2.485,311614,4.890,799,5.192,1988
!,!,MZ012D-P1-MV05D-T06,MZ012D-P1-MV05D-T06.d,Sample,,7/29/2018 9:08 PM,0.773,13526,1.959,944951,1.959,7248771,2.161,1623230,2.507,303652,3.637,2331,5.215,2074
!,!,MZ012D-P1-MV06A-T06,MZ012D-P1-MV06A-T06.d,Sample,,7/29/2018 9:15 PM,0.772,105135,1.936,1037440,1.936,8178283,2.137,3473320,2.484,234208,4.945,1593,5.180,3562
!,!,MZ012D-P1-MV06B-T06,MZ012D-P1-MV06B-T06.d,Sample,,7/29/2018 9:21 PM,0.783,118683,1.958,1053019,1.969,8392678,2.159,3472286,2.506,233352,4.911,1084,5.113,1237
!,!,MZ012D-P1-MV06C-T06,MZ012D-P1-MV06C-T06.d,Sample,,7/29/2018 9:27 PM,0.774,114148,1.938,1079356,1.938,8425672,2.139,3570832,2.486,247297,4.902,492,5.182,2026
!,!,MZ012D-P1-MV06D-T06,MZ012D-P1-MV06D-T06.d,Sample,,7/29/2018 9:34 PM,0.784,119448,1.959,1039352,1.959,8425011,2.160,3519458,2.507,253436,3.492,1720,5.192,968
!,!,MZ012D-P1-MV07A-T06,MZ012D-P1-MV07A-T06.d,Sample,,7/29/2018 9:40 PM,0.764,94863,1.939,1050885,1.939,8115940,2.129,2738748,2.487,449748,3.080,1465,5.272,6422
!,!,MZ012D-P1-MV07B-T06,MZ012D-P1-MV07B-T06.d,Sample,,7/29/2018 9:47 PM,0.783,72347,1.958,990795,1.969,7647614,2.159,2663455,2.506,383567,3.782,1022,5.292,2519
!,!,MZ012D-P1-MV07C-T06,MZ012D-P1-MV07C-T06.d,Sample,,7/29/2018 9:53 PM,0.774,81859,1.938,987676,1.938,7651243,2.128,2644195,2.486,377801,3.884,877,5.182,4629
!,!,MZ012D-P1-MV07D-T06,MZ012D-P1-MV07D-T06.d,Sample,,7/29/2018 10:00 PM,0.775,72982,1.961,1024076,1.961,8052929,2.162,2629368,2.509,386553,4.981,1540,5.194,4752
!,!,MZ012D-P1-MV08A-T06,MZ012D-P1-MV08A-T06.d,Sample,,7/29/2018 10:06 PM,0.774,126687,1.937,1084670,1.937,7868213,2.128,2613292,2.486,217734,4.018,983,5.271,3937
!,!,MZ012D-P1-MV08B-T06,MZ012D-P1-MV08B-T06.d,Sample,,7/29/2018 10:13 PM,0.786,142525,1.960,1041427,1.960,7732027,2.162,2568712,2.508,192782,4.925,1852,5.193,2099
!,!,MZ012D-P1-MV08C-T06,MZ012D-P1-MV08C-T06.d,Sample,,7/29/2018 10:19 PM,0.775,128589,1.938,1094761,1.938,7833055,2.128,2706483,2.486,212020,4.959,1217,5.182,4879
!,!,MZ012D-P1-MV08D-T06,MZ012D-P1-MV08D-T06.d,Sample,,7/29/2018 10:25 PM,0.786,136935,1.961,1047637,1.961,7908040,2.162,2627094,2.509,210757,3.102,789,5.216,3763
!,!,MZ012D-P1-MV09A-T06,MZ012D-P1-MV09A-T06.d,Sample,,7/29/2018 10:32 PM,0.751,261983,1.937,1149495,1.937,9592649,2.139,4159928,2.485,263809,3.884,39367,5.271,5817
!,!,MZ012D-P1-MV09B-T06,MZ012D-P1-MV09B-T06.d,Sample,,7/29/2018 10:38 PM,0.763,144692,1.960,1096655,1.960,9367101,2.161,4013206,2.508,226510,3.918,29401,5.294,12118
!,!,MZ012D-P1-MV09C-T06,MZ012D-P1-MV09C-T06.d,Sample,,7/29/2018 10:45 PM,0.773,68002,1.937,1050567,1.937,8967830,2.138,3829839,2.485,213240,3.894,27083,5.192,6589
!,!,MZ012D-P1-MV09D-T06,MZ012D-P1-MV09D-T06.d,Sample,,7/29/2018 10:51 PM,0.762,121521,1.959,1013988,1.959,8679251,2.161,3743514,2.507,193379,3.917,24968,5.204,2866
!,!,MZ012D-P1-MV10A-T06,MZ012D-P1-MV10A-T06.d,Sample,,7/29/2018 10:58 PM,0.774,56896,1.938,1102796,1.938,7583857,2.128,3525135,2.486,127222,3.895,8316,5.171,4448
!,!,MZ012D-P1-MV10B-T06,MZ012D-P1-MV10B-T06.d,Sample,,7/29/2018 11:04 PM,0.776,63877,1.962,1055355,1.962,7927303,2.163,3600552,2.510,131107,3.920,9268,5.195,2813
!,!,MZ012D-P1-MV10C-T06,MZ012D-P1-MV10C-T06.d,Sample,,7/29/2018 11:11 PM,0.762,59436,1.937,1144973,1.937,8004951,2.138,3599950,2.485,135641,3.894,9890,5.270,17379
!,!,MZ012D-P1-MV10D-T06,MZ012D-P1-MV10D-T06.d,Sample,,7/29/2018 11:17 PM,0.773,61304,1.959,1104618,1.959,8060438,2.161,3723138,2.507,144113,3.917,15283,5.215,3071
