Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ012D-P1-MV01A-T18,MZ012D-P1-MV01A-T18.d,Sample,,7/28/2018 10:12 AM,1.937,11118264,1.904,8104,1.937,1211861,2.139,4546299,2.765,5770589,3.738,646443,4.578,98820
!,!,MZ012D-P1-MV01B-T18,MZ012D-P1-MV01B-T18.d,Sample,,7/28/2018 10:18 AM,1.968,11133959,1.923,14297,1.957,1195820,2.158,4528900,2.796,6043885,3.769,673402,4.608,40409
!,!,MZ012D-P1-MV01C-T18,MZ012D-P1-MV01C-T18.d,Sample,,7/28/2018 10:25 AM,1.936,11144896,1.902,14868,1.936,1175984,2.137,4490916,2.764,5667260,3.748,597708,4.576,19048
!,!,MZ012D-P1-MV01D-T18,MZ012D-P1-MV01D-T18.d,Sample,,7/28/2018 10:31 AM,1.970,11258522,1.925,16184,1.959,1196989,2.160,4434422,2.798,6122990,3.771,672216,4.610,12404
!,!,MZ012D-P1-MV02A-T18,MZ012D-P1-MV02A-T18.d,Sample,,7/28/2018 10:38 AM,1.946,10692310,1.913,6642,1.935,1150995,2.136,4467271,2.763,7766047,3.747,384099,4.586,9717
!,!,MZ012D-P1-MV02B-T18,MZ012D-P1-MV02B-T18.d,Sample,,7/28/2018 10:44 AM,1.969,10640960,1.936,11438,1.958,1158062,2.159,4498293,2.797,7865937,3.770,408705,4.609,6967
,!,MZ012D-P1-MV02C-T18,MZ012D-P1-MV02C-T18.d,Sample,,7/28/2018 10:51 AM,1.938,10332116,1.915,5995,1.938,1143603,2.139,4412461,2.766,7442555,3.739,362830,4.891,4011
!,!,MZ012D-P1-MV02D-T18,MZ012D-P1-MV02D-T18.d,Sample,,7/28/2018 10:57 AM,1.969,10557248,1.935,7577,1.958,1130691,2.159,4475548,2.797,8022385,3.770,406886,4.989,8286
!,!,MZ012D-P1-MV03A-T18,MZ012D-P1-MV03A-T18.d,Sample,,7/28/2018 11:04 AM,1.937,10323208,1.926,60345,1.937,1220325,2.138,4361762,2.765,7329683,3.749,34338,4.577,7039
