Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV07C-T24,MZ012D-P1-MV07C-T24.d,Sample,,7/28/2018 2:02 AM,0.772,259234,1.936,1179800,1.936,10035102,2.137,4327582,2.473,5583927,3.894,2432,5.270,5226
!,!,MZ012D-P1-MV07D-T24,MZ012D-P1-MV07D-T24.d,Sample,,7/28/2018 2:08 AM,0.784,245730,1.959,1212410,1.970,10432230,2.160,4329761,2.507,5544875,3.917,3703,5.293,12455
!,!,MZ012D-P1-MV08A-T24,MZ012D-P1-MV08A-T24.d,Sample,,7/28/2018 2:15 AM,0.773,240802,1.937,1209818,1.937,10730401,2.138,4898141,2.474,2424715,3.895,364763,5.181,5877
!,!,MZ012D-P1-MV08B-T24,MZ012D-P1-MV08B-T24.d,Sample,,7/28/2018 2:21 AM,0.772,352097,1.958,1196190,1.969,10797833,2.159,4879139,2.506,2467070,3.916,361481,5.213,3399
!,!,MZ012D-P1-MV08C-T24,MZ012D-P1-MV08C-T24.d,Sample,,7/28/2018 2:27 AM,0.761,299722,1.936,1311552,1.936,11219784,2.137,5083789,2.484,2570329,3.894,397751,5.191,5460
!,!,MZ012D-P1-MV08D-T24,MZ012D-P1-MV08D-T24.d,Sample,,7/28/2018 2:34 AM,0.785,411978,1.959,1227279,1.971,10919475,2.161,5034492,2.508,2807264,3.917,566817,5.181,2040
!,!,MZ012D-P1-MV09A-T24,MZ012D-P1-MV09A-T24.d,Sample,,7/28/2018 2:40 AM,0.762,417290,1.937,1313520,1.937,11636200,2.138,5277912,2.485,1716701,3.895,2788673,5.170,4147
!,!,MZ012D-P1-MV09B-T24,MZ012D-P1-MV09B-T24.d,Sample,,7/28/2018 2:47 AM,0.784,371526,1.959,1155331,1.970,10971776,2.160,4909913,2.507,1503776,3.917,2778489,5.293,32232
!,!,MZ012D-P1-MV09C-T24,MZ012D-P1-MV09C-T24.d,Sample,,7/28/2018 2:53 AM,0.762,261845,1.937,1164489,1.937,10522002,2.138,4700461,2.485,1414262,3.895,2548943,5.192,2413
!,!,MZ012D-P1-MV09D-T24,MZ012D-P1-MV09D-T24.d,Sample,,7/28/2018 3:00 AM,0.782,337789,1.957,1166435,1.968,10914058,2.158,4869651,2.516,1401771,3.925,2645627,5.301,16463
!,!,MZ012D-P1-MV10A-T24,MZ012D-P1-MV10A-T24.d,Sample,,7/28/2018 3:06 AM,0.773,188166,1.936,1291288,1.936,10561611,2.137,4192299,2.484,1806295,3.894,2248524,5.270,47093
!,!,MZ012D-P1-MV10B-T24,MZ012D-P1-MV10B-T24.d,Sample,,7/28/2018 3:13 AM,0.775,235525,1.961,1255620,1.972,10683266,2.162,4410173,2.509,1900515,3.918,2351176,4.880,8400
!,!,MZ012D-P1-MV10C-T24,MZ012D-P1-MV10C-T24.d,Sample,,7/28/2018 3:19 AM,0.763,189539,1.937,1251281,1.937,10092495,2.139,4088090,2.485,1841240,3.895,2192332,4.857,9517
!,!,MZ012D-P1-MV10D-T24,MZ012D-P1-MV10D-T24.d,Sample,,7/28/2018 3:25 AM,0.787,275005,1.962,1241644,1.973,10563067,2.163,4371530,2.510,2228309,3.919,2453604,4.881,10547
!,!,MZ012D-P1-MV11A-T24,MZ012D-P1-MV11A-T24.d,Sample,,7/28/2018 3:32 AM,0.763,422539,1.938,1218306,1.938,10822441,2.139,4441259,2.475,4647910,3.896,1311564,5.193,3265
!,!,MZ012D-P1-MV11B-T24,MZ012D-P1-MV11B-T24.d,Sample,,7/28/2018 3:38 AM,0.773,293636,1.959,1125021,1.970,10234353,2.161,4256687,2.507,4025575,3.917,1094314,5.203,2141
!,!,MZ012D-P1-MV11C-T24,MZ012D-P1-MV11C-T24.d,Sample,,7/28/2018 3:45 AM,0.772,357772,1.936,1186172,1.936,10434044,2.137,4298971,2.484,4017866,3.893,1083309,5.180,3868
!,!,MZ012D-P1-MV11D-T24,MZ012D-P1-MV11D-T24.d,Sample,,7/28/2018 3:51 AM,0.774,267246,1.960,1128757,1.971,10431884,2.161,4380931,2.508,4005012,3.918,1109536,5.294,23912
!,!,MZ012D-P1-MV12A-T24,MZ012D-P1-MV12A-T24.d,Sample,,7/28/2018 3:58 AM,0.773,384496,1.937,1120071,1.937,10285100,2.138,4348898,2.485,3110904,3.894,1473276,5.270,15702
!,!,MZ012D-P1-MV12B-T24,MZ012D-P1-MV12B-T24.d,Sample,,7/28/2018 4:04 AM,0.783,402691,1.958,1179732,1.969,10717601,2.159,4435704,2.506,3303629,3.927,1546255,5.291,18204
!,!,MZ012D-P1-MV12C-T24,MZ012D-P1-MV12C-T24.d,Sample,,7/28/2018 4:11 AM,0.773,411709,1.937,1160887,1.937,10453274,2.138,4254542,2.485,3311299,3.894,1500598,5.203,3939
!,!,MZ012D-P1-MV12D-T24,MZ012D-P1-MV12D-T24.d,Sample,,7/28/2018 4:17 AM,0.784,506650,1.959,1174679,1.970,11139132,2.160,4511216,2.507,4012258,3.916,1776749,5.169,1695
!,!,MZ012D-P1-MV13A-T24,MZ012D-P1-MV13A-T24.d,Sample,,7/28/2018 4:23 AM,0.772,511992,1.936,1505846,1.936,8846995,2.137,5173366,2.473,2831174,3.904,5057,5.269,12846
!,!,MZ012D-P1-MV13B-T24,MZ012D-P1-MV13B-T24.d,Sample,,7/28/2018 4:30 AM,0.773,389249,1.958,1531857,1.970,9234387,2.160,4884676,2.507,2398971,3.916,2155,5.214,2015
!,!,MZ012D-P1-MV13C-T24,MZ012D-P1-MV13C-T24.d,Sample,,7/28/2018 4:36 AM,0.772,343260,1.936,1482262,1.936,8701220,2.137,4870407,2.484,2360764,3.748,2504,5.180,2210
!,!,MZ012D-P1-MV13D-T24,MZ012D-P1-MV13D-T24.d,Sample,,7/28/2018 4:43 AM,0.785,388145,1.959,1496347,1.971,9103714,2.161,4885158,2.508,2347618,4.924,2052,5.293,14318
!,!,MZ012D-P1-MV14A-T24,MZ012D-P1-MV14A-T24.d,Sample,,7/28/2018 4:49 AM,0.772,285305,1.935,1139479,1.935,10500838,2.137,4345200,2.483,3369768,3.893,279712,5.191,4583
!,!,MZ012D-P1-MV14B-T24,MZ012D-P1-MV14B-T24.d,Sample,,7/28/2018 4:56 AM,0.795,259992,1.959,1139498,1.970,10480973,2.160,4331339,2.507,3442690,3.916,317796,5.292,18814
!,!,MZ012D-P1-MV14C-T24,MZ012D-P1-MV14C-T24.d,Sample,,7/28/2018 5:02 AM,0.782,263121,1.934,1156556,1.946,10381138,2.136,4330506,2.483,3464612,3.892,321943,5.190,4262
!,!,MZ012D-P1-MV14D-T24,MZ012D-P1-MV14D-T24.d,Sample,,7/28/2018 5:09 AM,0.784,360743,1.959,1275719,1.970,11340715,2.160,4611233,2.507,4423783,3.917,500765,5.293,24544
!,!,MZ012D-P1-MV15A-T24,MZ012D-P1-MV15A-T24.d,Sample,,7/28/2018 5:15 AM,0.761,162454,1.935,1275824,1.935,9843577,2.137,4212653,2.483,7518879,3.893,29386,5.191,2155
!,!,MZ012D-P1-MV15B-T24,MZ012D-P1-MV15B-T24.d,Sample,,7/28/2018 5:21 AM,0.785,143924,1.960,1203477,1.971,10075829,2.161,4303683,2.508,7430531,3.918,22970,5.226,4329
!,!,MZ012D-P1-MV15C-T24,MZ012D-P1-MV15C-T24.d,Sample,,7/28/2018 5:28 AM,0.763,150406,1.938,1343947,1.938,9996081,2.128,4205783,2.475,7275183,3.896,23530,5.272,19438
!,!,MZ012D-P1-MV15D-T24,MZ012D-P1-MV15D-T24.d,Sample,,7/28/2018 5:34 AM,0.773,155135,1.959,1224966,1.970,9767072,2.160,4204336,2.507,7247816,3.917,15372,5.293,20557
!,!,MZ012D-P1-MV16A-T24,MZ012D-P1-MV16A-T24.d,Sample,,7/28/2018 5:41 AM,0.772,387551,1.935,978475,1.935,9113328,2.137,3761796,2.484,3905480,3.893,82730,5.202,3162
!,!,MZ012D-P1-MV16B-T24,MZ012D-P1-MV16B-T24.d,Sample,,7/28/2018 5:47 AM,0.785,322490,1.960,1085059,1.971,10007724,2.161,4169419,2.508,3892763,3.918,84311,5.227,2260
