Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P2-MV24A-T12,MZ012D-P2-MV24A-T12.d,Sample,,8/3/2018 4:08 AM,1.937,6294396,1.914,77607,1.925,639453,2.127,2649298,2.753,4262387,3.738,335319,4.577,12489
!,!,MZ012D-P2-MV24B-T12,MZ012D-P2-MV24B-T12.d,Sample,,8/3/2018 4:15 AM,1.959,6503125,1.937,96443,1.948,649020,2.150,2663675,2.787,4436474,3.761,347690,,
!,!,MZ012D-P2-MV24C-T12,MZ012D-P2-MV24C-T12.d,Sample,,8/3/2018 4:21 AM,1.938,6162916,1.926,93647,1.938,625137,2.128,2591007,2.765,4105471,3.739,314488,4.567,2291
!,!,MZ012D-P2-MV24D-T12,MZ012D-P2-MV24D-T12.d,Sample,,8/3/2018 4:28 AM,1.960,6266824,1.938,94260,1.949,637042,2.150,2531790,2.788,4291691,3.761,322333,,
!,!,MZ012D-P2-MV25A-T12,MZ012D-P2-MV25A-T12.d,Sample,,8/3/2018 5:00 AM,1.937,5841099,1.926,180587,1.937,680355,2.127,2484962,2.765,4336605,3.738,303564,4.577,208271
!,!,MZ012D-P2-MV25B-T12,MZ012D-P2-MV25B-T12.d,Sample,,8/3/2018 5:06 AM,1.961,5538064,1.939,184522,1.950,622841,2.151,2323209,2.789,4139746,3.762,312628,4.601,56350
!,!,MZ012D-P2-MV25C-T12,MZ012D-P2-MV25C-T12.d,Sample,,8/3/2018 5:13 AM,1.936,6566589,1.913,220646,1.925,793088,2.126,2694808,2.764,4826394,3.737,327401,4.576,20917
!,!,MZ012D-P2-MV25D-T12,MZ012D-P2-MV25D-T12.d,Sample,,8/3/2018 5:19 AM,1.952,6162031,1.941,205512,1.952,718359,2.153,2455580,2.780,4652286,3.764,340168,4.592,7747
!,!,MZ012D-P2-MV26A-T12,MZ012D-P2-MV26A-T12.d,Sample,,8/3/2018 5:26 AM,1.938,5401610,1.916,243494,1.927,685741,2.128,2733204,2.766,4290633,3.739,301836,4.578,5865
!,!,MZ012D-P2-MV26B-T12,MZ012D-P2-MV26B-T12.d,Sample,,8/3/2018 5:32 AM,1.959,6017770,1.937,263838,1.959,737417,2.161,2957995,2.787,4860871,3.760,343102,4.600,2897
!,!,MZ012D-P2-MV26C-T12,MZ012D-P2-MV26C-T12.d,Sample,,8/3/2018 5:39 AM,1.938,5509376,1.915,217686,1.938,716280,2.128,2768741,2.765,4493273,3.728,304812,,
!,!,MZ012D-P2-MV26D-T12,MZ012D-P2-MV26D-T12.d,Sample,,8/3/2018 5:45 AM,1.962,6712154,1.940,278722,1.951,846585,2.152,3222273,2.790,5738042,3.763,383335,4.591,2311
!,!,MZ012D-P2-MV27A-T12,MZ012D-P2-MV27A-T12.d,Sample,,8/3/2018 5:51 AM,1.936,5319656,1.924,335640,1.936,770425,2.126,2513937,2.763,4855535,3.737,355368,4.564,2459
!,!,MZ012D-P2-MV27B-T12,MZ012D-P2-MV27B-T12.d,Sample,,8/3/2018 5:58 AM,1.958,5300489,1.936,345853,1.947,739274,2.149,2484975,2.786,4838778,3.759,355938,,
!,!,MZ012D-P2-MV27C-T12,MZ012D-P2-MV27C-T12.d,Sample,,8/3/2018 6:04 AM,1.938,5447192,1.927,356986,1.927,770261,2.128,2571394,2.766,4773691,3.728,327126,4.567,4132
!,!,MZ012D-P2-MV27D-T12,MZ012D-P2-MV27D-T12.d,Sample,,8/3/2018 6:11 AM,1.959,5798353,1.937,391649,1.948,798967,2.149,2625683,2.787,5194277,3.760,375806,4.734,2089
!,!,MZ012D-P2-MV28A-T12,MZ012D-P2-MV28A-T12.d,Sample,,8/3/2018 6:17 AM,1.936,5753559,1.924,42746,1.936,672705,2.126,2359742,2.763,4255597,3.726,300132,4.565,4201
