Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P2-MV24A-T18,MZ012D-P2-MV24A-T18.d,Sample,,8/2/2018 10:33 PM,0.752,265733,1.938,727058,1.938,7722138,2.128,3348767,2.475,3971164,3.884,1337429,5.182,1014
!,!,MZ012D-P2-MV24B-T18,MZ012D-P2-MV24B-T18.d,Sample,,8/2/2018 10:39 PM,0.772,221717,1.946,811467,1.957,8784518,2.159,3523851,2.494,3929894,3.904,1470299,5.246,1168
!,!,MZ012D-P2-MV24C-T18,MZ012D-P2-MV24C-T18.d,Sample,,8/2/2018 10:46 PM,0.762,178482,1.937,744320,1.937,8096923,2.127,3333517,2.474,3535673,3.884,1294217,5.170,2692
!,!,MZ012D-P2-MV24D-T18,MZ012D-P2-MV24D-T18.d,Sample,,8/2/2018 10:52 PM,0.776,89557,1.950,680155,1.962,7241099,2.152,3102079,2.499,3107912,3.908,1312996,5.251,1319
!,!,MZ012D-P2-MV25A-T18,MZ012D-P2-MV25A-T18.d,Sample,,8/2/2018 11:24 PM,0.763,236978,1.938,719560,1.938,6481361,2.128,2596728,2.475,1436733,3.884,458143,5.227,998
!,!,MZ012D-P2-MV25B-T18,MZ012D-P2-MV25B-T18.d,Sample,,8/2/2018 11:31 PM,0.775,231582,1.961,628125,1.961,5793911,2.151,2476613,2.498,1142661,3.908,390517,5.205,1162
!,!,MZ012D-P2-MV25C-T18,MZ012D-P2-MV25C-T18.d,Sample,,8/2/2018 11:37 PM,0.762,200308,1.937,668541,1.937,5795947,2.127,2465390,2.474,1141410,3.884,369049,,
!,!,MZ012D-P2-MV25D-T18,MZ012D-P2-MV25D-T18.d,Sample,,8/2/2018 11:44 PM,0.771,235220,1.957,742622,1.957,6726669,2.158,2737998,2.505,1270391,3.915,414736,5.257,1626
!,!,MZ012D-P2-MV26A-T18,MZ012D-P2-MV26A-T18.d,Sample,,8/2/2018 11:50 PM,0.762,103571,1.937,929025,1.937,7875309,2.127,3567538,2.474,615476,3.883,28160,5.237,1597
!,!,MZ012D-P2-MV26B-T18,MZ012D-P2-MV26B-T18.d,Sample,,8/2/2018 11:56 PM,0.774,151984,1.960,664774,1.960,5910651,2.161,2705473,2.508,488140,3.917,27074,4.891,1198
!,!,MZ012D-P2-MV26C-T18,MZ012D-P2-MV26C-T18.d,Sample,,8/3/2018 12:03 AM,0.763,149046,1.938,788684,1.938,6636272,2.128,3074182,2.475,669842,3.884,37115,5.238,1745
