Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P2-MV24A-T08,MZ012D-P2-MV24A-T08.d,Sample,,8/3/2018 9:44 AM,1.939,6481938,1.916,690335,1.927,757865,2.129,2432846,2.755,5196105,3.740,369562,4.567,21217
!,!,MZ012D-P2-MV24B-T08,MZ012D-P2-MV24B-T08.d,Sample,,8/3/2018 9:50 AM,1.960,5688034,1.938,650496,1.949,672730,2.150,2189658,2.788,4710580,3.761,355083,4.589,5902
!,!,MZ012D-P2-MV24C-T08,MZ012D-P2-MV24C-T08.d,Sample,,8/3/2018 9:57 AM,1.937,5700465,1.925,637677,1.937,669639,2.127,2290701,2.764,4576793,3.738,350024,4.577,3745
!,!,MZ012D-P2-MV24D-T08,MZ012D-P2-MV24D-T08.d,Sample,,8/3/2018 10:03 AM,1.958,5859838,1.935,658028,1.947,676393,2.148,2247818,2.786,4778885,3.759,371148,4.598,3585
!,!,MZ012D-P2-MV25A-T08,MZ012D-P2-MV25A-T08.d,Sample,,8/3/2018 10:35 AM,1.936,5683021,1.925,841017,1.936,742825,2.126,2160452,2.764,4665061,3.737,312930,4.576,399449
!,!,MZ012D-P2-MV25B-T08,MZ012D-P2-MV25B-T08.d,Sample,,8/3/2018 10:42 AM,1.959,6274061,1.937,962247,1.948,786232,2.160,2319685,2.787,5093974,3.760,342232,4.599,111512
!,!,MZ012D-P2-MV25C-T08,MZ012D-P2-MV25C-T08.d,Sample,,8/3/2018 10:48 AM,1.939,5835669,1.916,884177,1.927,759337,2.129,2252321,2.766,4738059,3.740,325354,4.579,36253
!,!,MZ012D-P2-MV25D-T08,MZ012D-P2-MV25D-T08.d,Sample,,8/3/2018 10:55 AM,1.958,6003923,1.936,937438,1.958,757449,2.160,2214783,2.786,4863464,3.759,324767,4.598,12688
!,!,MZ012D-P2-MV26A-T08,MZ012D-P2-MV26A-T08.d,Sample,,8/3/2018 11:01 AM,1.935,5344374,1.923,812673,1.935,805112,2.125,2531471,2.762,4691286,3.736,305143,4.575,6567
!,!,MZ012D-P2-MV26B-T08,MZ012D-P2-MV26B-T08.d,Sample,,8/3/2018 11:08 AM,1.959,5657612,1.937,815727,1.948,823324,2.149,2631779,2.787,4893598,3.760,338790,4.599,3783
!,!,MZ012D-P2-MV26C-T08,MZ012D-P2-MV26C-T08.d,Sample,,8/3/2018 11:14 AM,1.935,5536651,1.924,772549,1.935,828282,2.126,2663723,2.763,5044518,3.737,324049,4.576,1746
!,!,MZ012D-P2-MV26D-T08,MZ012D-P2-MV26D-T08.d,Sample,,8/3/2018 11:21 AM,1.962,5546201,1.939,794848,1.950,790783,2.152,2527563,2.789,5167515,3.751,353640,4.893,927
!,!,MZ012D-P2-MV27A-T08,MZ012D-P2-MV27A-T08.d,Sample,,8/3/2018 11:27 AM,1.938,4917031,1.927,782160,1.938,710624,2.128,1980234,2.766,4679954,3.739,330315,4.567,1680
!,!,MZ012D-P2-MV27B-T08,MZ012D-P2-MV27B-T08.d,Sample,,8/3/2018 11:33 AM,1.959,5172475,1.937,815974,1.948,709938,2.149,1974815,2.787,4890451,3.760,356270,4.700,1575
!,!,MZ012D-P2-MV27C-T08,MZ012D-P2-MV27C-T08.d,Sample,,8/3/2018 11:40 AM,1.937,5156256,1.926,837081,1.926,727620,2.127,2050054,2.765,4809597,3.738,345580,,
!,!,MZ012D-P2-MV27D-T08,MZ012D-P2-MV27D-T08.d,Sample,,8/3/2018 11:46 AM,1.958,5226685,1.936,842643,1.947,717802,2.149,2036391,2.786,4876416,3.759,333265,,
!,!,MZ012D-P2-MV28A-T08,MZ012D-P2-MV28A-T08.d,Sample,,8/3/2018 11:53 AM,1.938,5901907,1.927,276613,1.938,743921,2.128,2468700,2.766,4990697,3.728,336038,4.578,37220
!,!,MZ012D-P2-MV28B-T08,MZ012D-P2-MV28B-T08.d,Sample,,8/3/2018 11:59 AM,1.958,5718580,1.935,256374,1.958,685587,2.148,2293010,2.785,4745786,3.759,341112,4.598,38812
!,!,MZ012D-P2-MV28C-T08,MZ012D-P2-MV28C-T08.d,Sample,,8/3/2018 12:06 PM,1.936,6079351,1.925,267082,1.936,691425,2.126,2556720,2.764,4656721,3.737,323630,4.576,35216
!,!,MZ012D-P2-MV28D-T08,MZ012D-P2-MV28D-T08.d,Sample,,8/3/2018 12:12 PM,1.948,6960074,1.937,290366,1.948,804138,2.149,2744311,2.776,5947630,3.760,385832,4.599,41917
