Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ012D-P1-MV01A-T00,MZ012D-P1-MV01A-T00.d,Sample,,7/31/2018 2:57 PM,1.937,6284593,1.926,4035554,1.937,856421,2.128,1748700,2.765,6414765,3.739,462281,4.578,4509572
,!,MZ012D-P1-MV01B-T00,MZ012D-P1-MV01B-T00.d,Sample,,7/31/2018 3:04 PM,1.960,5776471,1.938,3931222,1.960,792469,2.162,1679645,2.788,6250027,3.772,462919,4.600,4676069
,!,MZ012D-P1-MV01C-T00,MZ012D-P1-MV01C-T00.d,Sample,,7/31/2018 3:10 PM,1.938,5747131,1.927,3611888,1.938,779063,2.129,1730349,2.766,5744662,3.739,422543,4.578,4378437
,!,MZ012D-P1-MV01D-T00,MZ012D-P1-MV01D-T00.d,Sample,,7/31/2018 3:17 PM,1.963,6057703,1.940,3980572,1.952,810650,2.164,1725102,2.791,6427857,3.764,455877,4.603,4808183
,!,MZ012D-P1-MV02A-T00,MZ012D-P1-MV02A-T00.d,Sample,,7/31/2018 3:23 PM,1.938,5849668,1.927,4521706,1.938,794918,2.128,1681077,2.766,5962916,3.739,432948,4.578,4660243
,!,MZ012D-P1-MV02B-T00,MZ012D-P1-MV02B-T00.d,Sample,,7/31/2018 3:29 PM,1.962,5832702,1.940,4639456,1.962,775007,2.163,1617644,2.790,6271001,3.763,467137,4.602,4744161
,!,MZ012D-P1-MV02C-T00,MZ012D-P1-MV02C-T00.d,Sample,,7/31/2018 3:36 PM,1.945,6093543,1.922,4555817,1.933,822272,2.124,1695191,2.761,6106919,3.735,441882,4.574,4707708
,!,MZ012D-P1-MV02D-T00,MZ012D-P1-MV02D-T00.d,Sample,,7/31/2018 3:42 PM,1.961,6129584,1.939,4753030,1.961,808884,2.163,1656310,2.789,6528149,3.762,473923,4.601,4805714
,!,MZ012D-P1-MV03A-T00,MZ012D-P1-MV03A-T00.d,Sample,,7/31/2018 3:49 PM,1.938,5753928,1.927,4553701,1.938,766003,2.128,1639281,2.766,5895597,3.739,428926,4.578,4425358
,!,MZ012D-P1-MV03B-T00,MZ012D-P1-MV03B-T00.d,Sample,,7/31/2018 3:55 PM,1.962,6024697,1.940,4798827,1.962,771447,2.164,1647129,2.790,6620558,3.763,467350,4.602,4385849
,!,MZ012D-P1-MV03C-T00,MZ012D-P1-MV03C-T00.d,Sample,,7/31/2018 4:02 PM,1.939,6022535,1.928,4691756,1.939,803787,2.129,1749407,2.767,6420509,3.740,435269,4.579,4379608
,!,MZ012D-P1-MV03D-T00,MZ012D-P1-MV03D-T00.d,Sample,,7/31/2018 4:08 PM,1.960,6341280,1.938,4954338,1.960,800074,2.161,1721347,2.788,6717479,3.772,458665,4.600,4662830
,!,MZ012D-P1-MV04A-T00,MZ012D-P1-MV04A-T00.d,Sample,,7/31/2018 4:15 PM,1.936,6155093,1.925,4199024,1.936,823464,2.127,1807015,2.764,6162248,3.737,474563,4.576,4763446
,!,MZ012D-P1-MV04B-T00,MZ012D-P1-MV04B-T00.d,Sample,,7/31/2018 4:21 PM,1.959,6327484,1.937,4366148,1.959,829698,2.161,1780125,2.787,6520994,3.760,503265,4.599,4633025
,!,MZ012D-P1-MV04C-T00,MZ012D-P1-MV04C-T00.d,Sample,,7/31/2018 4:27 PM,1.937,6221381,1.926,4049866,1.937,832007,2.127,1844131,2.765,5959358,3.738,448354,4.577,4559766
,!,MZ012D-P1-MV04D-T00,MZ012D-P1-MV04D-T00.d,Sample,,7/31/2018 4:34 PM,1.960,6404989,1.938,4336441,1.960,838722,2.161,1818181,2.788,6659235,3.761,520125,4.600,4959762
,!,MZ012D-P1-MV05A-T00,MZ012D-P1-MV05A-T00.d,Sample,,7/31/2018 4:40 PM,1.938,5282918,1.927,4238530,1.938,716228,2.128,1237062,2.766,5944384,3.739,457350,4.578,4634148
,!,MZ012D-P1-MV05B-T00,MZ012D-P1-MV05B-T00.d,Sample,,7/31/2018 4:47 PM,1.969,5616699,1.946,4502245,1.957,753134,2.159,1230619,2.796,6650157,3.770,487860,4.597,4935188
,!,MZ012D-P1-MV05C-T00,MZ012D-P1-MV05C-T00.d,Sample,,7/31/2018 4:53 PM,1.939,5560547,1.928,4441897,1.939,741579,2.129,1231865,2.767,6518646,3.740,486633,4.579,4914107
,!,MZ012D-P1-MV05D-T00,MZ012D-P1-MV05D-T00.d,Sample,,7/31/2018 5:00 PM,1.958,5357366,1.947,4241091,1.958,705791,2.160,1231653,2.786,6180416,3.759,493508,4.598,4714448
,!,MZ012D-P1-MV06A-T00,MZ012D-P1-MV06A-T00.d,Sample,,7/31/2018 5:06 PM,1.938,5790174,1.927,4152460,1.938,777508,2.128,1641174,2.766,6123602,3.739,483578,4.578,4853105
,!,MZ012D-P1-MV06B-T00,MZ012D-P1-MV06B-T00.d,Sample,,7/31/2018 5:12 PM,1.961,5782871,1.938,4364629,1.961,768109,2.162,1608787,2.789,6450952,3.762,514770,4.601,5050493
,!,MZ012D-P1-MV06C-T00,MZ012D-P1-MV06C-T00.d,Sample,,7/31/2018 5:19 PM,1.937,5945265,1.926,4377535,1.937,791050,2.127,1656221,2.765,6358726,3.738,479269,4.577,4724929
,!,MZ012D-P1-MV06D-T00,MZ012D-P1-MV06D-T00.d,Sample,,7/31/2018 5:25 PM,1.970,6112413,1.947,4463384,1.958,802314,2.160,1712489,2.786,6561583,3.760,502316,4.599,5167945
,!,MZ012D-P1-MV07A-T00,MZ012D-P1-MV07A-T00.d,Sample,,7/31/2018 5:32 PM,1.938,5932198,1.927,4448645,1.938,771957,2.128,1484154,2.766,6725609,3.739,480327,4.578,5062174
,!,MZ012D-P1-MV07B-T00,MZ012D-P1-MV07B-T00.d,Sample,,7/31/2018 5:38 PM,1.961,6069137,1.939,4514835,1.961,789746,2.162,1473533,2.789,6699606,3.762,503139,4.601,5075169
,!,MZ012D-P1-MV07C-T00,MZ012D-P1-MV07C-T00.d,Sample,,7/31/2018 5:45 PM,1.937,5760323,1.926,4366538,1.937,784614,2.127,1524021,2.765,6224738,3.738,460990,4.577,4926391
,!,MZ012D-P1-MV07D-T00,MZ012D-P1-MV07D-T00.d,Sample,,7/31/2018 5:51 PM,1.960,5856948,1.938,4494244,1.960,773102,2.162,1458399,2.788,6616134,3.761,497302,4.600,5007045
,!,MZ012D-P1-MV08A-T00,MZ012D-P1-MV08A-T00.d,Sample,,7/31/2018 5:58 PM,1.940,5964370,1.929,4537858,1.940,785202,2.130,1655836,2.768,6278282,3.741,468021,4.580,4686182
,!,MZ012D-P1-MV08B-T00,MZ012D-P1-MV08B-T00.d,Sample,,7/31/2018 6:04 PM,1.970,5835622,1.947,4661457,1.958,776324,2.160,1648139,2.786,6377453,3.760,495363,4.599,4717668
,!,MZ012D-P1-MV08C-T00,MZ012D-P1-MV08C-T00.d,Sample,,7/31/2018 6:10 PM,1.937,5749581,1.925,4377748,1.937,767810,2.127,1684927,2.764,5811156,3.738,440145,4.577,4419425
