Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T02,MZ012D-P1-MV01A-T02.d,Sample,,7/30/2018 5:01 PM,0.761,183288,1.935,1060054,1.935,7721836,2.126,2435887,2.484,315991,4.900,875,5.180,1982
!,!,MZ012D-P1-MV01B-T02,MZ012D-P1-MV01B-T02.d,Sample,,7/30/2018 5:08 PM,0.783,106774,1.958,1053046,1.969,7879963,2.159,2381591,2.506,311232,3.793,1848,5.225,2586
!,!,MZ012D-P1-MV01C-T02,MZ012D-P1-MV01C-T02.d,Sample,,7/30/2018 5:14 PM,0.773,98600,1.936,1086356,1.936,7880211,2.126,2478764,2.484,301876,3.737,1081,5.203,3808
!,!,MZ012D-P1-MV01D-T02,MZ012D-P1-MV01D-T02.d,Sample,,7/30/2018 5:21 PM,0.788,105018,1.962,1075396,1.962,7917823,2.164,2382859,2.511,310658,3.585,877,5.207,2649
!,!,MZ012D-P1-MV02A-T02,MZ012D-P1-MV02A-T02.d,Sample,,7/30/2018 5:27 PM,0.775,27509,1.939,919903,1.939,7420868,2.129,2184316,2.487,195174,3.885,1246,5.183,2682
!,!,MZ012D-P1-MV02B-T02,MZ012D-P1-MV02B-T02.d,Sample,,7/30/2018 5:33 PM,0.784,27316,1.958,906991,1.958,7316783,2.160,2091505,2.507,194957,3.536,1806,5.180,2309
!,!,MZ012D-P1-MV02C-T02,MZ012D-P1-MV02C-T02.d,Sample,,7/30/2018 5:40 PM,0.754,25285,1.940,907983,1.940,7194873,2.130,2059805,2.488,195321,3.584,1340,5.184,1897
!,!,MZ012D-P1-MV02D-T02,MZ012D-P1-MV02D-T02.d,Sample,,7/30/2018 5:46 PM,0.772,31810,1.958,942018,1.969,7566096,2.159,2108362,2.506,202372,3.915,1082,5.213,2100
!,!,MZ012D-P1-MV03A-T02,MZ012D-P1-MV03A-T02.d,Sample,,7/30/2018 5:53 PM,0.740,93035,1.937,965444,1.937,8014515,2.128,2347343,2.486,213384,3.895,3107,5.204,1073
!,!,MZ012D-P1-MV03B-T02,MZ012D-P1-MV03B-T02.d,Sample,,7/30/2018 5:59 PM,0.763,53732,1.960,921930,1.960,7745325,2.162,2256539,2.509,186891,3.918,3483,5.216,1307
!,!,MZ012D-P1-MV03C-T02,MZ012D-P1-MV03C-T02.d,Sample,,7/30/2018 6:06 PM,0.762,46688,1.937,975269,1.937,7786451,2.127,2334017,2.485,196682,3.894,2645,5.203,750
!,!,MZ012D-P1-MV03D-T02,MZ012D-P1-MV03D-T02.d,Sample,,7/30/2018 6:12 PM,0.785,32943,1.959,897174,1.959,7193921,2.161,2190008,2.508,158630,3.928,2574,5.215,3037
!,!,MZ012D-P1-MV04A-T02,MZ012D-P1-MV04A-T02.d,Sample,,7/30/2018 6:19 PM,0.763,139607,1.938,1047833,1.938,8212428,2.128,2657072,2.486,233697,3.906,2136,5.003,848
