Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P2-MV24A-T24,MZ012D-P2-MV24A-T24.d,Sample,,8/2/2018 4:57 PM,0.761,157919,1.936,621966,1.925,6298965,2.126,2894655,2.462,5107481,3.883,1819961,,
!,!,MZ012D-P2-MV24B-T24,MZ012D-P2-MV24B-T24.d,Sample,,8/2/2018 5:04 PM,0.784,231637,1.948,692702,1.959,7541791,2.149,3350299,2.496,5162950,3.906,2078077,5.259,1660
!,!,MZ012D-P2-MV24C-T24,MZ012D-P2-MV24C-T24.d,Sample,,8/2/2018 5:10 PM,0.753,137206,1.928,735921,1.928,7825929,2.129,3362426,2.476,5169615,3.885,1944452,,
!,!,MZ012D-P2-MV24D-T24,MZ012D-P2-MV24D-T24.d,Sample,,8/2/2018 5:16 PM,0.773,209086,1.948,656073,1.959,7117313,2.160,3107602,2.496,4756044,3.905,1936012,,
!,!,MZ012D-P2-MV25A-T24,MZ012D-P2-MV25A-T24.d,Sample,,8/2/2018 5:49 PM,0.773,268583,1.937,765215,1.937,7080231,2.127,2825460,2.474,2582248,3.883,966843,5.214,1049
!,!,MZ012D-P2-MV25B-T24,MZ012D-P2-MV25B-T24.d,Sample,,8/2/2018 5:55 PM,0.774,217270,1.948,677527,1.960,6690795,2.150,2747579,2.497,2123822,3.906,867224,,
!,!,MZ012D-P2-MV25C-T24,MZ012D-P2-MV25C-T24.d,Sample,,8/2/2018 6:02 PM,0.763,169946,1.937,656958,1.937,6270879,2.128,2610351,2.474,1880100,3.884,713841,,
!,!,MZ012D-P2-MV25D-T24,MZ012D-P2-MV25D-T24.d,Sample,,8/2/2018 6:08 PM,0.782,249029,1.957,741233,1.957,7161845,2.158,2893105,2.505,2200564,3.904,851877,5.201,1213
!,!,MZ012D-P2-MV26A-T24,MZ012D-P2-MV26A-T24.d,Sample,,8/2/2018 6:14 PM,0.762,97346,1.937,738402,1.937,6615423,2.127,2859972,2.474,849401,3.883,88425,4.857,3681
