Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ012D-P1-MV01A-T01,MZ012D-P1-MV01A-T01.d,Sample,,7/31/2018 3:59 AM,1.936,6910221,1.925,2870429,1.936,931840,2.126,1924210,2.764,6541564,3.737,495079,4.576,3881319
!,!,MZ012D-P1-MV01B-T01,MZ012D-P1-MV01B-T01.d,Sample,,7/31/2018 4:06 AM,1.961,6584131,1.938,2784741,1.949,895287,2.162,1899786,2.789,6739934,3.762,492158,4.601,3888411
!,!,MZ012D-P1-MV01C-T01,MZ012D-P1-MV01C-T01.d,Sample,,7/31/2018 4:12 AM,1.940,6406983,1.917,2620405,1.928,875058,2.130,1951117,2.767,6131611,3.741,452503,4.580,3628789
!,!,MZ012D-P1-MV01D-T01,MZ012D-P1-MV01D-T01.d,Sample,,7/31/2018 4:19 AM,1.961,6489757,1.938,2684130,1.950,878333,2.162,1909586,2.789,6482417,3.762,460127,4.601,3695193
!,!,MZ012D-P1-MV02A-T01,MZ012D-P1-MV02A-T01.d,Sample,,7/31/2018 4:25 AM,1.937,6325260,1.926,4442556,1.926,844570,2.127,1772007,2.765,6151323,3.738,455446,4.577,3836449
!,!,MZ012D-P1-MV02B-T01,MZ012D-P1-MV02B-T01.d,Sample,,7/31/2018 4:31 AM,1.958,6257017,1.936,4486818,1.958,821486,2.160,1804486,2.786,6295563,3.771,488581,4.598,3839737
!,!,MZ012D-P1-MV02C-T01,MZ012D-P1-MV02C-T01.d,Sample,,7/31/2018 4:38 AM,1.936,6290888,1.925,4362695,1.936,823858,2.127,1810443,2.764,6141552,3.738,456137,4.577,3778559
!,!,MZ012D-P1-MV02D-T01,MZ012D-P1-MV02D-T01.d,Sample,,7/31/2018 4:44 AM,1.961,6873349,1.938,4884026,1.961,871731,2.162,1715933,2.789,7155270,3.762,528646,4.601,4380631
!,!,MZ012D-P1-MV03A-T01,MZ012D-P1-MV03A-T01.d,Sample,,7/31/2018 4:51 AM,1.937,6164977,1.926,4412800,1.937,792850,2.127,1847725,2.765,5865087,3.738,418355,4.577,1031536
!,!,MZ012D-P1-MV03B-T01,MZ012D-P1-MV03B-T01.d,Sample,,7/31/2018 4:57 AM,1.960,6547415,1.938,4795993,1.960,813124,2.162,1845755,2.788,6760504,3.761,468135,4.600,580640
!,!,MZ012D-P1-MV03C-T01,MZ012D-P1-MV03C-T01.d,Sample,,7/31/2018 5:04 AM,1.937,6741270,1.925,4708152,1.937,856911,2.127,1902329,2.764,6558992,3.738,428502,4.577,456708
!,!,MZ012D-P1-MV03D-T01,MZ012D-P1-MV03D-T01.d,Sample,,7/31/2018 5:10 AM,1.959,6524812,1.936,4652119,1.947,803798,2.160,1886355,2.786,6341851,3.771,452285,4.599,487508
!,!,MZ012D-P1-MV04A-T01,MZ012D-P1-MV04A-T01.d,Sample,,7/31/2018 5:17 AM,1.937,6714889,1.926,3049735,1.937,882138,2.127,2030007,2.765,6096402,3.738,460469,4.577,2763843
!,!,MZ012D-P1-MV04B-T01,MZ012D-P1-MV04B-T01.d,Sample,,7/31/2018 5:23 AM,1.960,6712956,1.937,3167947,1.960,868209,2.161,2046631,2.787,6452373,3.761,510039,4.600,3093390
,!,MZ012D-P1-MV04C-T01,MZ012D-P1-MV04C-T01.d,Sample,,7/31/2018 5:29 AM,1.936,7070830,1.925,3215685,1.936,894762,2.137,2092139,2.764,6353346,3.737,478611,4.576,3222304
!,!,MZ012D-P1-MV04D-T01,MZ012D-P1-MV04D-T01.d,Sample,,7/31/2018 5:36 AM,1.959,6897467,1.937,3164289,1.948,908048,2.160,2070557,2.787,6486865,3.771,495610,4.599,3234906
!,!,MZ012D-P1-MV05A-T01,MZ012D-P1-MV05A-T01.d,Sample,,7/31/2018 5:42 AM,1.939,5806031,1.927,4411758,1.927,781864,2.129,1345191,2.767,6403497,3.740,501879,4.579,4496615
!,!,MZ012D-P1-MV05B-T01,MZ012D-P1-MV05B-T01.d,Sample,,7/31/2018 5:49 AM,1.959,5676162,1.936,4367161,1.959,752312,2.160,1250378,2.787,6341956,3.771,514584,4.599,4389994
!,!,MZ012D-P1-MV05C-T01,MZ012D-P1-MV05C-T01.d,Sample,,7/31/2018 5:55 AM,1.939,5609786,1.927,4133961,1.939,758318,2.129,1310465,2.766,5776486,3.740,468819,4.579,4169664
!,!,MZ012D-P1-MV05D-T01,MZ012D-P1-MV05D-T01.d,Sample,,7/31/2018 6:02 AM,1.960,5611349,1.937,4181201,1.960,747193,2.161,1263334,2.788,6046008,3.761,510259,4.600,4074213
!,!,MZ012D-P1-MV06A-T01,MZ012D-P1-MV06A-T01.d,Sample,,7/31/2018 6:08 AM,1.936,5962596,1.925,3554285,1.936,808232,2.126,1841482,2.764,5927087,3.737,487967,4.576,3821684
!,!,MZ012D-P1-MV06B-T01,MZ012D-P1-MV06B-T01.d,Sample,,7/31/2018 6:15 AM,1.959,6305676,1.948,3852334,1.959,827701,2.160,1808803,2.787,6571706,3.760,523395,4.599,4055041
!,!,MZ012D-P1-MV06C-T01,MZ012D-P1-MV06C-T01.d,Sample,,7/31/2018 6:21 AM,1.937,6507627,1.926,3877404,1.937,842662,2.127,1787212,2.765,6501706,3.738,516680,4.577,4172086
!,!,MZ012D-P1-MV06D-T01,MZ012D-P1-MV06D-T01.d,Sample,,7/31/2018 6:28 AM,1.960,6289703,1.938,3735304,1.960,815564,2.161,1814656,2.788,6412511,3.761,536429,4.600,4086052
!,!,MZ012D-P1-MV07A-T01,MZ012D-P1-MV07A-T01.d,Sample,,7/31/2018 6:34 AM,1.936,6362419,1.924,4039924,1.936,827691,2.126,1665236,2.764,6357097,3.737,508264,4.576,4345012
!,!,MZ012D-P1-MV07B-T01,MZ012D-P1-MV07B-T01.d,Sample,,7/31/2018 6:40 AM,1.959,6009253,1.937,3984469,1.959,785969,2.161,1603369,2.787,6392230,3.760,545578,4.599,4112380
!,!,MZ012D-P1-MV07C-T01,MZ012D-P1-MV07C-T01.d,Sample,,7/31/2018 6:47 AM,1.939,6049438,1.917,3891742,1.928,811039,2.129,1692247,2.767,5875266,3.740,490276,4.579,3951153
!,!,MZ012D-P1-MV07D-T01,MZ012D-P1-MV07D-T01.d,Sample,,7/31/2018 6:53 AM,1.959,6186785,1.936,4000690,1.959,791238,2.160,1681204,2.786,6280321,3.760,511148,4.599,4048023
!,!,MZ012D-P1-MV08A-T01,MZ012D-P1-MV08A-T01.d,Sample,,7/31/2018 7:00 AM,1.937,6525145,1.926,4245074,1.937,853362,2.127,1855852,2.765,6454997,3.738,479453,4.577,3496993
!,!,MZ012D-P1-MV08B-T01,MZ012D-P1-MV08B-T01.d,Sample,,7/31/2018 7:06 AM,1.959,6504410,1.937,4442345,1.959,847500,2.161,1792904,2.787,6887386,3.761,513191,4.600,3490087
!,!,MZ012D-P1-MV08C-T01,MZ012D-P1-MV08C-T01.d,Sample,,7/31/2018 7:13 AM,1.936,6436969,1.925,4357806,1.936,856885,2.126,1792531,2.764,6471930,3.748,480184,4.576,3445534
!,!,MZ012D-P1-MV08D-T01,MZ012D-P1-MV08D-T01.d,Sample,,7/31/2018 7:19 AM,1.960,6558512,1.938,4491548,1.960,838052,2.162,1798668,2.788,6864616,3.761,512908,4.601,3459725
!,!,MZ012D-P1-MV09A-T01,MZ012D-P1-MV09A-T01.d,Sample,,7/31/2018 7:26 AM,1.935,6452908,1.924,3930273,1.935,820019,2.125,2023390,2.763,6006981,3.736,443459,4.575,4091497
!,!,MZ012D-P1-MV09B-T01,MZ012D-P1-MV09B-T01.d,Sample,,7/31/2018 7:32 AM,1.960,6708097,1.937,4150444,1.949,828271,2.161,2010535,2.788,6311213,3.761,465585,4.600,4025478
!,!,MZ012D-P1-MV09C-T01,MZ012D-P1-MV09C-T01.d,Sample,,7/31/2018 7:38 AM,1.938,6590759,1.915,3925344,1.927,830247,2.128,2052893,2.766,5904802,3.739,424909,4.578,4021539
!,!,MZ012D-P1-MV09D-T01,MZ012D-P1-MV09D-T01.d,Sample,,7/31/2018 7:45 AM,1.957,6561838,1.935,3990466,1.957,814649,2.159,2005884,2.796,6197710,3.758,451600,4.598,4031178
!,!,MZ012D-P1-MV10A-T01,MZ012D-P1-MV10A-T01.d,Sample,,7/31/2018 7:51 AM,1.936,6052397,1.924,4191945,1.936,815510,2.126,1845359,2.763,5761002,3.737,423417,4.576,3683176
!,!,MZ012D-P1-MV10B-T01,MZ012D-P1-MV10B-T01.d,Sample,,7/31/2018 7:58 AM,1.960,6460259,1.938,4576105,1.960,838234,2.161,1790704,2.788,6565907,3.761,462728,4.600,3805786
!,!,MZ012D-P1-MV10C-T01,MZ012D-P1-MV10C-T01.d,Sample,,7/31/2018 8:04 AM,1.936,6561213,1.925,4575675,1.936,869986,2.127,1743181,2.764,6488458,3.738,462203,4.577,4173711
,!,MZ012D-P1-MV10D-T01,MZ012D-P1-MV10D-T01.d,Sample,,7/31/2018 8:11 AM,1.959,6378642,1.937,4691368,1.959,837518,2.161,1818423,2.787,6537857,3.761,469870,4.600,4125174
!,!,MZ012D-P1-MV11A-T01,MZ012D-P1-MV11A-T01.d,Sample,,7/31/2018 8:17 AM,1.934,6110128,1.923,4115700,1.934,805493,2.124,1701352,2.762,5803104,3.746,443498,4.574,2223259
,!,MZ012D-P1-MV11B-T01,MZ012D-P1-MV11B-T01.d,Sample,,7/31/2018 8:24 AM,1.960,6499421,1.938,4340900,1.960,822412,2.162,1810992,2.788,6267528,3.761,488369,4.600,1959589
,!,MZ012D-P1-MV11C-T01,MZ012D-P1-MV11C-T01.d,Sample,,7/31/2018 8:30 AM,1.937,6307143,1.925,4159111,1.937,811500,2.127,1785588,2.764,5934635,3.738,474930,4.577,1858742
,!,MZ012D-P1-MV11D-T01,MZ012D-P1-MV11D-T01.d,Sample,,7/31/2018 8:36 AM,1.959,6405391,1.937,4233016,1.959,826737,2.161,1842220,2.787,6146830,3.772,486993,4.600,2025705
,!,MZ012D-P1-MV12A-T01,MZ012D-P1-MV12A-T01.d,Sample,,7/31/2018 8:43 AM,1.939,6294924,1.928,4358458,1.939,833236,2.129,1652819,2.767,6058968,3.740,485269,4.579,3540325
!,!,MZ012D-P1-MV12B-T01,MZ012D-P1-MV12B-T01.d,Sample,,7/31/2018 8:49 AM,1.960,6691200,1.938,4889251,1.960,850999,2.162,1611013,2.788,7030190,3.761,544752,4.600,4153637
