ID;MV01;MV02;MV03;MV04;MV05;MV06;MV07;MV08;MV09;MV10;MV11;MV12;MV13;MV14;MV15;MV16;MV17;MV18;MV19;MV20;MV21;MV22;MV23;MV24;MV25;MV26;MV27;MV28
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides;35.26414;9.52915;7.27758;56.84847;3.66021;43.77545;27.27057;31.29058;14.97519;2.56621;15.95108;12.85344;5.71097;3.23949;11.19853;30.87561;3.39607;3.88549;0.84343;6.70964;4.09381;24.43673;12.31248;9.68207;13.18062;6.19268;20.35026;31.70442
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae;18.9715;0.56389;1.04013;0;0;0;0.15498;0.27008;1.08334;0.55779;0.02144;1.22996;0;0.48228;0.31126;4.4638;0;0.5022;0;0.15727;0.20696;1.68506;0;0.15678;0.74178;5.14286;1.54382;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified;18.9715;0.56389;1.04013;0;0;0;0.15498;0.27008;1.08334;0.55779;0.02144;1.22996;0;0.48228;0.31126;4.4638;0;0.5022;0;0.15727;0.20696;1.68506;0;0.15678;0.74178;5.14286;1.54382;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus;0.00634;0.42068;0.16946;0.13605;0;0;0.00747;0;0;0;0.20406;0.41269;0;0.01034;0.04803;0.1038;0;0;0;0.00184;0;0;0;0.00061;0;0.11952;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__Bacteroides_cellulosilyticus_unclassified;0.00634;0.42068;0.16946;0.13605;0;0;0.00747;0;0;0;0.20406;0.41269;0;0.01034;0.04803;0.1038;0;0;0;0.00184;0;0;0;0.00061;0;0.11952;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus;0.57286;0;0;0;0;0;0;0.00115;0;0;0;0;0;0.04395;0.01027;0.00111;0;0;0;0;0;0.04067;0;0;0;0;0.08821;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus|t__GCF_000195615;0.57286;0;0;0;0;0;0;0.00115;0;0;0;0;0;0.04395;0.01027;0.00111;0;0;0;0;0;0.04067;0;0;0;0;0.08821;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola;0;0.01197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola|t__GCF_000154845;0;0.01197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus|t__GCF_000157915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei;3.56608;0;0.19187;14.75755;1.46841;17.8701;0.00077;3.28008;0.23859;0.00275;0;1.41295;0.3041;0.28924;1.60495;2.08505;0;0.38566;0;0.87019;0;0;0.00661;0.12452;0;0.00664;0;1.15847
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified;3.56608;0;0.19187;14.75755;1.46841;17.8701;0.00077;3.28008;0.23859;0.00275;0;1.41295;0.3041;0.28924;1.60495;2.08505;0;0.38566;0;0.87019;0;0;0.00661;0.12452;0;0.00664;0;1.15847
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii;0;0;2.25307;0;0.09025;0;0.13409;1.93184;0;0;3.49376;0;0;0.04177;0;0.10722;0;0;0;0;0;0.05792;0.16995;1.89894;0;0;0.02103;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii|t__Bacteroides_eggerthii_unclassified;0;0;2.25307;0;0.09025;0;0.13409;1.93184;0;0;3.49376;0;0;0.04177;0;0.10722;0;0;0;0;0;0.05792;0.16995;1.89894;0;0;0.02103;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis;0.36942;0.06453;0.01903;1.76362;0;0;2.12164;0;0;0;1.13213;0.00634;0;0.00046;0;0;0;0;0;0.0206;0;0.00373;0.50843;0.9749;0;0.69593;0.00533;0.11171
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis|t__GCF_000226135;0.36942;0.06453;0.01903;1.76362;0;0;2.12164;0;0;0;1.13213;0.00634;0;0.00046;0;0;0;0;0;0.0206;0;0.00373;0.50843;0.9749;0;0.69593;0.00533;0.11171
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii;0.21422;0.0213;0.01815;0;0;0;0.85655;1.96484;0;0;0;0;0;0.27088;0;0;0;0;0;0.11082;0.10642;0.1436;0;0.19356;0.31742;0;0.15396;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii|t__Bacteroides_finegoldii_unclassified;0.21422;0.0213;0.01815;0;0;0;0.85655;0.21604;0;0;0;0;0;0.27088;0;0;0;0;0;0.11082;0.10642;0.1436;0;0.19356;0.31742;0;0.15396;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii|t__GCF_000156195;0;0;0;0;0;0;0;1.74879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis;0.30923;0;0;0.7638;0;0;0;0.00697;0.30312;0;0;0.4328;0;0;0.20839;10.12338;0;0.25756;0.60809;0;0;0;9.10944;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__Bacteroides_fragilis_unclassified;0.30923;0;0;0.7638;0;0;0;0.00697;0.30312;0;0;0.4328;0;0;0.20839;10.12338;0;0.25756;0.60809;0;0;0;9.10944;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis;0;0;0;0;0;0;0.01956;0;0.23749;0;0.03376;0.00069;0;0;0;0.0392;0;0.1575;0;0;0;0;0;0.03456;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis|t__GCF_000172175;0;0;0;0;0;0;0.01956;0;0.23749;0;0.03376;0.00069;0;0;0;0.0392;0;0.1575;0;0;0;0;0;0.03456;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis;1.18621;3.7829;0;0;0;3.81926;1.49845;2.32526;0;0.05744;3.22888;0;0.02017;0.56529;0;0;0;0;0;0.06049;0.05378;0.01611;0;0.24715;0.9225;0;0.08618;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis|t__Bacteroides_massiliensis_unclassified;1.18621;3.7829;0;0;0;3.81926;1.49845;2.32526;0;0.05744;3.22888;0;0.02017;0.56529;0;0;0;0;0;0.06049;0.05378;0.01611;0;0.24715;0.9225;0;0.08618;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii;0;0;0.02646;0;0;0.04584;0.00154;0;0;0.05838;0;0.0361;0.00316;0;0.00179;0.00572;0;0.00025;0;0;0;0;0;0;0.02218;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii|t__GCF_000273175;0;0;0.02646;0;0;0.04584;0.00154;0;0;0.05838;0;0.0361;0.00316;0;0.00179;0.00572;0;0.00025;0;0;0;0;0;0;0.02218;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus;0.53764;0.93813;0.08272;5.15224;0.09784;0;0.24472;0.52682;1.60434;0.0654;0.45691;0.17889;0.36099;0.06643;1.05765;0.3717;2.09524;0.09959;0;0.06323;0.64873;1.50268;0.13046;0.03263;0.10118;0.02016;0.65526;4.06557
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified;0.53764;0.93813;0.08272;5.15224;0.09784;0;0.24472;0.52682;1.60434;0.0654;0.45691;0.17889;0.36099;0.06643;1.05765;0.3717;2.09524;0.09959;0;0.06323;0.64873;1.50268;0.13046;0.03263;0.10118;0.02016;0.65526;4.06557
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius;0;0;0;0;0;0;0;0;0;0;0.17767;0;0.06441;0;0;0;0;0;0;0;0;0;0;0.08076;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius|t__GCF_000187895;0;0;0;0;0;0;0;0;0;0;0.17767;0;0.06441;0;0;0;0;0;0;0;0;0;0;0.08076;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae;0;0;0.04693;1.15534;0;0;0.10212;0;0;0;0;0;0;0.04415;0.21761;0;0;0;0;0.09061;0;0.68542;0;0;0;0;0.1998;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae|t__Bacteroides_salyersiae_unclassified;0;0;0.04693;1.15534;0;0;0.10212;0;0;0;0;0;0;0.04415;0.21761;0;0;0;0;0.09061;0;0.68542;0;0;0;0;0.1998;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.29548;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6|t__GCF_000159875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.29548;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22;0;0;0;0;0;0;1.00233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22|t__GCF_000162155;0;0;0;0;0;0;1.00233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19;0;0;0;0;0;0;0;2.43326;0;0;0;0;0;0;0;4.98128;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19|t__GCF_000163655;0;0;0;0;0;0;0;2.43326;0;0;0;0;0;0;0;4.98128;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_40A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.63197;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_40A|t__GCF_000186105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.63197;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA;2.84206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.64413;0;0;0;0;1.30686;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA|t__GCF_000158515;2.84206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.64413;0;0;0;0;1.30686;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris;3.10013;0;0.04128;11.89312;0;13.01244;16.1445;10.17038;7.92623;0.07333;0;0.81927;4.74496;0;0.00061;3.30646;0;0.18488;0.02007;1.1272;0.27896;11.07852;0;0;1.44715;0;1.31171;12.97219
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris|t__Bacteroides_stercoris_unclassified;3.10013;0;0.04128;11.89312;0;13.01244;16.1445;10.17038;7.92623;0.07333;0;0.81927;4.74496;0;0.00061;3.30646;0;0.18488;0.02007;1.1272;0.27896;11.07852;0;0;1.44715;0;1.31171;12.97219
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron;0.4144;0;0.97111;0;1.01771;2.0018;0.03043;0.5801;0;0.22712;0.00011;1.06773;0.02407;0.38999;0;1.76956;0;0.93759;0;0.52186;0.00758;0.08889;1.40059;0;0;0;0.19425;0.66248
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified;0.4144;0;0.97111;0;1.01771;2.0018;0.03043;0.5801;0;0.22712;0.00011;1.06773;0.02407;0.38999;0;1.76956;0;0.93759;0;0.52186;0.00758;0.08889;1.40059;0;0;0;0.19425;0.66248
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis;1.67983;2.89797;0.78032;21.10059;0.35531;7.02601;2.29704;6.46784;2.72652;0.08739;3.7611;2.41535;0.02544;0.57998;4.0212;0.15372;1.02157;1.28709;0;0.158;2.51069;7.62306;0.987;4.12463;7.0528;0.11044;13.55944;12.63414
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified;1.67983;2.89797;0.78032;21.10059;0.35531;7.02601;2.29704;6.46784;2.72652;0.08739;3.7611;2.41535;0.02544;0.57998;4.0212;0.15372;1.02157;1.28709;0;0.158;2.51069;7.62306;0.987;4.12463;5.35777;0.11044;13.55944;12.63414
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__GCF_000154205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.69503;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus;1.47264;0.60326;1.62639;0;0;0;2.25094;1.17942;0.82942;1.43661;3.42842;4.71247;0.12095;0.36504;2.24841;3.29743;0.27926;0.07318;0.18797;0.86498;0.2685;1.43055;0;0.10826;1.20054;0.08985;2.51447;0.09594
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified;1.47264;0.60326;1.62639;0;0;0;2.25094;1.17942;0.82942;1.43661;3.42842;4.71247;0.12095;0.36504;2.24841;3.29743;0.27926;0.07318;0.18797;0.86498;0.2685;1.43055;0;0.10826;1.20054;0.08985;2.51447;0.09594
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens;0.02158;0.22453;0.01065;0.12616;0.63069;0;0.40342;0.15255;0.02615;0;0.01283;0.12819;0.04271;0.08968;0.17289;0.06618;0;0;0.02731;0.01841;0.01219;0.08052;0;0.07279;0.06821;0.00727;0.01679;0.00391
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified;0.02158;0.22453;0.01065;0.12616;0.63069;0;0.40342;0.15255;0.02615;0;0.01283;0.12819;0.04271;0.08968;0.17289;0.06618;0;0;0.02731;0.01841;0.01219;0.08052;0;0.07279;0.06821;0.00727;0.01679;0.00391
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname;0.0067;0.5955;0.12979;0;0;0;0;0;0.99998;0.04485;0;0;0;0.03739;0;0.1692;0;0.04867;0;0.07785;0.12781;0.02428;0.0044;0.09373;0.19014;0.00745;0.16226;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname;0.0067;0.5955;0.12979;0;0;0;0;0;0.99998;0.04485;0;0;0;0.03739;0;0.1692;0;0.04867;0;0.07785;0.12781;0.02428;0.0044;0.09373;0.19014;0.00745;0.16226;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8;0.0067;0.5955;0.12979;0;0;0;0;0;0.99998;0.04485;0;0;0;0.03739;0;0.1692;0;0.04867;0;0.07785;0.12781;0.02428;0.0044;0.09373;0.19014;0.00745;0.16226;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8|t__GCF_000311925;0.0067;0.5955;0.12979;0;0;0;0;0;0.99998;0.04485;0;0;0;0.03739;0;0.1692;0;0.04867;0;0.07785;0.12781;0.02428;0.0044;0.09373;0.19014;0.00745;0.16226;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae;19.93196;1.13217;3.11934;1.69009;0.72151;1.42288;6.83028;2.20457;2.13892;1.05876;1.19617;1.47147;0.35298;0.69376;1.58906;8.28664;0;1.28291;0.28458;3.1013;0.95996;5.25467;1.66208;1.63923;2.14373;2.10574;1.91006;0.65026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella;0;0.17784;0.00292;0;0;0;0.24705;0;0;0.04345;0;0;0;0.05498;0;1.12604;0;0.11756;0;0;0.28607;0;0;0.25488;0.22215;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis;0;0.17784;0.00292;0;0;0;0.24705;0;0;0.04345;0;0;0;0.05498;0;1.12604;0;0.11756;0;0;0.28607;0;0;0.25488;0.22215;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__GCF_000296465;0;0.17784;0.00292;0;0;0;0.24705;0;0;0.04345;0;0;0;0.05498;0;1.12604;0;0.11756;0;0;0.28607;0;0;0.25488;0.22215;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas;0;0;0;0;0;0;0.00013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica;0;0;0;0;0;0;0.00013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica|t__GCF_000379665;0;0;0;0;0;0;0.00013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00257;0;0;0.01145;0;0;0.00128;0.01255;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00257;0;0;0.01145;0;0;0.00128;0.01255;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus|t__GCF_000473955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00257;0;0;0.01145;0;0;0.00128;0.01255;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter;0.16574;0.05917;0.16359;0.00624;0;0;0.25519;0.32608;0;0;0.15399;0.0756;0.00258;0.04598;0;0.28553;0;0.097;0;0.14312;0.15239;0;0;0.04046;0.09165;0.00637;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus;0.16574;0.05917;0.16359;0;0;0;0.25519;0.32608;0;0;0.15399;0.0756;0;0.04598;0;0.28553;0;0.097;0;0.14312;0.15239;0;0;0.04046;0.09165;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__GCF_000190535;0.16574;0.05917;0.16359;0;0;0;0.25519;0.32608;0;0;0.15399;0.0756;0;0.04598;0;0.28553;0;0.097;0;0.14312;0.15239;0;0;0.04046;0.09165;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified;0;0;0;0.00624;0;0;0;0;0;0;0;0;0.00258;0;0;0;0;0;0;0;0;0;0;0;0;0.00637;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides;19.76622;0.89517;2.95283;1.68385;0.72151;1.42288;6.32791;1.8785;2.13892;1.01531;1.04218;1.39587;0.3504;0.59281;1.58906;6.87507;0;1.06578;0.28458;2.95818;0.51005;5.25467;1.66191;1.34261;1.81738;2.09937;1.91006;0.65026
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis;6.57652;0.1234;0.88293;0;0.21845;0;3.2523;0;1.40574;0.33101;0.60445;0.03911;0;0.40486;1.13669;0.01705;0;0.12986;0.1156;0;0.11028;3.51036;0.11518;0.72619;0;0.10957;1.31485;0.01381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__Parabacteroides_distasonis_unclassified;6.57652;0.1234;0.88293;0;0.21845;0;3.2523;0;1.40574;0.33101;0.60445;0.03911;0;0.40486;1.13669;0.01705;0;0.12986;0.1156;0;0.11028;3.51036;0.11518;0.72619;0;0.10957;1.31485;0.01381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii;0;0;0.00632;0;0;0;0;0;0;0;0;0.09493;0;0;0;0.0028;0;0;0;0.0106;0;0;0.0999;0;0;1.98565;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii|t__Parabacteroides_goldsteinii_unclassified;0;0;0.00632;0;0;0;0;0;0;0;0;0.09493;0;0;0;0.0028;0;0;0;0.0106;0;0;0.0999;0;0;1.98565;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii;0;0;0;1.68385;0;0;0;0;0;0;0;0;0;0;0.45237;0.00661;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii|t__Parabacteroides_johnsonii_unclassified;0;0;0;1.68385;0;0;0;0;0;0;0;0;0;0;0.45237;0.00661;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae;13.1897;0.77177;2.06358;0;0;1.42288;3.07562;1.45822;0;0.68429;0.43774;1.26184;0.03341;0.18795;0;6.01661;0;0.93592;0;2.94758;0;1.74432;1.44684;0.61642;0.78917;0.00415;0.59521;0.63645
