ID;MV01;MV02;MV03;MV04;MV05;MV06;MV07;MV08;MV09;MV10;MV11;MV12;MV13;MV14;MV15;MV16;MV17;MV18;MV19;MV20;MV21;MV22;MV23;MV24;MV25;MV26;MV27;MV28
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis|t__GCF_000296505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00191;0;0;0.01129;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum;0;0;0;0;0;0;0;0;0;0;0;0.00175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense;0;0;0;0;0;0;0;0;0;0;0;0.00175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense|t__GCF_000420065;0;0;0;0;0;0;0;0;0;0;0;0.00175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae;0;0;0;0;0;0;0;0;0;0;0;0.00885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium;0;0;0;0;0;0;0;0;0;0;0;0.00885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii;0;0;0;0;0;0;0;0;0;0;0;0.00885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii|t__GCF_000091725;0;0;0;0;0;0;0;0;0;0;0;0.00885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales;2.53162;24.35968;18.14301;0.08279;8.58811;33.96072;14.86997;4.47226;0.97047;66.20648;20.82871;29.57424;63.66348;27.28033;15.12767;1.71199;0;19.23168;17.5316;15.26514;1.22709;6.85562;0.30647;3.39157;3.62541;0.06637;20.9239;1.51289
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae;2.53162;24.35968;18.14301;0.08279;8.58811;33.96072;14.86997;4.47226;0.97047;66.20648;20.82871;29.57424;63.66348;27.28033;15.12767;1.71199;0;19.23168;17.5316;15.26514;1.22709;6.85562;0.30647;3.39157;3.62541;0.06637;20.9239;1.51289
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium;2.53162;24.35968;18.14301;0.08279;8.58811;33.96072;14.86997;4.47226;0.97047;66.20648;20.82871;29.57424;63.66348;27.28033;15.12767;1.71199;0;19.23168;17.5316;15.26514;1.22709;6.85562;0.30647;3.39157;3.62541;0.06637;20.9239;1.51289
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis;2.15335;5.6698;16.9743;0;0;33.27459;0.0013;3.29328;0.9659;41.32756;7.673;0.00143;45.43903;27.28033;9.26376;0.83788;0;15.75492;10.59182;13.73139;1.22709;0.00032;0.15904;3.09307;0;0;0.00252;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified;2.15335;5.6698;16.9743;0;0;33.27459;0.0013;3.29328;0.9659;41.32756;7.673;0.00143;45.43903;27.28033;9.26376;0.83788;0;15.75492;10.59182;13.73139;1.22709;0.00032;0.15904;3.09307;0;0;0.00252;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis;0;0;0;0.08279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26139;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified;0;0;0;0.08279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26139;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum;0.14626;0;0.26826;0;0;0;0;0;0;21.05689;6.55557;0;3.29032;0;0;0;0;3.05818;3.15881;0;0;0;0.10164;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified;0.14626;0;0.26826;0;0;0;0;0;0;21.05689;6.55557;0;3.29032;0;0;0;0;3.05818;3.15881;0;0;0;0.10164;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve;0;0;0;0;1.83652;0.00348;0;0.00137;0.00456;1.90296;0.12369;0;0;0;0;0;0;0;0;0.00912;0;0;0;0;0;0.00298;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__Bifidobacterium_breve_unclassified;0;0;0;0;1.83652;0.00348;0;0.00137;0.00456;1.90296;0.12369;0;0;0;0;0;0;0;0;0.00912;0;0;0;0;0;0.00298;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum;0;0;0.07425;0;0;0;0;0;0;0.08521;1.1382;0;0;0;0;0;0;0;0.46439;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__GCF_000173455;0;0;0.07425;0;0;0;0;0;0;0.08521;1.1382;0;0;0;0;0;0;0;0.46439;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium;0;0;0;0;0;0;0.00035;0.02554;0;0.00314;0;0;0;0;0;0;0;0;0;0;0;0.21641;0.00047;0;0.02129;0.06339;0.03992;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium|t__Bifidobacterium_dentium_unclassified;0;0;0;0;0;0;0.00035;0.02554;0;0.00314;0;0;0;0;0;0;0;0;0;0;0;0.21641;0.00047;0;0.02129;0.06339;0.03992;0
