Index;MZ;RT;ParentDrug;GoodFilter;FilterNoisyT0;FilterNoisyT12;FilterDifferentMassDefect;FilterLikelyDrugFragment;FilterLikelyDrugMetaboliteFragment;PotentialFragments;IonSpectrum;LeadingMZ;DrugMassFlag;DrugMassDelta;DrugMassDeltaSmoothed;DrugConsumedFlag;NumberOfDrugs;NumberOfIncreasedT12vsT0
2431;335.173;5.411;AMANTADINE;0;1;1;0;0;0;;(336.1803, 19364.9)(337.1861, 4344.67);336.180;0;184.037;184.037;1;1;1
2464;337.189;5.355;AMANTADINE;0;1;1;0;0;0;;(338.1962, 67285.84)(339.2, 14924.43)(340.2021, 2523.21);338.196;0;186.053;186.053;1;1;1
2639;348.168;5.340;AMANTADINE;0;1;1;0;0;0;;(349.175, 17614.32)(350.1791, 4066.36)(351.166, 896.47);349.175;0;197.032;197.032;1;1;1
2764;356.269;5.041;AMANTADINE;0;1;0;0;0;0;;(357.276, 138309.11)(358.2789, 26192.21)(359.2746, 5636.15);357.276;0;205.133;205.133;1;1;1
2792;358.178;4.710;AMANTADINE;0;1;1;0;0;0;;(359.1855, 6038.9)(360.1914, 1687.95);359.185;0;207.042;207.042;1;1;1
3249;390.215;5.323;AMANTADINE;0;1;1;0;0;0;;(391.2221, 12984.08)(392.226, 3259.34)(393.2248, 1487.44);391.222;0;239.079;239.079;1;1;1
3288;393.182;3.873;AMANTADINE;0;1;1;0;0;0;;(394.1893, 17674.35)(395.1927, 3594.8)(396.1898, 1243.46);394.189;0;242.046;242.046;1;1;1
3490;408.715;1.917;AMANTADINE;0;0;1;1;0;0;;(840.4096, 1810.5)(409.7143, 23259.85)(410.7205, 5513.71)(411.7121, 4919.38)(818.4299, 1595.14);409.714;0;257.579;257.579;1;1;0
3497;409.294;5.210;AMANTADINE;0;1;1;0;0;0;;(410.3014, 11554.21)(411.2997, 2509.97)(412.3041, 4954.51);410.301;0;258.158;258.158;1;1;1
3512;410.775;5.355;AMANTADINE;0;1;1;1;0;0;;(411.7834, 17235.34)(412.7845, 3511.28)(413.7833, 628.29);411.783;0;259.639;259.639;1;1;4
3589;416.180;4.939;AMANTADINE;0;1;0;0;0;0;;(417.1875, 8360.66)(418.1912, 2742.73)(419.2001, 1251.34);417.188;0;265.044;265.044;1;1;1
3686;423.262;5.413;AMANTADINE;0;1;1;0;0;0;;(424.2692, 17411.46)(425.2744, 4629.29);424.269;0;272.126;272.126;1;1;1
3723;426.225;5.244;AMANTADINE;0;1;0;0;0;0;;(427.2322, 15185.24)(428.2366, 3937.54);427.232;0;275.089;275.089;1;1;1
3862;437.214;2.116;AMANTADINE;0;0;1;0;0;0;;(897.4396, 741.38)(438.2288, 12931.16)(439.2441, 5898.92)(440.2286, 7093.83)(913.3976, 378.33);438.229;0;286.078;286.078;1;1;0
3874;438.321;1.609;AMANTADINE;0;0;0;0;1;1;;(439.328, 7225.73)(440.3304, 2815.78)(441.3336, 956.17);439.328;0;287.185;287.185;1;1;0
3969;445.831;0.467;AMANTADINE;0;1;1;1;0;0;;(446.8381, 10586.89)(447.8383, 2073.1)(448.8398, 2658.84);446.838;0;294.695;294.695;1;1;0
4280;474.240;4.054;AMANTADINE;0;1;0;0;0;0;;(475.2467, 12908.53)(476.2497, 3766.39);475.247;0;323.104;323.104;1;1;1
4369;483.223;4.921;AMANTADINE;0;1;0;0;0;0;;(484.2299, 7754.51)(485.2341, 2842.53)(486.2379, 805.91);484.230;0;332.087;332.087;1;1;1
4591;503.598;3.652;AMANTADINE;0;1;1;1;0;0;;(526.5875, 2222.11)(504.605, 13277.86);504.605;0;352.462;352.462;1;3;1
4600;504.366;5.005;AMANTADINE;0;1;0;1;0;0;;(505.3737, 6769.35)(506.3762, 2122.2)(507.3795, 619.38);505.374;0;353.230;353.230;1;1;1
4663;513.353;5.267;AMANTADINE;0;1;0;1;0;0;;(514.3604, 9327.14)(515.3633, 5623.82)(516.3553, 1843.42);514.360;0;362.217;362.217;1;1;1
4842;537.378;5.300;AMANTADINE;0;1;1;1;0;0;;(560.3707, 1316.89)(538.3858, 639980.2)(539.385, 257648.8)(540.3832, 48271.14)(541.3821, 9638.22)(542.3793, 2377.57)(576.3424, 822.52);538.386;0;386.242;386.242;1;1;5
4905;545.298;5.215;AMANTADINE;0;1;1;0;0;0;;(546.304, 14845.91)(547.3094, 5234.24);546.304;0;394.162;394.162;1;1;2
4943;551.393;5.423;AMANTADINE;0;1;1;1;0;0;;(552.4005, 40239.82)(553.3957, 19783.52)(554.3919, 6102.78)(555.3937, 963.6);552.400;0;400.257;400.257;1;1;2
5021;563.346;5.511;AMANTADINE;0;1;1;1;0;0;;(564.3536, 17325.95)(565.3567, 5961.94)(566.3656, 1706.07);564.354;0;412.210;412.210;1;1;2
5170;584.404;5.357;AMANTADINE;0;1;1;1;0;0;;(585.4113, 9979.21)(586.4148, 3523.63);585.411;0;433.268;433.268;1;1;1
5292;603.656;2.086;AMANTADINE;0;1;1;1;0;0;;(604.6634, 35977.94)(605.6627, 3842.78)(606.6632, 910.08);604.663;0;452.519;452.519;1;2;0
5322;609.375;5.288;AMANTADINE;0;1;1;1;0;0;;(610.3827, 11910.11)(611.3862, 5409.87)(612.384, 1565.55);610.383;0;458.239;458.239;1;1;1
5350;614.413;5.405;AMANTADINE;0;1;1;1;0;0;;(615.4204, 13584.05)(616.423, 4696.03)(617.4244, 2237.75);615.420;0;463.277;463.277;1;1;1
5370;618.436;5.326;AMANTADINE;0;1;1;1;0;0;;(619.4428, 26630.19)(620.4436, 10179.76)(621.4389, 3480.73)(622.4411, 560.67);619.443;0;467.299;467.299;1;1;2
5372;619.290;2.170;AMANTADINE;1;0;0;0;0;0;;(642.2799, 11024.17)(620.2948, 59711.19)(621.295, 18271.64)(622.296, 3312.35);620.295;0;468.154;468.154;1;1;1
5441;633.444;5.401;AMANTADINE;0;1;1;1;0;0;;(634.4526, 7476.05)(635.4526, 2352.87)(636.4535, 772.6)(672.4102, 929.55);634.453;0;482.308;482.308;1;1;1
573;187.100;1.528;AMINOGLUTETHIMIDE;0;0;0;0;1;1;;(188.107, 13156.28)(189.1132, 1921.24);188.107;0;-45.021;-45.021;0;1;0
731;204.126;1.535;AMINOGLUTETHIMIDE;0;0;0;0;1;1;;(205.1338, 12177.85)(206.1369, 1932.95)(207.1227, 559.4);205.134;0;-27.995;-27.995;0;1;1
1020;232.119;2.150;AMINOGLUTETHIMIDE;0;0;1;0;0;0;;(233.1231, 5085.9)(234.1262, 1948.68)(235.1298, 1348.32)(465.2464, 14289.87)(466.2457, 5078.31)(467.238, 13846.0);465.246;0;-0.002;-0.004;0;2;0
1022;232.122;1.411;AMINOGLUTETHIMIDE;1;0;0;0;0;0;;(233.1288, 648615.6)(234.1319, 82995.31)(235.1336, 9357.4)(271.0836, 1483.61);233.129;0;0.001;0.000;0;1;3
1346;260.117;2.621;AMINOGLUTETHIMIDE;1;0;0;0;0;0;;(261.124, 21986.83)(262.1266, 3651.61);261.124;0;27.996;27.995;0;1;1
2039;313.068;0.433;AMINOGLUTETHIMIDE;0;1;1;0;0;0;;(336.0567, 1956.27)(649.118, 1776.12)(650.1246, 670.54)(314.0753, 14651.78)(352.0317, 4375.48)(627.1371, 6931.71)(628.1394, 2300.74)(629.1365, 2279.99)(630.1424, 593.32);314.075;0;80.947;80.947;0;1;1
2299;328.038;0.475;AMINOGLUTETHIMIDE;0;1;1;0;0;0;;(679.0638, 3685.21)(680.0701, 711.32)(681.0643, 779.91)(329.0442, 6879.4)(330.0483, 980.0)(331.0382, 1352.36);329.044;0;95.917;95.917;0;1;1
2646;348.844;2.955;AMINOGLUTETHIMIDE;0;1;1;1;0;0;;(371.8334, 528.27)(349.8506, 6140.42);349.851;0;116.722;116.722;0;1;0
2731;354.189;1.007;AMINOGLUTETHIMIDE;0;1;1;0;0;0;;(355.1963, 23411.95)(356.1897, 10927.27);355.196;0;122.068;122.068;0;1;14
2737;354.219;4.061;AMINOGLUTETHIMIDE;1;0;0;0;0;0;;(731.4225, 646.37)(732.4338, 413.83)(355.2264, 12072.12)(356.2293, 3063.66);355.226;0;122.098;122.097;0;2;0
3305;394.175;2.173;AMINOGLUTETHIMIDE;1;0;0;0;0;0;;(395.182, 32631.88)(396.1882, 9085.52);395.182;0;162.054;162.053;0;1;0
4439;489.275;1.740;AMINOGLUTETHIMIDE;0;1;1;0;0;0;;(490.28, 63530.06)(491.2728, 18288.38)(492.2815, 21019.56);490.280;0;257.154;257.154;0;1;1
4562;500.588;2.137;AMINOGLUTETHIMIDE;0;0;1;1;0;0;;(501.5951, 7051.63)(502.5943, 1740.9)(503.594, 2138.4);501.595;0;268.467;268.467;0;1;0
4591;503.598;3.652;AMINOGLUTETHIMIDE;0;1;1;1;0;0;;(526.5875, 2222.11)(504.605, 13277.86);504.605;0;271.476;271.476;0;3;1
4973;556.227;2.107;AMINOGLUTETHIMIDE;1;0;0;0;0;0;;(557.235, 10196.42)(558.2416, 3565.12)(559.2437, 1858.78);557.235;0;324.106;324.106;0;1;2
5109;576.798;1.768;AMINOGLUTETHIMIDE;0;0;0;1;0;0;;(577.8049, 7478.12)(578.7991, 1302.12)(579.7977, 362.36);577.805;0;344.676;344.676;0;1;1
5473;640.073;4.894;AMINOGLUTETHIMIDE;0;1;1;0;0;0;;(641.0801, 7977.32)(642.077, 2557.43)(643.0648, 4548.82)(644.0695, 575.89)(645.0605, 415.62);641.080;0;407.952;407.952;0;1;0
5733;703.698;1.704;AMINOGLUTETHIMIDE;0;0;0;1;0;0;;(704.705, 6049.63)(705.707, 1250.48);704.705;0;471.577;471.577;0;1;0
6122;892.443;3.266;AMINOGLUTETHIMIDE;0;0;0;1;0;0;;(893.45, 9116.58)(894.4509, 3556.88)(895.4511, 1215.48)(931.425, 860.01);893.450;0;660.322;660.322;0;1;0
708;202.096;1.357;AMISULPRIDE;0;1;1;0;0;0;;(203.1034, 15971.99)(204.1074, 2807.37);203.103;0;-167.076;-167.076;0;1;0
1123;241.041;1.666;AMISULPRIDE;0;0;0;0;1;1;;(505.0763, 598.56)(242.0484, 10618.1)(243.0501, 1093.36)(244.0443, 1137.17);242.048;0;-128.131;-128.131;0;1;0
2921;368.176;2.059;AMISULPRIDE;1;0;0;0;0;0;;(369.1837, 17936.76)(370.1788, 9221.04);369.184;0;-0.996;-0.996;0;1;1
2935;369.170;1.702;AMISULPRIDE;1;0;0;0;0;0;[[1123],241.041,1.666];(370.1798, 1138964.9)(371.1831, 197985.67)(372.1805, 51178.24)(373.1946, 7084.38)(739.3499, 788.7);370.180;0;-0.003;-0.004;0;1;0
2936;369.179;1.767;AMISULPRIDE;1;0;0;0;0;0;;(370.1793, 1522702.2)(371.1828, 263129.8)(372.18, 72120.92)(739.3634, 1806.35)(740.3616, 1163.32);370.179;0;0.006;0.007;0;2;0
3208;388.176;3.146;AMISULPRIDE;0;1;1;0;0;0;;(389.1835, 8482.45)(390.1832, 3443.19)(391.1935, 1817.55);389.183;0;19.004;19.004;0;1;1
4249;471.231;1.475;AMISULPRIDE;0;0;1;0;0;0;;(472.2382, 11586.25)(473.2383, 4949.58);472.238;0;102.059;102.059;0;1;3
4459;490.273;3.876;AMISULPRIDE;0;0;1;0;0;0;;(491.2805, 8559.67)(492.2782, 1664.29);491.281;0;121.101;121.101;0;1;0
5286;603.336;2.689;AMISULPRIDE;0;1;1;0;0;0;;(604.3433, 329138.75)(605.3455, 76445.05)(606.3495, 11519.29);604.343;0;234.164;234.164;0;2;1
816;214.081;0.734;ANAGRELIDE;0;1;0;1;0;0;;(451.1511, 717.19)(215.0907, 18086.76)(216.0883, 4703.96)(467.1285, 763.0)(253.0485, 748.18);215.091;0;-40.916;-40.916;1;1;0
1261;252.981;3.192;ANAGRELIDE;1;0;0;0;0;0;;(253.9883, 6017.37)(254.9949, 1943.82);253.988;0;-2.016;-2.015;1;1;2
1289;254.997;3.160;ANAGRELIDE;1;0;0;0;0;0;;(277.986, 7574.47)(278.9901, 1288.89)(279.9826, 5248.27)(280.9953, 551.74)(281.9811, 843.52)(256.0048, 660896.2)(257.0076, 67995.93)(258.0021, 420154.44)(259.0045, 42649.12)(259.9987, 57348.31)(261.002, 7191.73)(262.004, 613.41)(293.9591, 969.18)(294.9631, 0.07)(295.9671, 331.38)(548.9583, 1120.6)(549.964, 529.63)(510.9994, 3621.0)(512.0034, 835.73)(512.9974, 4396.23)(513.9994, 1252.58)(514.9934, 2366.02)(515.9965, 649.56);256.005;1;0.001;0.000;1;1;0
1495;273.007;2.500;ANAGRELIDE;0;0;0;1;0;0;;(274.0145, 6255.3)(275.0179, 1009.07)(276.0119, 4180.23)(277.0146, 488.81)(278.0091, 723.86)(547.0261, 451.06);274.014;0;18.011;18.011;1;1;0
1503;274.025;2.484;ANAGRELIDE;0;0;0;1;0;0;;(275.0329, 16021.17)(276.0341, 2599.68)(277.0284, 6295.63)(278.0305, 1295.16)(279.0269, 962.82);275.033;0;19.029;19.029;1;1;5
3609;417.704;2.590;ANAGRELIDE;0;1;1;1;0;0;;(418.7117, 10176.09)(456.665, 682.19)(874.3698, 404.22);418.712;0;162.707;162.707;1;1;0
5784;720.774;2.709;ANAGRELIDE;0;1;0;1;0;0;;(721.7793, 8616.38)(722.7975, 4784.42)(723.7838, 3288.3)(759.7295, 2440.88)(760.7278, 1929.81);721.779;0;465.777;465.777;1;1;0
203;145.089;4.194;ANASTROZOLE;0;1;1;0;0;0;;(146.0971, 11695.12)(147.1007, 1917.28)(291.1821, 1734.08);146.097;0;-148.075;-148.075;1;1;0
928;224.107;2.153;ANASTROZOLE;1;0;0;0;0;0;;(225.1164, 11992.22)(226.1143, 3051.34)(227.1217, 1237.12);225.116;0;-69.057;-69.057;1;2;1
932;224.132;3.198;ANASTROZOLE;0;0;0;0;1;1;;(225.139, 18088.47)(226.1422, 3333.22)(227.1415, 657.72);225.139;0;-69.032;-69.033;1;1;0
990;229.147;3.211;ANASTROZOLE;0;0;0;0;1;1;;(230.1543, 6688.99)(231.1604, 1272.86);230.154;0;-64.017;-64.017;1;1;1
1158;243.173;4.109;ANASTROZOLE;1;0;0;0;0;0;;(244.1804, 16581.34)(245.1836, 4226.57);244.180;0;-49.991;-49.991;1;1;0
1705;288.184;3.207;ANASTROZOLE;1;0;0;0;0;0;[[932],224.132,3.198][[990],229.147,3.211][[3285],393.089,3.225];(289.1911, 25627.94)(290.194, 4969.75)(291.1952, 1361.32);289.191;0;-4.980;-4.980;1;1;2
1770;293.164;2.843;ANASTROZOLE;1;0;0;0;0;0;;(294.1718, 17726.04)(295.1742, 3785.54)(296.1773, 370.62);294.172;0;0.000;0.000;1;1;5
1772;293.165;3.200;ANASTROZOLE;1;0;0;0;0;0;[[932],224.132,3.198][[990],229.147,3.211][[3285],393.089,3.225];(316.1536, 67406.79)(317.1562, 12225.58)(318.1624, 1438.47)(294.1723, 1497129.5)(295.1755, 253972.23)(296.1782, 19262.11)(297.1805, 993.46)(332.127, 2085.62)(333.1305, 943.7)(334.1361, 592.82);294.172;1;0.001;0.000;1;1;0
3285;393.089;3.225;ANASTROZOLE;0;0;0;0;1;1;;(394.0957, 5899.64)(395.0992, 1599.79)(396.096, 8605.15)(397.1003, 2636.48)(398.0927, 2932.89);396.096;0;99.925;99.925;1;1;2
3331;396.002;3.864;ANASTROZOLE;1;0;0;0;0;0;;(397.0091, 9129.99)(398.0114, 1954.63)(399.0058, 9156.74)(400.0091, 2058.98)(401.0038, 3051.03)(402.0053, 558.72);399.006;0;102.838;102.838;1;1;0
5151;582.288;1.852;ANASTROZOLE;0;1;1;0;0;0;;(583.2951, 6785.76)(584.3141, 4675.46);583.295;0;289.124;289.124;1;1;0
5979;803.381;3.430;ANASTROZOLE;0;1;0;1;0;0;;(804.3879, 6449.15)(805.39, 3194.45)(806.3943, 3353.71)(807.4095, 2307.04);804.388;0;510.217;510.217;1;1;0
1362;261.996;0.408;ANTAZOLINE PHOSPHATE;0;0;0;1;0;0;;(284.9922, 2982.29)(286.0017, 4.53)(287.0111, 3211.72)(288.0125, 4.53)(289.0139, 1390.13)(263.004, 42141.54)(264.0079, 3575.09)(265.0061, 5147.9)(300.9621, 33547.96)(301.96, 4747.75)(302.9621, 6279.0);263.004;0;-3.162;-3.162;0;1;0
1403;265.159;2.436;ANTAZOLINE PHOSPHATE;1;0;0;0;0;0;;(266.1659, 666132.6)(267.1687, 105108.51)(268.1717, 8457.53)(269.1736, 576.27);266.166;1;0.001;0.000;0;1;0
1404;265.164;4.255;ANTAZOLINE PHOSPHATE;1;0;0;0;0;0;;(266.1738, 2320.14)(531.3346, 11601.85);531.335;0;0.006;0.007;0;1;1
1413;266.138;0.904;ANTAZOLINE PHOSPHATE;0;1;1;0;0;0;;(289.1272, 39839.23)(267.142, 78538.8)(268.1399, 6521.84)(269.149, 298.6)(571.2434, 1548.6)(572.2372, 830.8)(533.2875, 37488.54)(534.2833, 9526.61);267.142;0;0.980;0.982;0;1;1
1640;283.169;2.567;ANTAZOLINE PHOSPHATE;1;0;0;0;0;0;;(284.1758, 9226.98)(285.1791, 2198.85)(286.1772, 905.6);284.176;0;18.011;18.011;0;1;0
2254;325.179;3.809;ANTAZOLINE PHOSPHATE;1;0;0;0;0;0;;(651.3608, 1124.28)(348.1678, 947.11)(326.1862, 12449.85)(327.1929, 4480.76)(328.1934, 782.24);326.186;0;60.021;60.021;0;1;1
2609;346.122;1.748;ANTAZOLINE PHOSPHATE;0;1;1;0;0;0;;(347.1293, 3813.6)(348.1316, 650.05)(349.1165, 5260.18)(693.2571, 821.49);349.116;0;80.964;80.964;0;1;3
2777;357.200;2.064;ANTAZOLINE PHOSPHATE;0;1;1;0;0;0;;(380.1866, 3220.69)(358.2075, 23261.51)(359.222, 5288.64)(396.1664, 951.46);358.207;0;92.042;92.042;0;1;7
3377;399.237;2.654;ANTAZOLINE PHOSPHATE;0;1;1;0;0;0;;(400.2455, 7506.07)(401.2398, 1731.02)(402.2418, 4671.75)(799.4795, 1156.45);400.245;0;134.079;134.079;0;1;0
4033;450.748;0.592;ANTAZOLINE PHOSPHATE;0;1;1;1;0;0;;(473.7393, 638.28)(451.7552, 6176.34)(452.7494, 1804.72);451.755;0;185.590;185.590;0;1;1
4941;551.268;1.474;ANTAZOLINE PHOSPHATE;0;0;1;0;0;0;;(552.2755, 15704.72)(553.2698, 13048.61)(554.2687, 6054.06);552.275;0;286.110;286.110;0;1;0
5457;636.782;0.397;ANTAZOLINE PHOSPHATE;0;1;1;1;0;0;;(637.7946, 7609.94)(638.7871, 1528.6)(639.7844, 5175.04);637.795;0;371.624;371.624;0;1;1
600;190.078;1.644;APOMORPHINE;0;0;0;0;1;1;;(191.0856, 26719.77)(192.0893, 5075.03);191.086;0;-77.048;-77.048;0;1;2
623;193.065;1.439;APOMORPHINE;1;0;0;0;0;0;;(216.0531, 407.98)(194.0727, 12469.75)(387.1378, 45345.05)(388.1409, 10339.88)(389.1406, 3716.4);387.138;0;-74.061;-74.061;0;1;0
775;209.052;1.609;APOMORPHINE;0;0;0;0;1;1;;(210.0588, 3368.73)(419.1095, 10062.98)(420.1138, 3131.62);419.110;0;-58.074;-58.074;0;1;1
857;218.073;1.635;APOMORPHINE;0;0;0;0;1;1;;(219.0805, 48165.34)(220.084, 9562.69)(221.0902, 2349.83)(475.1038, 707.0);219.081;0;-49.053;-49.053;0;1;1
858;218.073;1.641;APOMORPHINE;0;0;0;0;1;1;;(219.0811, 23830.16)(220.0941, 10370.6);219.081;0;-49.053;-49.053;0;1;1
1064;236.084;1.635;APOMORPHINE;0;0;0;0;1;1;;(237.0912, 54138.77)(238.0967, 9550.4)(239.1011, 1633.1);237.091;0;-31.042;-31.042;0;1;2
1065;236.089;1.744;APOMORPHINE;0;0;1;0;0;0;;(259.0781, 1804.91)(237.0916, 99353.23)(238.0962, 16094.24)(239.1012, 2719.69)(511.1346, 854.34)(512.1269, 552.08)(513.1297, 966.63);237.092;0;-31.037;-31.037;0;1;0
1431;267.097;0.929;APOMORPHINE;0;1;1;0;0;0;;(557.1815, 1660.78)(558.18, 822.06)(268.1046, 537681.0)(269.107, 58229.75)(270.109, 8831.75);268.105;0;-0.029;-0.029;0;1;0
1434;267.126;1.637;APOMORPHINE;1;0;0;0;0;0;[[600],190.078,1.644][[775],209.052,1.609][[857],218.073,1.635][[858],218.073,1.641][[1064],236.084,1.635][[1671],286.098,1.732][[4684],516.135,1.545][[5952],785.363,1.557];(268.1336, 1048785.0)(269.1371, 174196.0)(270.1423, 20472.23)(271.1407, 4269.6)(535.2643, 5444.82);268.134;1;0.000;0.000;0;1;6
1671;286.098;1.732;APOMORPHINE;0;0;0;0;1;1;;(573.2025, 3458.65)(287.1046, 15143.88)(288.1062, 2169.78);287.105;0;18.972;18.971;0;1;2
1824;297.083;1.440;APOMORPHINE;1;0;0;0;0;0;;(298.0902, 9731.47)(299.0969, 4305.95)(300.0944, 1179.39);298.090;0;29.957;29.957;0;1;1
1966;308.098;2.200;APOMORPHINE;1;0;0;0;0;0;;(309.1057, 19463.62)(310.1102, 3171.08)(311.1034, 1479.63)(617.1989, 646.0);309.106;0;40.972;40.972;0;1;5
2205;322.108;2.275;APOMORPHINE;1;0;0;0;0;0;;(323.1157, 7829.23)(324.1179, 2556.67)(325.121, 2008.43);323.116;0;54.982;54.982;0;1;0
