Index;MZ;RT;ParentDrug;GoodFilter;FilterNoisyT0;FilterNoisyT12;FilterDifferentMassDefect;FilterLikelyDrugFragment;FilterLikelyDrugMetaboliteFragment;PotentialFragments;IonSpectrum;LeadingMZ;DrugMassFlag;DrugMassDelta;DrugMassDeltaSmoothed;DrugConsumedFlag;NumberOfDrugs;NumberOfIncreasedT12vsT0
1188;246.126;4.213;ARTEMISININ;0;0;0;0;1;1;;(247.1336, 215106.03)(248.1372, 27466.12)(249.1409, 2679.62);247.134;0;-36.020;-36.021;1;1;0
1191;246.126;3.141;ARTEMISININ;1;0;0;0;0;0;;(247.133, 12986.64)(248.1362, 2039.01)(249.1399, 573.27);247.133;0;-36.021;-36.021;1;1;48
1218;248.141;3.856;ARTEMISININ;1;0;0;0;0;0;[[445],176.083,3.771][[2294],327.204,3.772];(249.1488, 11288.41)(250.1522, 1872.52)(251.1555, 854.33);249.149;0;-34.005;-34.005;1;1;44
1219;248.141;4.274;ARTEMISININ;0;0;0;0;1;1;;(249.1481, 12316.12)(250.1501, 2391.35)(251.1476, 12935.42)(252.1517, 2431.47);251.148;0;-34.006;-34.005;1;1;3
1273;253.168;3.397;ARTEMISININ;1;0;0;0;0;0;;(254.1755, 22016.22)(255.1778, 4211.36)(256.1744, 745.04);254.175;0;-28.979;-28.979;1;1;1
1286;254.152;3.759;ARTEMISININ;0;1;0;0;0;0;;(255.1592, 12072.68)(256.1635, 2124.39)(257.1558, 1433.77);255.159;0;-27.995;-27.995;1;1;1
1313;257.163;3.576;ARTEMISININ;1;0;0;0;0;0;;(258.1701, 10163.19)(259.1724, 1893.31)(260.1649, 3107.91);258.170;0;-24.984;-24.984;1;1;1
1368;262.119;3.535;ARTEMISININ;1;0;0;0;0;0;;(263.1262, 90543.09)(264.1292, 12617.1);263.126;0;-20.028;-20.029;1;1;17
1377;263.090;1.843;ARTEMISININ;0;1;1;0;0;0;;(264.098, 6524.68)(265.1007, 1232.14)(266.0907, 770.37)(565.1419, 419.32);264.098;0;-19.056;-19.056;1;1;3
1388;264.130;4.248;ARTEMISININ;0;0;0;0;1;1;;(265.1372, 1563301.2)(266.14, 218546.16)(267.1457, 27945.71)(567.2331, 391.8);265.137;0;-18.017;-18.017;1;1;0
1389;264.137;4.214;ARTEMISININ;0;0;0;0;1;1;;(265.1446, 566283.8)(266.1474, 81484.58)(267.1509, 9820.19)(268.1541, 757.37);265.145;0;-18.010;-18.011;1;1;0
1391;264.137;3.059;ARTEMISININ;1;0;0;0;0;0;;(265.1443, 24506.94)(266.1477, 4310.12);265.144;0;-18.010;-18.011;1;1;52
1415;266.152;4.246;ARTEMISININ;0;0;0;0;1;1;;(289.1407, 5167.64)(290.1427, 1870.75)(267.1591, 20067.24)(268.1606, 5493.8)(571.2723, 577.48);267.159;0;-15.995;-15.995;1;1;47
1417;266.152;3.860;ARTEMISININ;1;0;0;0;0;0;[[445],176.083,3.771][[2294],327.204,3.772];(289.1416, 15465.81)(290.1447, 2183.21)(291.1494, 487.28)(267.1599, 88566.46)(268.1627, 12561.05)(269.1658, 1824.18);267.160;0;-15.994;-15.995;1;1;51
1543;276.130;4.244;ARTEMISININ;0;0;0;0;1;1;;(277.1371, 35834.62)(278.1401, 5650.46);277.137;0;-6.017;-6.017;1;1;0
1544;276.134;3.429;ARTEMISININ;1;0;0;0;0;0;;(277.1414, 10500.86)(278.145, 1798.01)(315.0974, 783.49);277.141;0;-6.013;-6.013;1;1;1
1545;276.134;4.168;ARTEMISININ;0;0;0;0;1;1;;(277.1415, 28341.77)(278.1445, 4325.62);277.142;0;-6.013;-6.013;1;1;0
1574;278.146;4.200;ARTEMISININ;1;0;0;0;0;0;[[72],120.094,4.218][[88],124.089,4.212][[128],132.094,4.223][[163],138.105,4.213][[194],144.094,4.211][[213],146.109,4.291][[221],148.089,4.224][[225],148.125,4.198][[241],150.068,4.235][[245],150.105,4.221][[281],156.079,4.222][[300],158.110,4.213][[307],160.047,4.209][[311],160.089,4.228][[332],162.098,4.239][[333],162.105,4.233][[335],162.141,4.243][[361],166.101,4.221][[408],172.125,4.212][[432],174.141,4.253][[444],176.083,4.231][[451],176.120,4.215][[467],178.100,4.213][[496],180.116,4.233][[560],186.105,4.237][[583],188.083,4.291][[602],190.100,4.221][[608],190.136,4.210][[686],200.120,4.214][[711],202.136,4.238][[729],204.115,4.217][[746],206.094,4.222][[769],208.147,4.212][[881],220.145,4.229][[904],222.126,4.212][[967],228.115,4.212][[1071],236.142,4.212][[1098],238.156,4.264][[1188],246.126,4.213][[1389],264.137,4.214][[1415],266.152,4.246][[1543],276.130,4.244][[2292],327.204,4.211][[2666],350.183,4.262][[2892],366.099,4.215][[3555],413.241,4.222];(301.1446, 5861.02)(302.1494, 2542.2)(279.1534, 100385.91)(280.1572, 22554.78)(281.1486, 4384.09)(317.1199, 1437.08);279.153;0;-4.001;-4.001;1;2;0
1575;278.152;4.182;ARTEMISININ;1;0;0;0;0;0;[[18],108.095,4.227][[70],120.088,4.247][[71],120.091,4.245][[72],120.094,4.218][[81],122.111,4.225][[88],124.089,4.212][[115],130.078,4.228][[128],132.094,4.223][[163],138.105,4.213][[193],144.089,4.267][[194],144.094,4.211][[211],146.105,4.266][[221],148.089,4.224][[225],148.125,4.198][[241],150.068,4.235][[245],150.105,4.221][[281],156.079,4.222][[300],158.110,4.213][[307],160.047,4.209][[311],160.089,4.228][[332],162.098,4.239][[333],162.105,4.233][[335],162.141,4.243][[361],166.101,4.221][[408],172.125,4.212][[431],174.137,4.240][[432],174.141,4.253][[444],176.083,4.231][[451],176.120,4.215][[467],178.100,4.213][[496],180.116,4.233][[560],186.105,4.237][[602],190.100,4.221][[608],190.136,4.210][[637],194.095,4.232][[686],200.120,4.214][[709],202.131,4.272][[711],202.136,4.238][[729],204.115,4.217][[746],206.094,4.222][[767],208.140,4.224][[769],208.147,4.212][[864],218.126,4.237][[881],220.145,4.229][[904],222.126,4.212][[967],228.115,4.212][[970],228.119,4.229][[1071],236.142,4.212][[1098],238.156,4.264][[1188],246.126,4.213][[1219],248.141,4.274][[1388],264.130,4.248][[1389],264.137,4.214][[1415],266.152,4.246][[1543],276.130,4.244][[1545],276.134,4.168][[1752],292.099,4.226][[2164],320.101,4.223][[2291],327.198,4.239][[2292],327.204,4.211][[2444],336.062,4.234][[2666],350.183,4.262][[2892],366.099,4.215][[3108],382.072,4.227][[3376],399.226,4.234][[3555],413.241,4.222][[5239],594.330,4.210];(301.1459, 1583.31)(317.1139, 921.13)(279.1596, 44038.64)(280.1627, 7775.46)(281.171, 1298.96);279.160;0;-3.994;-3.994;1;2;0
1623;282.147;4.214;ARTEMISININ;1;0;0;0;0;0;[[18],108.095,4.227][[70],120.088,4.247][[71],120.091,4.245][[72],120.094,4.218][[81],122.111,4.225][[88],124.089,4.212][[115],130.078,4.228][[128],132.094,4.223][[163],138.105,4.213][[193],144.089,4.267][[194],144.094,4.211][[211],146.105,4.266][[213],146.109,4.291][[221],148.089,4.224][[225],148.125,4.198][[241],150.068,4.235][[245],150.105,4.221][[281],156.079,4.222][[300],158.110,4.213][[307],160.047,4.209][[311],160.089,4.228][[332],162.098,4.239][[333],162.105,4.233][[335],162.141,4.243][[361],166.101,4.221][[408],172.125,4.212][[431],174.137,4.240][[432],174.141,4.253][[444],176.083,4.231][[451],176.120,4.215][[467],178.100,4.213][[496],180.116,4.233][[560],186.105,4.237][[583],188.083,4.291][[602],190.100,4.221][[608],190.136,4.210][[637],194.095,4.232][[686],200.120,4.214][[709],202.131,4.272][[711],202.136,4.238][[729],204.115,4.217][[746],206.094,4.222][[767],208.140,4.224][[769],208.147,4.212][[864],218.126,4.237][[881],220.145,4.229][[904],222.126,4.212][[967],228.115,4.212][[970],228.119,4.229][[1071],236.142,4.212][[1098],238.156,4.264][[1188],246.126,4.213][[1219],248.141,4.274][[1388],264.130,4.248][[1389],264.137,4.214][[1415],266.152,4.246][[1543],276.130,4.244][[1545],276.134,4.168][[1752],292.099,4.226][[2164],320.101,4.223][[2291],327.198,4.239][[2292],327.204,4.211][[2444],336.062,4.234][[2666],350.183,4.262][[2892],366.099,4.215][[3108],382.072,4.227][[3376],399.226,4.234][[3555],413.241,4.222][[5239],594.330,4.210];(305.1368, 310547.0)(306.1395, 43119.59)(307.1497, 9011.5)(587.2835, 124081.94)(588.2867, 34241.81)(589.289, 7345.36)(590.2956, 1632.86)(283.1549, 303517.06)(284.1576, 41010.91)(285.1602, 5918.11)(286.162, 710.17)(321.1084, 19889.92)(322.1117, 3106.18)(323.1165, 7728.98)(565.2989, 891.15)(566.3043, 289.17)(567.2797, 548.17);305.137;1;0.001;0.000;1;1;0
1624;282.147;3.127;ARTEMISININ;1;0;0;0;0;0;;(305.1366, 23002.93)(306.1396, 3873.62)(307.1444, 1005.4)(587.2798, 487.28)(283.1544, 31764.87)(284.1578, 4708.22)(285.1423, 4035.6)(286.1448, 624.45)(321.11, 797.03);283.154;0;0.000;0.000;1;1;72
1752;292.099;4.226;ARTEMISININ;0;0;0;0;1;1;;(293.1066, 11179.39)(294.1104, 1674.8)(295.1128, 816.61);293.107;0;9.953;9.952;1;1;0
1817;296.163;4.329;ARTEMISININ;1;0;0;0;0;0;[[71],120.091,4.245][[213],146.109,4.291][[241],150.068,4.235][[333],162.105,4.233][[335],162.141,4.243][[432],174.141,4.253][[444],176.083,4.231][[496],180.116,4.233][[560],186.105,4.237][[583],188.083,4.291][[637],194.095,4.232][[711],202.136,4.238][[864],218.126,4.237][[881],220.145,4.229][[1098],238.156,4.264][[1415],266.152,4.246][[2666],350.183,4.262][[3376],399.226,4.234];(297.1696, 12414.42)(298.1741, 2511.9);297.170;0;14.016;14.015;1;2;0
1859;299.174;3.355;ARTEMISININ;1;0;0;0;0;0;;(300.1809, 18871.5)(301.1843, 4025.34)(302.1845, 689.78);300.181;0;17.027;17.027;1;1;22
1912;304.129;3.372;ARTEMISININ;1;0;0;0;0;0;;(647.2159, 434.11)(305.1363, 12662.68)(306.142, 2025.0);305.136;0;21.982;21.982;1;1;6
1943;306.145;3.865;ARTEMISININ;1;0;0;0;0;0;[[445],176.083,3.771][[2294],327.204,3.772];(307.1525, 13202.39)(308.1557, 2535.3)(309.164, 812.64);307.152;0;23.999;23.998;1;1;9
2164;320.101;4.223;ARTEMISININ;0;0;0;0;1;1;;(321.1078, 20773.96)(322.1113, 3139.48)(323.1161, 8437.79)(324.1217, 1012.84);321.108;0;37.954;37.954;1;1;0
2229;324.089;3.544;ARTEMISININ;1;0;0;0;0;0;;(325.0961, 11187.93)(326.0994, 1665.21)(327.0978, 566.87);325.096;0;41.942;41.942;1;1;3
2247;325.135;3.762;ARTEMISININ;1;0;0;0;0;0;[[301],158.110,3.736][[445],176.083,3.771][[2294],327.204,3.772];(348.1238, 1906.28)(349.1301, 518.78)(326.1419, 12181.28)(327.143, 3294.57)(328.1401, 1125.79);326.142;0;42.988;42.988;1;1;14
2291;327.198;4.239;ARTEMISININ;0;0;0;0;1;1;;(328.2054, 15449.78)(329.2101, 3910.03)(330.2135, 1206.52);328.205;0;45.051;45.052;1;1;0
2292;327.204;4.211;ARTEMISININ;0;0;0;0;1;1;;(677.3992, 416.65)(328.212, 7827.53)(329.2144, 1549.26)(330.2172, 518.8);328.212;0;45.058;45.057;1;1;0
2294;327.204;3.772;ARTEMISININ;0;0;0;0;0;1;;(328.2118, 12624.45)(329.2133, 3099.58)(330.2188, 732.79);328.212;0;45.058;45.057;1;1;14
2444;336.062;4.234;ARTEMISININ;0;0;0;0;1;1;;(337.0732, 6014.14)(338.0812, 1667.01)(339.0728, 588.02);337.073;0;53.915;53.915;1;1;0
2491;339.205;3.677;ARTEMISININ;1;0;0;0;0;0;[[301],158.110,3.736][[445],176.083,3.771][[2294],327.204,3.772];(340.2119, 9569.75)(341.2111, 2643.85)(342.2038, 1194.98);340.212;0;57.058;57.058;1;1;2
2554;343.146;2.974;ARTEMISININ;1;0;0;0;0;0;;(344.1527, 29066.55)(345.1567, 10809.14)(346.1575, 5944.52);344.153;0;60.999;60.999;1;1;1
2666;350.183;4.262;ARTEMISININ;0;0;0;0;1;1;;(351.1906, 17170.08)(352.1945, 4223.99);351.191;0;68.037;68.037;1;1;0
2716;353.220;3.870;ARTEMISININ;1;0;0;0;0;0;[[445],176.083,3.771][[2294],327.204,3.772];(729.428, 1299.42)(730.4236, 848.75)(354.2274, 22916.31)(355.228, 6786.98)(356.2338, 1442.23);354.227;0;71.073;71.073;1;1;6
2892;366.099;4.215;ARTEMISININ;0;0;0;0;1;1;;(367.1063, 19467.59)(368.1096, 3100.64)(369.1087, 890.65)(405.0603, 409.19);367.106;0;83.952;83.952;1;1;0
2893;366.099;3.748;ARTEMISININ;1;0;0;0;0;0;[[301],158.110,3.736][[445],176.083,3.771][[2294],327.204,3.772];(755.1906, 581.38)(367.1062, 5992.13)(368.1107, 1274.66)(369.1056, 360.42);367.106;0;83.952;83.952;1;1;18
2909;367.145;3.998;ARTEMISININ;1;0;0;0;0;0;;(390.1372, 420.17)(368.1524, 8403.59)(369.1601, 1972.8)(370.1518, 628.97);368.152;0;84.998;84.998;1;1;10
2918;368.115;3.890;ARTEMISININ;1;0;0;0;0;0;;(391.1044, 665.38)(369.1219, 5819.53)(370.1253, 1869.2)(371.1302, 577.27);369.122;0;85.968;85.967;1;1;1
2925;368.231;1.581;ARTEMISININ;1;0;0;0;0;0;;(369.2381, 10027.86)(370.2403, 3113.44);369.238;0;86.084;86.084;1;1;1
3092;379.236;4.812;ARTEMISININ;1;0;0;0;0;0;;(759.4761, 377.21)(380.2431, 11310.4)(381.2441, 5025.22)(382.2466, 1058.92);380.243;0;97.089;97.089;1;1;6
3108;382.072;4.227;ARTEMISININ;0;0;0;0;1;1;;(383.0789, 6571.07)(384.0854, 1396.06)(385.0801, 2922.95)(386.0834, 536.53)(387.076, 1244.21)(421.0396, 360.24);383.079;0;99.925;99.925;1;1;0
3162;385.156;3.687;ARTEMISININ;1;0;0;0;0;0;[[445],176.083,3.771];(408.1451, 11494.87)(409.1481, 2099.46)(410.1403, 864.0)(386.1636, 17229.58)(387.1673, 3661.56)(388.1639, 1100.77);386.164;0;103.009;103.009;1;1;0
3191;387.203;3.943;ARTEMISININ;1;0;0;0;0;0;;(388.2097, 10205.92)(389.2139, 2511.41);388.210;0;105.056;105.056;1;1;14
3376;399.226;4.234;ARTEMISININ;0;0;0;0;1;1;;(400.2333, 6801.96)(401.2346, 2113.49);400.233;0;117.080;117.079;1;1;0
3555;413.241;4.222;ARTEMISININ;0;0;0;0;1;1;;(414.2484, 14119.58)(415.2509, 4768.03)(416.2472, 1716.82);414.248;0;131.094;131.094;1;1;0
3556;413.241;3.781;ARTEMISININ;1;0;0;0;0;0;[[301],158.110,3.736][[445],176.083,3.771][[2294],327.204,3.772];(414.2488, 10075.0)(415.2525, 3614.97)(416.2531, 2127.55);414.249;0;131.095;131.094;1;1;3
3952;444.139;3.148;ARTEMISININ;1;0;0;0;0;0;;(445.146, 12047.54)(446.1499, 3002.38)(447.1467, 1525.42);445.146;0;161.992;161.992;1;1;46
5239;594.330;4.210;ARTEMISININ;0;0;0;0;1;1;;(617.319, 6664.91)(618.322, 2915.25)(619.3339, 1078.2)(595.3364, 3667.43)(596.339, 1688.83)(597.3372, 683.43);617.319;0;312.183;312.183;1;1;1
5946;782.866;2.306;ARTEMISININ;0;1;0;1;0;0;;(783.8731, 9427.74)(784.8787, 1614.81)(785.8855, 1265.28);783.873;0;500.719;500.719;1;1;1
5982;804.722;0.378;ARTEMISININ;0;1;1;1;0;0;;(805.7289, 5722.09)(806.7174, 4220.42);805.729;0;522.575;522.575;1;1;0
6130;906.456;1.789;ARTEMISININ;0;1;0;1;0;0;;(907.463, 25179.04)(908.4651, 13073.09)(909.4677, 4771.03)(910.4668, 2115.69)(945.4207, 555.08);907.463;0;624.309;624.309;1;2;1
6151;936.529;2.456;ARTEMISININ;0;0;0;1;0;0;;(959.5165, 2861.13)(960.5175, 1531.7)(961.5164, 775.28)(937.5361, 48522.11)(938.5388, 23267.41)(939.5408, 13962.67)(940.5438, 4956.58)(941.5417, 1743.27)(975.4864, 1358.27)(976.4835, 1106.0)(977.4851, 784.51);937.536;0;654.382;654.382;1;2;0
6165;966.462;2.894;ARTEMISININ;0;1;1;1;0;0;;(989.458, 907.57)(967.4698, 2411.66)(968.4703, 1410.97)(969.489, 5121.99)(970.493, 4158.76)(971.4987, 932.07)(972.4997, 320.5)(973.4916, 1065.55);969.489;0;684.316;684.316;1;1;0
1109;239.115;2.051;ATENOLOL;1;0;0;0;0;0;;(262.1056, 2141.9)(263.1024, 800.83)(240.123, 12650.84)(241.1251, 2629.41);240.123;0;-27.048;-27.048;0;1;1
1418;266.163;1.103;ATENOLOL;1;0;0;0;0;0;;(289.149, 22333.9)(267.1703, 1659017.5)(268.1738, 244709.89)(269.1752, 26516.49);267.170;1;0.000;0.000;0;1;0
2217;322.200;0.975;ATENOLOL;1;0;0;0;0;0;;(345.191, 23812.71)(323.2072, 8611.04);345.191;0;56.036;56.036;0;1;0
3981;446.271;2.003;ATENOLOL;0;1;1;0;0;0;;(447.2778, 11775.43)(448.2682, 7509.41);447.278;0;180.107;180.107;0;1;0
4178;464.900;1.254;ATENOLOL;0;1;1;1;0;0;;(465.9076, 6079.37)(466.9142, 3258.48)(467.9143, 554.54);465.908;0;198.737;198.737;0;1;0
4278;474.236;1.857;ATENOLOL;0;1;1;0;0;0;;(497.2165, 2679.21)(475.2437, 222105.69)(476.2462, 54237.05)(477.2525, 14074.06)(478.2545, 1872.52);475.244;0;208.073;208.073;0;1;1
4317;479.227;1.215;ATENOLOL;0;1;1;0;0;0;;(480.2331, 15642.16)(481.2467, 7640.75)(482.2381, 6273.6)(959.4545, 408.84);480.233;0;213.064;213.064;0;1;0
4772;528.765;2.891;ATENOLOL;0;1;1;1;0;0;;(529.7719, 7233.69)(530.7713, 7117.36);529.772;0;262.602;262.602;0;1;1
5696;691.336;3.369;ATENOLOL;0;1;1;0;0;0;;(692.3552, 9471.56)(693.3589, 7351.46)(694.366, 11872.25);694.366;0;425.173;425.173;0;1;0
218;148.015;2.974;ATORVASTATIN CALCIUM;0;0;0;1;0;0;;(149.0222, 13624.04)(150.0261, 1566.17);149.022;0;-410.238;-410.238;0;1;0
628;193.108;0.455;ATORVASTATIN CALCIUM;0;1;0;0;0;0;;(216.0974, 14252.74)(194.1149, 10371.04);216.097;0;-365.145;-365.145;0;1;1
1435;267.137;3.553;ATORVASTATIN CALCIUM;0;1;1;0;0;0;;(268.1448, 9315.18)(269.1459, 2277.73)(270.1503, 543.24)(535.29, 1189.37);268.145;0;-291.116;-291.115;0;1;3
1804;295.809;0.559;ATORVASTATIN CALCIUM;0;1;1;1;0;0;;(296.8176, 12530.24)(297.8236, 1202.38);296.818;0;-262.444;-262.444;0;1;0
2659;349.707;1.494;ATORVASTATIN CALCIUM;0;1;1;1;0;0;;(350.7126, 9630.88)(700.4224, 1912.55)(701.4118, 1488.77)(702.4001, 1492.2);350.713;0;-208.547;-208.547;0;1;0
3050;376.166;1.058;ATORVASTATIN CALCIUM;0;1;0;0;0;0;;(377.1734, 41816.91)(378.1865, 6783.83);377.173;0;-182.087;-182.087;0;1;1
3128;383.160;2.529;ATORVASTATIN CALCIUM;1;0;0;0;0;0;;(384.1675, 1511334.5)(385.1708, 290290.75)(386.1728, 40021.79)(387.1756, 5565.37);384.168;0;-175.093;-175.093;0;1;0
3209;388.180;2.539;ATORVASTATIN CALCIUM;0;1;1;0;0;0;;(815.3183, 817.72)(799.3568, 1874.19)(800.352, 1038.52)(801.3483, 1177.56)(427.1387, 1380.18)(389.1877, 41401.8);389.188;0;-170.073;-170.073;0;1;0
3217;388.681;2.532;ATORVASTATIN CALCIUM;0;0;1;1;0;0;;(411.6707, 2579.23)(389.6887, 29168.9)(427.6388, 856.12)(816.3264, 697.64);389.689;0;-169.572;-169.572;0;1;0
3280;392.216;1.428;ATORVASTATIN CALCIUM;0;1;1;0;0;0;;(393.2226, 43958.48)(394.2206, 12740.68)(395.2119, 19834.34)(785.4326, 1100.56);393.223;0;-166.037;-166.038;0;1;9
4419;488.220;1.224;ATORVASTATIN CALCIUM;0;1;1;0;0;0;;(511.2121, 1272.46)(489.2308, 16131.36)(490.2359, 8147.43)(977.4406, 1982.26)(978.4457, 1053.7)(979.4455, 432.51);489.231;0;-70.033;-70.033;0;1;0
5348;613.819;3.014;ATORVASTATIN CALCIUM;0;0;0;1;0;0;;(614.8107, 9494.61)(615.8236, 6301.64)(616.8181, 1431.49);614.811;0;55.566;55.566;0;1;1
5809;731.337;3.146;ATORVASTATIN CALCIUM;1;0;0;0;0;0;;(732.3528, 12229.15)(733.362, 6121.88);732.353;0;173.084;173.084;0;1;0
616;192.081;3.158;AZATADINE MALEATE;1;0;0;0;0;0;;(215.0706, 1917.88)(193.0882, 10313.69)(194.0928, 2370.57);193.088;0;-98.097;-98.097;0;1;0
756;207.105;3.136;AZATADINE MALEATE;1;0;0;0;0;0;;(208.1124, 15868.08)(209.1161, 2826.26)(210.117, 430.27);208.112;0;-83.073;-83.073;0;1;0
1130;241.815;0.952;AZATADINE MALEATE;0;1;1;1;0;0;;(242.8225, 12212.41)(243.8177, 6.86)(244.8129, 3410.7)(245.8101, 0.0);242.822;0;-48.363;-48.363;0;2;0
1225;249.152;3.153;AZATADINE MALEATE;1;0;0;0;0;0;;(250.16, 8880.27)(251.1626, 2036.86)(252.1621, 833.58)(537.2666, 8426.43)(538.2761, 3988.72)(539.2759, 5408.94)(499.313, 3005.43);250.160;0;-41.026;-41.026;0;1;0
1328;258.164;0.426;AZATADINE MALEATE;0;1;1;0;0;0;;(539.3164, 2380.77)(540.3162, 637.47)(259.1711, 36911.84)(260.1662, 2052.96)(555.2894, 5272.27)(556.291, 1351.51)(557.287, 626.6)(517.3341, 17682.04)(518.3367, 4386.18)(519.3388, 831.62);259.171;0;-32.015;-32.015;0;1;1
1607;280.194;3.161;AZATADINE MALEATE;1;0;0;0;0;0;;(281.2012, 8042.1)(282.2045, 1702.48);281.201;0;-9.984;-9.985;0;1;4
1784;294.210;3.172;AZATADINE MALEATE;1;0;0;0;0;0;;(295.2163, 11500.11)(296.2189, 3130.32);295.216;0;4.032;4.031;0;1;0
1971;308.185;2.510;AZATADINE MALEATE;1;0;0;0;0;0;;(309.1928, 6526.81)(310.1978, 2200.67);309.193;0;18.007;18.007;0;1;0
1972;308.189;2.498;AZATADINE MALEATE;1;0;0;0;0;0;;(309.1967, 9790.17)(310.2019, 3011.83);309.197;0;18.011;18.011;0;1;0
1997;310.201;2.534;AZATADINE MALEATE;1;0;0;0;0;0;;(311.206, 13665.97)(312.2102, 3649.97);311.206;0;20.023;20.023;0;1;0
1998;310.204;2.459;AZATADINE MALEATE;1;0;0;0;0;0;;(311.2116, 10939.78)(312.2124, 3197.5);311.212;0;20.026;20.026;0;1;4
3193;387.205;0.763;AZATADINE MALEATE;0;1;0;0;0;0;;(410.1981, 4458.03)(388.2117, 27499.61)(389.2104, 8706.22)(390.1993, 5372.76);388.212;0;97.027;97.027;0;1;1
4512;495.860;2.322;AZATADINE MALEATE;0;1;1;1;0;0;;(496.8675, 8245.76)(497.8702, 4546.88)(498.8705, 1263.22);496.868;0;205.682;205.682;0;1;0
4630;509.940;0.360;AZATADINE MALEATE;0;1;1;1;0;0;;(510.9478, 31891.22)(511.9501, 4025.16);510.948;0;219.762;219.762;0;1;0
5094;574.688;4.299;AZATADINE MALEATE;0;0;1;1;0;0;;(597.6819, 841.53)(575.6954, 14100.1);575.695;0;284.510;284.510;0;1;0
5461;637.349;3.863;AZATADINE MALEATE;0;1;1;0;0;0;;(638.3563, 11971.56)(639.3633, 5164.8)(640.3558, 4003.05);638.356;0;347.171;347.171;0;1;0
6147;924.965;2.711;AZATADINE MALEATE;0;0;1;1;0;0;;(925.9727, 37560.33)(926.9748, 24545.9)(927.9716, 4919.28)(928.9713, 346.98);925.973;0;634.787;634.787;0;1;0
283;156.094;4.396;BAMBUTEROL;0;1;1;0;0;0;;(335.1762, 739.83)(157.1016, 9839.71)(158.101, 1706.4)(351.1553, 5515.28)(352.1606, 1072.19)(313.2, 9543.18)(314.1948, 3898.94);157.102;0;-211.117;-211.117;0;1;0
399;171.199;2.430;BAMBUTEROL;1;0;0;0;0;0;;(172.2061, 11466.61)(173.2096, 1529.9);172.206;0;-196.012;-196.012;0;1;1
957;226.107;0.348;BAMBUTEROL;0;1;1;0;0;0;;(249.0952, 708.53)(227.1144, 5924.82)(228.1225, 1705.1)(229.1189, 917.25);227.114;0;-141.103;-141.103;0;1;1
962;227.138;0.468;BAMBUTEROL;0;1;1;0;0;0;;(228.1453, 10442.72)(493.2421, 843.42)(494.2416, 551.98)(495.2252, 793.23)(266.0988, 801.83);228.145;0;-140.073;-140.073;0;2;1
1190;246.122;0.995;BAMBUTEROL;0;1;1;0;0;0;;(269.113, 3357.37)(270.1107, 1651.17)(515.2413, 905.18)(247.1291, 87676.41)(248.1359, 11855.04)(249.1275, 14980.76)(493.2488, 3949.3);247.129;0;-121.089;-121.089;0;1;1
1509;274.119;0.711;BAMBUTEROL;1;0;0;0;0;0;;(297.1085, 14246.88)(298.1113, 484.48)(275.1234, 3815.36);297.108;0;-93.092;-93.092;0;1;2
1569;278.127;3.302;BAMBUTEROL;1;0;0;0;0;0;;(279.1348, 7659.84)(280.1386, 1398.19)(281.1372, 708.51);279.135;0;-89.084;-89.084;0;1;0
1749;291.793;0.414;BAMBUTEROL;0;0;0;1;0;0;;(292.7995, 18962.89)(293.7985, 8.2)(294.7976, 4029.41)(330.7556, 1357.5);292.800;0;-75.418;-75.418;0;1;1
1766;293.130;2.343;BAMBUTEROL;0;0;0;0;1;1;;(294.1378, 240402.81)(295.1409, 35051.3)(296.1425, 3615.11);294.138;0;-74.080;-74.080;0;1;0
1767;293.138;2.322;BAMBUTEROL;0;0;0;0;1;1;;(294.1454, 62825.06)(295.1485, 9199.75)(296.1503, 1015.76);294.145;0;-74.073;-74.073;0;1;0
2007;311.148;2.324;BAMBUTEROL;0;0;0;0;1;1;;(334.1408, 1145.43)(312.1555, 12321.28)(313.1588, 2344.3);312.156;0;-56.062;-56.062;0;1;0
2320;328.694;1.543;BAMBUTEROL;0;1;1;1;0;0;;(351.6852, 18162.33)(680.3688, 2817.26)(681.3671, 1332.08)(682.3629, 1470.2)(329.7011, 11878.73)(658.3889, 2003.1);351.685;0;-38.516;-38.516;0;1;0
2372;331.174;1.232;BAMBUTEROL;0;1;1;0;0;0;;(332.1814, 21249.13)(333.1797, 10446.53)(334.1673, 27035.17)(335.1796, 6932.08)(701.3086, 1062.0);334.167;0;-36.037;-36.037;0;1;1
2612;346.184;0.618;BAMBUTEROL;0;1;1;0;0;0;;(369.1618, 2673.58)(347.1911, 882027.25)(348.195, 122028.83)(349.1959, 15764.44)(350.1936, 1872.37)(385.1361, 5306.17)(386.1377, 1219.91)(387.1391, 618.77)(693.3765, 1676.37)(694.3792, 553.72);347.191;0;-21.027;-21.027;0;1;0
2862;363.871;1.610;BAMBUTEROL;0;1;0;1;0;0;;(364.8748, 3087.8)(365.8711, 1416.08)(728.7513, 11065.99)(729.7538, 1804.92);728.751;0;-3.340;-3.340;0;1;1
2864;364.088;0.508;BAMBUTEROL;1;0;0;0;0;0;;(387.07, 1268.78)(365.0953, 798989.56)(366.0991, 93441.26)(367.1105, 19433.57)(368.1147, 2690.84);365.095;0;-3.123;-3.123;0;1;0
