Functional group;2.016 p-value;2.016 FDR;2.016 stat;-42.01 p-value;-42.01 FDR;-42.01 stat;-2.015 p-value;-2.015 FDR;-2.015 stat;-15.995 p-value;-15.995 FDR;-15.995 stat;15.995 p-value;15.995 FDR;15.995 stat;-84.021 p-value;-84.021 FDR;-84.021 stat;18.011 p-value;18.011 FDR;18.011 stat;56.026 p-value;56.026 FDR;56.026 stat;-76.016 p-value;-76.016 FDR;-76.016 stat;-62 p-value;-62 FDR;-62 stat;-60.021 p-value;-60.021 FDR;-60.021 stat;-46.005 p-value;-46.005 FDR;-46.005 stat;31.99 p-value;31.99 FDR;31.99 stat;42.011 p-value;42.011 FDR;42.011 stat;83.952 p-value;83.952 FDR;83.952 stat;97.052 p-value;97.052 FDR;97.052 stat;119.004 p-value;119.004 FDR;119.004 stat;-86.073 p-value;-86.073 FDR;-86.073 stat;-43.99 p-value;-43.99 FDR;-43.99 stat;-39.994 p-value;-39.994 FDR;-39.994 stat;-18.011 p-value;-18.011 FDR;-18.011 stat;13.979 p-value;13.979 FDR;13.979 stat;26.015 p-value;26.015 FDR;26.015 stat;31.972 p-value;31.972 FDR;31.972 stat;42.977 p-value;42.977 FDR;42.977 stat;99.068 p-value;99.068 FDR;99.068 stat;128.094 p-value;128.094 FDR;128.094 stat;137.015 p-value;137.015 FDR;137.015 stat;-216.127 p-value;-216.127 FDR;-216.127 stat;-194.058 p-value;-194.058 FDR;-194.058 stat;-178.064 p-value;-178.064 FDR;-178.064 stat;-132.042 p-value;-132.042 FDR;-132.042 stat;-86.037 p-value;-86.037 FDR;-86.037 stat;-78.046 p-value;-78.046 FDR;-78.046 stat;-75.136 p-value;-75.136 FDR;-75.136 stat;-72.028 p-value;-72.028 FDR;-72.028 stat;-59.164 p-value;-59.164 FDR;-59.164 stat;-52.016 p-value;-52.016 FDR;-52.016 stat;-47.001 p-value;-47.001 FDR;-47.001 stat;-42.055 p-value;-42.055 FDR;-42.055 stat;-38.016 p-value;-38.016 FDR;-38.016 stat;-34.005 p-value;-34.005 FDR;-34.005 stat;-31.006 p-value;-31.006 FDR;-31.006 stat;-24.996 p-value;-24.996 FDR;-24.996 stat;-23.999 p-value;-23.999 FDR;-23.999 stat;-18.07 p-value;-18.07 FDR;-18.07 stat;-14.016 p-value;-14.016 FDR;-14.016 stat;-13.98 p-value;-13.98 FDR;-13.98 stat;-11.052 p-value;-11.052 FDR;-11.052 stat;-4.031 p-value;-4.031 FDR;-4.031 stat;3 p-value;3 FDR;3 stat;4.031 p-value;4.031 FDR;4.031 stat;9.948 p-value;9.948 FDR;9.948 stat;14.015 p-value;14.015 FDR;14.015 stat;17.027 p-value;17.027 FDR;17.027 stat;18.007 p-value;18.007 FDR;18.007 stat;21.982 p-value;21.982 FDR;21.982 stat;30.011 p-value;30.011 FDR;30.011 stat;38.095 p-value;38.095 FDR;38.095 stat;39.992 p-value;39.992 FDR;39.992 stat;40.032 p-value;40.032 FDR;40.032 stat;42.965 p-value;42.965 FDR;42.965 stat;54.09 p-value;54.09 FDR;54.09 stat;58.005 p-value;58.005 FDR;58.005 stat;70.005 p-value;70.005 FDR;70.005 stat;70.04 p-value;70.04 FDR;70.04 stat;93.973 p-value;93.973 FDR;93.973 stat;103 p-value;103 FDR;103 stat;105.025 p-value;105.025 FDR;105.025 stat;124.979 p-value;124.979 FDR;124.979 stat;131.094 p-value;131.094 FDR;131.094 stat;134.999 p-value;134.999 FDR;134.999 stat;140.952 p-value;140.952 FDR;140.952 stat;147.067 p-value;147.067 FDR;147.067 stat;162.053 p-value;162.053 FDR;162.053 stat
Number_of_aliphatic_carboxylic_acids;1.0000;1.0000;(0,271,24,9);1.0000;1.0000;(0,271,24,10);0.1845;1.0000;(2,271,24,9);1.0000;1.0000;(0,271,24,7);0.4815;1.0000;(1,271,24,7);0.3733;1.0000;(1,271,24,5);1.0000;1.0000;(0,271,24,6);1.0000;1.0000;(0,271,24,6);1.0000;1.0000;(0,271,24,3);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,3);0.0214;0.8698;(2,271,24,3);1.0000;1.0000;(0,271,24,4);1.0000;1.0000;(0,271,24,4);1.0000;1.0000;(0,271,24,4);1.0000;1.0000;(0,271,24,4);1.0000;1.0000;(0,271,24,4);1.0000;1.0000;(0,271,24,3);0.0214;0.8698;(2,271,24,3);1.0000;1.0000;(0,271,24,3);1.0000;1.0000;(0,271,24,3);0.2437;1.0000;(1,271,24,3);1.0000;1.0000;(0,271,24,3);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,3);1.0000;1.0000;(0,271,24,3);1.0000;1.0000;(0,271,24,3);1.0000;1.0000;(0,271,24,3);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,1);0.0886;1.0000;(1,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);0.0886;1.0000;(1,271,24,1);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);0.1696;1.0000;(1,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,1);1.0000;1.0000;(0,271,24,2);0.1696;1.0000;(1,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2);1.0000;1.0000;(0,271,24,2)
Number_of_aliphatic_hydroxyl_groups;0.4957;1.0000;(3,271,77,9);0.8295;1.0000;(2,271,77,10);0.2319;1.0000;(4,271,77,9);1.0000;1.0000;(0,271,77,7);0.1035;1.0000;(4,271,77,7);0.8148;1.0000;(1,271,77,5);0.5467;1.0000;(2,271,77,6);0.0078;0.2190;(5,271,77,6);1.0000;1.0000;(0,271,77,3);1.0000;1.0000;(0,271,77,2);0.1953;1.0000;(2,271,77,3);1.0000;1.0000;(0,271,77,3);0.0707;1.0000;(3,271,77,4);0.0707;1.0000;(3,271,77,4);0.3200;1.0000;(2,271,77,4);0.7397;1.0000;(1,271,77,4);1.0000;1.0000;(0,271,77,4);0.0223;0.6244;(3,271,77,3);1.0000;1.0000;(0,271,77,3);0.6348;1.0000;(1,271,77,3);0.1953;1.0000;(2,271,77,3);0.1953;1.0000;(2,271,77,3);0.6348;1.0000;(1,271,77,3);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,3);0.6348;1.0000;(1,271,77,3);1.0000;1.0000;(0,271,77,3);0.1953;1.0000;(2,271,77,3);0.2841;1.0000;(1,271,77,1);1.0000;1.0000;(0,271,77,2);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,2);1.0000;1.0000;(0,271,77,2);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,2);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,2);0.4883;1.0000;(1,271,77,2);1.0000;1.0000;(0,271,77,2);1.0000;1.0000;(0,271,77,2);0.4883;1.0000;(1,271,77,2);0.0800;1.0000;(2,271,77,2);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,2);0.2841;1.0000;(1,271,77,1);0.4883;1.0000;(1,271,77,2);0.0800;1.0000;(2,271,77,2);0.4883;1.0000;(1,271,77,2);0.0800;1.0000;(2,271,77,2);1.0000;1.0000;(0,271,77,2);0.4883;1.0000;(1,271,77,2);0.4883;1.0000;(1,271,77,2);1.0000;1.0000;(0,271,77,2);0.4883;1.0000;(1,271,77,2);0.2841;1.0000;(1,271,77,1);0.0800;1.0000;(2,271,77,2);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,2);0.2841;1.0000;(1,271,77,1);0.0800;1.0000;(2,271,77,2);1.0000;1.0000;(0,271,77,1);0.4883;1.0000;(1,271,77,2);0.0800;1.0000;(2,271,77,2);1.0000;1.0000;(0,271,77,2);1.0000;1.0000;(0,271,77,1);1.0000;1.0000;(0,271,77,2);1.0000;1.0000;(0,271,77,2);0.0800;1.0000;(2,271,77,2);1.0000;1.0000;(0,271,77,2);0.4883;1.0000;(1,271,77,2);0.4883;1.0000;(1,271,77,2)
Number_of_aliphatic_hydroxyl_groups_excluding_tert_OH;0.2777;1.0000;(3,271,56,9);0.6486;1.0000;(2,271,56,10);0.2777;1.0000;(3,271,56,9);1.0000;1.0000;(0,271,56,7);0.1571;1.0000;(3,271,56,7);0.6887;1.0000;(1,271,56,5);0.7543;1.0000;(1,271,56,6);0.0016;0.1378;(5,271,56,6);1.0000;1.0000;(0,271,56,3);1.0000;1.0000;(0,271,56,2);0.1094;1.0000;(2,271,56,3);1.0000;1.0000;(0,271,56,3);0.0288;1.0000;(3,271,56,4);0.0288;1.0000;(3,271,56,4);0.1900;1.0000;(2,271,56,4);1.0000;1.0000;(0,271,56,4);1.0000;1.0000;(0,271,56,4);0.0085;0.3549;(3,271,56,3);1.0000;1.0000;(0,271,56,3);0.5021;1.0000;(1,271,56,3);0.5021;1.0000;(1,271,56,3);0.1094;1.0000;(2,271,56,3);0.5021;1.0000;(1,271,56,3);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,3);1.0000;1.0000;(0,271,56,3);1.0000;1.0000;(0,271,56,3);0.5021;1.0000;(1,271,56,3);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,2);0.3712;1.0000;(1,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);0.0421;1.0000;(2,271,56,2);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,2);0.2066;1.0000;(1,271,56,1);0.3712;1.0000;(1,271,56,2);0.3712;1.0000;(1,271,56,2);1.0000;1.0000;(0,271,56,2);0.3712;1.0000;(1,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,1);0.0421;1.0000;(2,271,56,2);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,1);0.0421;1.0000;(2,271,56,2);1.0000;1.0000;(0,271,56,1);0.3712;1.0000;(1,271,56,2);0.0421;0.8840;(2,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,1);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);0.0421;0.8840;(2,271,56,2);1.0000;1.0000;(0,271,56,2);1.0000;1.0000;(0,271,56,2);0.3712;1.0000;(1,271,56,2)
Number_of_N_functional_groups_attached_to_aromatics;1.0000;1.0000;(0,271,17,9);0.4828;1.0000;(1,271,17,10);1.0000;1.0000;(0,271,17,9);1.0000;1.0000;(0,271,17,7);1.0000;1.0000;(0,271,17,7);0.2785;1.0000;(1,271,17,5);1.0000;1.0000;(0,271,17,6);1.0000;1.0000;(0,271,17,6);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,4);1.0000;1.0000;(0,271,17,4);1.0000;1.0000;(0,271,17,4);1.0000;1.0000;(0,271,17,4);1.0000;1.0000;(0,271,17,4);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,3);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);0.1217;1.0000;(1,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);0.1217;1.0000;(1,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,1);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2);1.0000;1.0000;(0,271,17,2)
Number_of_Aromatic_carboxylic_acide;1.0000;1.0000;(0,271,5,9);1.0000;1.0000;(0,271,5,10);0.1565;1.0000;(1,271,5,9);1.0000;1.0000;(0,271,5,7);1.0000;1.0000;(0,271,5,7);1.0000;1.0000;(0,271,5,5);1.0000;1.0000;(0,271,5,6);1.0000;1.0000;(0,271,5,6);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,4);1.0000;1.0000;(0,271,5,4);0.0722;1.0000;(1,271,5,4);1.0000;1.0000;(0,271,5,4);0.0722;1.0000;(1,271,5,4);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,3);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,1);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2);1.0000;1.0000;(0,271,5,2)
Number_of_aromatic_nitrogens;1.0000;1.0000;(0,271,103,9);0.9436;1.0000;(2,271,103,10);0.0753;1.0000;(6,271,103,9);0.5372;1.0000;(3,271,103,7);0.5372;1.0000;(3,271,103,7);0.2821;1.0000;(3,271,103,5);0.9452;1.0000;(1,271,103,6);0.0310;0.5091;(5,271,103,6);1.0000;1.0000;(0,271,103,3);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,3);0.7634;1.0000;(1,271,103,3);1.0000;1.0000;(0,271,103,4);0.0201;1.0000;(4,271,103,4);0.8543;1.0000;(1,271,103,4);1.0000;1.0000;(0,271,103,4);0.8543;1.0000;(1,271,103,4);1.0000;1.0000;(0,271,103,3);0.7634;1.0000;(1,271,103,3);1.0000;1.0000;(0,271,103,3);0.7634;1.0000;(1,271,103,3);0.7634;1.0000;(1,271,103,3);1.0000;1.0000;(0,271,103,3);1.0000;1.0000;(0,271,103,1);0.7634;1.0000;(1,271,103,3);1.0000;1.0000;(0,271,103,3);1.0000;1.0000;(0,271,103,3);0.7634;1.0000;(1,271,103,3);0.3801;1.0000;(1,271,103,1);1.0000;1.0000;(0,271,103,2);0.3801;1.0000;(1,271,103,1);1.0000;1.0000;(0,271,103,1);1.0000;1.0000;(0,271,103,1);0.6166;1.0000;(1,271,103,2);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,1);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,1);0.3801;1.0000;(1,271,103,1);0.6166;1.0000;(1,271,103,2);0.6166;1.0000;(1,271,103,2);1.0000;1.0000;(0,271,103,2);0.6166;1.0000;(1,271,103,2);0.1436;1.0000;(2,271,103,2);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,1);0.3801;1.0000;(1,271,103,1);1.0000;1.0000;(0,271,103,2);0.3801;1.0000;(1,271,103,1);1.0000;1.0000;(0,271,103,2);0.1436;1.0000;(2,271,103,2);0.6166;1.0000;(1,271,103,2);0.1436;1.0000;(2,271,103,2);0.6166;1.0000;(1,271,103,2);0.6166;1.0000;(1,271,103,2);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,2);0.1436;1.0000;(2,271,103,2);0.3801;1.0000;(1,271,103,1);1.0000;1.0000;(0,271,103,2);0.3801;1.0000;(1,271,103,1);0.6166;1.0000;(1,271,103,2);0.3801;1.0000;(1,271,103,1);1.0000;1.0000;(0,271,103,2);0.3801;1.0000;(1,271,103,1);0.6166;1.0000;(1,271,103,2);1.0000;1.0000;(0,271,103,2);0.6166;1.0000;(1,271,103,2);1.0000;1.0000;(0,271,103,1);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,2);1.0000;1.0000;(0,271,103,2)
Number_of_aromatic_amines;1.0000;1.0000;(0,271,29,9);1.0000;1.0000;(0,271,29,10);0.6447;1.0000;(1,271,29,9);0.1656;1.0000;(2,271,29,7);0.5514;1.0000;(1,271,29,7);1.0000;1.0000;(0,271,29,5);1.0000;1.0000;(0,271,29,6);0.4963;1.0000;(1,271,29,6);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,4);1.0000;1.0000;(0,271,29,4);0.3658;1.0000;(1,271,29,4);1.0000;1.0000;(0,271,29,4);1.0000;1.0000;(0,271,29,4);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,3);0.2889;1.0000;(1,271,29,3);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,3);1.0000;1.0000;(0,271,29,3);0.2889;1.0000;(1,271,29,3);0.1070;1.0000;(1,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,1);0.2029;1.0000;(1,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,1);0.2029;1.0000;(1,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);0.0111;0.4661;(2,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);0.2029;1.0000;(1,271,29,2);1.0000;1.0000;(0,271,29,1);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2);1.0000;1.0000;(0,271,29,2)
Number_of_aromatic_hydroxyl_groups;1.0000;1.0000;(0,271,9,9);1.0000;1.0000;(0,271,9,10);1.0000;1.0000;(0,271,9,9);1.0000;1.0000;(0,271,9,7);1.0000;1.0000;(0,271,9,7);1.0000;1.0000;(0,271,9,5);0.0138;0.2861;(2,271,9,6);1.0000;1.0000;(0,271,9,6);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,4);1.0000;1.0000;(0,271,9,4);1.0000;1.0000;(0,271,9,4);1.0000;1.0000;(0,271,9,4);1.0000;1.0000;(0,271,9,4);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,3);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);0.0654;0.9161;(1,271,9,2);1.0000;1.0000;(0,271,9,1);0.0654;0.9161;(1,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);0.0654;1.0000;(1,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,1);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2);1.0000;1.0000;(0,271,9,2)
