# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.S083_2017_Jun_06_19_20_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Jun 06 19:27:02 EDT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MZ002H-Pool01-P008B3-S083-T00(raw),MZ002H-Pool01-P008B3-S083-T12(raw),MZ002H-Pool02-P008B3-S083-T00(raw),MZ002H-Pool02-P008B3-S083-T12(raw),MZ002H-Pool03-P008B3-S083-T00(raw),MZ002H-Pool03-P008B3-S083-T12(raw),MZ002H-Pool04-P008B3-S083-T00(raw),MZ002H-Pool04-P008B3-S083-T12(raw),MZ002H-Pool05-P008B3-S083-T00(raw),MZ002H-Pool05-P008B3-S083-T12(raw),MZ002H-Pool06-P008B3-S083-T00(raw),MZ002H-Pool06-P008B3-S083-T12(raw),MZ002H-Pool07-P008B3-S083-T00(raw),MZ002H-Pool07-P008B3-S083-T12(raw),MZ002H-Pool08-P008B3-S083-T00(raw),MZ002H-Pool08-P008B3-S083-T12(raw),MZ002H-Pool09-P008B3-S083-T00(raw),MZ002H-Pool09-P008B3-S083-T12(raw),MZ002H-Pool10-P008B3-S083-T00(raw),MZ002H-Pool10-P008B3-S083-T12(raw),MZ002H-Pool11-P008B3-S083-T00(raw),MZ002H-Pool11-P008B3-S083-T12(raw),MZ002H-Pool12-P008B3-S083-T00(raw),MZ002H-Pool12-P008B3-S083-T12(raw),MZ002H-Pool13-P008B3-S083-T00(raw),MZ002H-Pool13-P008B3-S083-T12(raw),MZ002H-Pool14-P008B3-S083-T00(raw),MZ002H-Pool14-P008B3-S083-T12(raw),MZ002H-Pool15-P008B3-S083-T00(raw),MZ002H-Pool15-P008B3-S083-T12(raw),MZ002H-Pool16-P008B3-S083-T00(raw),MZ002H-Pool16-P008B3-S083-T12(raw),MZ002H-Pool17-P008B3-S083-T00(raw),MZ002H-Pool17-P008B3-S083-T12(raw),MZ002H-Pool18-P008B3-S083-T00(raw),MZ002H-Pool18-P008B3-S083-T12(raw),MZ002H-Pool19-P008B3-S083-T00(raw),MZ002H-Pool19-P008B3-S083-T12(raw),MZ002H-Pool20-P008B3-S083-T00(raw),MZ002H-Pool20-P008B3-S083-T12(raw),MZ002H-Pool21-P008B3-S083-T00(raw),MZ002H-Pool21-P008B3-S083-T12(raw),MZ002H-Pool97-P008B3-S083-T00(raw),MZ002H-Pool97-P008B3-S083-T12(raw),MZ002H-Pool98-P008B3-S083-T00(raw),MZ002H-Pool98-P008B3-S083-T12(raw),MZ002H-Pool99-P008B3-S083-T00(raw),MZ002H-Pool99-P008B3-S083-T12(raw),Compound Name,Mass,Retention Time,Frequency,Ionization mode,CompositeSpectrum
285.1441@0.81824434,91310,111264,130779,115478,132736,115644,128031,120662,111032,107957,117698,110099,123452,106546,114269,109708,144492,118296,125616,114201,121986,123484,118637,113897,112184,115495,108349,1,128391,119890,123888,108579,110301,102902,123544,109102,117343,116198,110572,1,121653,111708,113956,106988,107126,1,116060,110419,285.1441@0.81824434,285.1441,0.81824434,45,+,"(286.1516, 31449.35)(287.1543, 4720.05)(288.1605, 3874.28)"
255.9526@0.839,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30818,1,1,1,1,1,32700,1,1,1,1,1,1,1,1,1,1,1,1,1,255.9526@0.839,255.9526,0.839,2,+,"(256.9599, 5202.55)(257.9621, 537.73)(258.9587, 1288.21)"
139.0627@0.858,1,1,1,1,20234,1,17836,18463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21319,1,1,1,1,1,1,1,1,15648,1,1,1,1,1,1,1,1,1,1,139.0627@0.858,139.0627,0.858,5,+,"(140.0699, 5698.01)(141.0672, 1414.82)"
230.0906@0.8369794,906783,1047003,985523,1046736,1181974,1145094,1072473,1135199,1039919,1022649,1007284,1032636,1069790,1082600,992160,1127620,1055886,1072730,1016163,1027345,1101557,1107343,1078919,1059371,1002496,1068562,974325,1025562,1140615,1124976,1089170,1084855,1010600,960718,974038,1006838,1050719,1065260,1029456,1085909,986864,1030950,998724,1128985,937659,1015000,1043805,1121390,230.0906@0.8369794,230.0906,0.8369794,48,+,"(253.08, 8376.81)(254.0841, 965.25)(255.0888, 365.78)(231.0978, 344600.84)(232.1008, 31909.63)(233.1061, 3148.31)(269.0525, 8650.92)(270.0569, 1095.83)(271.051, 2336.89)(499.148, 447.01)(461.1873, 13912.04)(462.1904, 3115.54)"
212.0798@0.83868766,76173,97073,89400,100974,107365,95959,97399,58915,96318,90821,92926,95623,97871,91466,90749,95182,99539,94494,93992,95923,96891,96813,91863,88167,89659,92165,86200,89221,97256,96741,96446,92981,88655,83143,85363,89403,94360,94651,83753,92353,85699,96038,88531,94807,84543,96230,91919,96027,212.0798@0.83868766,212.0798,0.83868766,48,+,"(213.0869, 31756.15)(214.0901, 3398.75)(251.045, 786.78)(425.1676, 683.08)"
416.2383@0.81775004,260125,387492,421493,419475,457388,388227,462555,394339,396603,353663,399912,352221,413298,360196,370618,373242,475749,366515,406931,352340,406066,383057,391104,358228,382168,352522,348470,346787,444787,370516,411442,356915,353907,307264,360944,337282,406183,378461,370603,387480,363776,385632,388651,388206,362186,376558,396221,406658,416.2383@0.81775004,416.2383,0.81775004,48,+,"(417.2455, 74828.09)(418.2484, 13505.42)(419.249, 2421.06)(420.2448, 269.08)"
174.1104@0.8125,1,1,54499,1,94461,84453,1,1,1,1,1,116761,1,80768,1,1,1,1,1,1,1,268679,1,1,1,1,1,1,90099,1,1,1,1,1,1,1,1,1,1,1,1,1,107119,1,1,1,1,1,174.1104@0.8125,174.1104,0.8125,8,+,"(197.102, 628.89)(175.1183, 11584.24)(176.1198, 1896.31)(177.1183, 7413.77)(178.1265, 387.45)(179.1166, 445.92)"
184.0847@0.8374999,64880,72618,72144,73017,78085,73937,74684,73052,68447,68141,72242,71568,71572,69299,69273,70045,76148,71063,75940,71194,76600,71026,77247,69860,71368,67377,72979,68773,78971,68216,73984,69223,70632,65921,71232,66812,74749,71819,72484,67682,72219,69100,70801,71791,68556,70324,69572,70515,184.0847@0.8374999,184.0847,0.8374999,48,+,"(207.0745, 557.65)(185.092, 30006.89)(186.0947, 2787.99)"
392.1933@0.8337369,133467,1,1,1,104280,101437,112487,1,157513,144359,1,1,89659,1,1,1,1,156102,1,1,94732,1,1,1,155781,144661,149104,1,104638,1,74686,1,1,150246,1,1,145107,1,1,1,1,1,1,1,152818,167944,96013,1,392.1933@0.8337369,392.1933,0.8337369,19,+,"(393.1974, 3792.07)(394.2046, 1296.33)(395.2023, 16920.78)(396.2043, 3143.08)"
376.1956@0.9195279,1,23389,183122,1,25910,1,1,30937,23946,1,1,130767,1,102818,144130,134429,31855,161183,25757,171585,1,87630,1,128728,1,231983,1,170608,34007,139767,115820,92303,131258,1,217154,186554,166268,140652,147436,159347,148325,24516,54158,103295,23004,144205,149601,142037,376.1956@0.9195279,376.1956,0.9195279,36,+,"(377.2026, 35555.0)(378.2046, 7533.3)(379.2071, 7607.83)(791.3601, 433.25)"
388.1963@0.83831245,293256,449294,425618,438110,417051,370274,393444,406520,348027,362221,384102,386910,355402,339506,330870,373515,475563,390078,403409,377216,360896,368984,416784,356668,377972,386148,361415,353144,381640,385196,444336,391012,381427,392978,377555,384829,381211,327182,376255,363528,420377,448998,378796,423664,357653,365007,370198,395532,388.1963@0.83831245,388.1963,0.83831245,48,+,"(389.2039, 116921.52)(390.2059, 18568.74)(391.2082, 9170.08)(392.2071, 1434.19)(427.1571, 992.93)(428.165, 514.33)"
486.1706@0.85955554,1,1,1,1,1,1,1,28674,1,1,1,1,32246,1,28666,1,41914,1,1,1,1,1,28538,1,33104,1,1,1,34264,1,33705,1,1,1,1,1,1,1,1,1,1,1,29036,1,1,1,1,1,486.1706@0.85955554,486.1706,0.85955554,9,+,"(487.1776, 7591.1)(488.1802, 2529.63)(489.1822, 8673.5)"
200.1159@0.91768426,1,1,33861,1,1,50216,44985,36827,1,1,1,1,1,51969,1,47368,1,1,36248,1,1,1,1,1,1,1,1,1,29719,49225,32389,1,1,1,32501,37564,27781,1,26779,34784,1,1,29884,36328,1,1,29630,34256,200.1159@0.91768426,200.1159,0.91768426,19,+,"(201.1232, 17979.96)(202.126, 1701.84)(401.2359, 3372.82)"
264.0777@0.8583541,45637,47738,29118,46584,32163,43890,44763,40264,44389,28622,49168,42919,45623,43488,40048,39259,50843,43655,44729,41079,46957,42682,43629,42341,42361,40088,43260,28023,30362,39235,45177,42168,45629,27405,42626,26883,32217,27238,41853,41010,45842,44984,38393,43100,44765,46093,38577,29689,264.0777@0.8583541,264.0777,0.8583541,48,+,"(287.0671, 549.04)(265.0851, 10384.1)(266.0875, 1657.52)(267.0752, 3898.28)(268.079, 680.42)"
232.1429@0.8572129,722166,872885,1,849043,799314,827671,733293,758652,815105,836138,820670,802701,693024,734068,685470,754221,858371,853958,802412,750666,782035,786353,786347,711968,816581,817454,762025,789801,833384,729405,773561,726136,804215,777145,803703,786398,692678,697814,714794,721980,770851,848564,675455,738772,738084,772559,736689,787198,232.1429@0.8572129,232.1429,0.8572129,47,+,"(233.1499, 352073.38)(234.1525, 33275.14)(235.1512, 5619.22)(271.1063, 2026.61)"
163.0491@0.87736374,1,1,1,1,35027,1,38599,1,1,1,1,1,1,1,35968,1,40101,1,1,1,33782,1,1,1,1,1,1,1,43449,1,1,1,1,1,1,1,34249,1,29500,31433,1,1,1,33829,1,1,1,34187,163.0491@0.87736374,163.0491,0.87736374,11,+,"(164.0566, 8923.02)(165.0554, 5959.72)(166.0598, 886.29)(365.0579, 543.15)"
525.2541@0.8286486,1,47737,49788,52926,61393,50626,55860,48611,47491,1,50229,46700,51701,1,50601,43614,56509,46012,49217,45438,1,1,1,44418,47495,46209,45406,1,55019,50211,57536,46873,1,1,1,33342,52400,47111,47631,1,46467,49696,46751,44723,41378,44415,53037,45060,525.2541@0.8286486,525.2541,0.8286486,37,+,"(526.261, 8378.68)(527.2626, 2538.96)(528.2668, 738.06)(564.2151, 453.06)"
342.1906@0.854851,1026790,1343162,1383431,1373202,1294251,1182582,1255310,1246837,1275843,1295155,1360320,1333499,1179752,1118696,1148545,1261148,1498726,1339125,1382069,1272809,1212009,1261705,1205014,1171656,1239063,1314475,1234026,1198517,1270145,1298523,1204275,1219904,1280642,1242425,1266375,1216618,1174336,1221718,1110375,1017172,1286225,1412251,1113876,1011835,1234590,1301767,1173765,1,342.1906@0.854851,342.1906,0.854851,47,+,"(343.1979, 145736.12)(344.2003, 24192.51)(345.201, 5072.48)(346.2057, 534.01)(381.1532, 4662.49)(685.3865, 455.75)"
420.1854@0.8574166,88047,133786,131730,144860,134114,131717,125368,124851,123917,119723,122133,128723,121045,116785,114228,121726,145162,130425,124355,137608,126754,128498,119699,122037,123519,143325,110854,113742,126977,122517,124648,118923,118666,132926,138521,129112,126668,118860,115148,121367,139406,136006,110913,124580,107395,121929,114519,128061,420.1854@0.8574166,420.1854,0.8574166,48,+,"(443.1698, 531.86)(421.1926, 47980.29)(422.1952, 9544.92)"
303.1443@0.86813337,55246,1,1,54996,52835,50423,49449,50566,59566,53114,1,1,41776,40671,46964,1,66941,57064,52431,1,1,40348,50647,45640,51037,1,1,1,50722,51741,1,1,43918,1,50204,43991,89583,52617,42724,62592,52137,1,1,1,95887,1,1,66462,303.1443@0.86813337,303.1443,0.86813337,30,+,"(326.1334, 3008.36)(304.1527, 13784.53)(305.1581, 3345.64)(306.1496, 21613.35)(342.1049, 457.8)"
258.0855@0.8619167,543074,670968,627764,684226,673158,672388,605273,620799,640020,657970,617212,660278,590652,596716,556354,616380,713192,683382,647270,652433,655114,640868,619820,601470,634895,665171,620408,625205,645879,622879,642808,612000,622205,589229,600552,609524,581018,590699,560330,602295,616933,661203,548251,621634,602835,622721,579525,613573,258.0855@0.8619167,258.0855,0.8619167,48,+,"(281.0742, 4517.19)(282.074, 687.19)(283.0832, 521.97)(259.0927, 213927.75)(260.0957, 21061.3)(261.0971, 3244.27)(262.1028, 501.75)(297.0474, 8379.91)(298.0493, 1186.35)(299.049, 930.37)(555.1301, 532.43)(517.1775, 4569.71)(518.1823, 1381.71)(519.1838, 399.26)"
289.1638@0.8713783,66790,1,1,78198,81797,99141,91055,74260,76515,1,73467,79696,72652,73899,102300,76188,80665,74492,1,71560,109332,81901,116484,105010,76229,1,1,73427,99930,80528,79558,80718,74916,73675,1,1,88276,1,100034,120355,73300,1,93908,97216,1,92459,92930,95921,289.1638@0.8713783,289.1638,0.8713783,37,+,"(290.1711, 29276.02)(291.1731, 5549.71)(292.1655, 6718.01)(293.1718, 697.54)(617.2862, 601.66)"
471.2809@0.863946,1,1,1,147873,193814,159366,198727,172163,1,137686,133269,148198,202733,162923,168127,161418,169641,132651,148042,132256,201991,187833,177842,161936,1,1,116646,113296,175270,168355,194344,181640,1,138690,126918,1,196150,151957,149394,174631,148982,132379,174517,163685,1,1,166712,1,471.2809@0.863946,471.2809,0.863946,37,+,"(472.2881, 57416.49)(473.2903, 11619.15)(474.2861, 6459.87)(475.2903, 1205.38)"
240.0749@0.8637874,1,97825,100333,99446,103776,90399,99058,84656,89708,86919,107868,91681,90753,85590,84946,84128,105284,90330,97237,90542,89238,89486,88290,84059,86134,81195,94462,83745,95872,84355,95252,85230,93596,88279,84445,84132,91975,81609,84048,87791,83186,92166,85687,87929,84427,91089,85546,91737,240.0749@0.8637874,240.0749,0.8637874,47,+,"(263.0682, 857.17)(241.0822, 25391.12)(242.0845, 4513.34)(243.0874, 1207.21)(481.1598, 1651.46)(482.1648, 615.68)"
458.1645@0.87832254,1,17010,1,16545,19819,20727,18843,19402,1,1,15962,16227,15869,18929,1,19762,17454,1,16849,1,20292,20262,18311,16768,1,1,1,1,19987,19231,20186,19341,20958,1,1,16750,19728,15757,17198,17982,15351,1,17058,18716,1,1,17293,1,458.1645@0.87832254,458.1645,0.87832254,31,+,"(481.1594, 1872.73)(459.1717, 8389.72)(460.176, 1951.17)(497.1227, 470.77)"
258.1371@0.85977775,914949,1388679,1559135,1551686,324074,1626617,1753448,1581005,1396067,1334104,1435711,1342103,1615697,1502014,1597491,1515171,1666911,1356972,359615,1368994,1632528,1536326,1436384,1444560,1281463,1336836,1,1307191,1680451,1,1711208,1586733,1334627,1237212,1348924,1289450,1532422,1525191,1465120,1501405,1348369,1405576,1460495,1525684,1300774,1,1543086,1572370,258.1371@0.85977775,258.1371,0.85977775,45,+,"(259.1447, 98378.84)(260.1438, 23264.01)(555.2365, 666.74)(556.2305, 597.23)(517.281, 219819.22)(518.2835, 47396.02)(519.2814, 13734.7)(520.2809, 3361.34)(521.2679, 604.78)"
200.0801@0.8750418,809596,779260,736898,776007,761398,787955,684026,691697,802168,824202,770403,775402,646082,695715,653179,672584,764128,833264,781220,738267,752824,717791,741796,667476,782866,799749,778948,769285,785565,705825,753410,685710,789836,772414,753234,765237,646630,667927,684089,637536,784735,756136,651995,724578,801581,753695,709029,694624,200.0801@0.8750418,200.0801,0.8750418,48,+,"(223.0692, 6076.67)(224.0714, 747.23)(225.0579, 459.49)(423.1508, 2100.59)(424.1522, 538.17)(425.1602, 1174.96)(201.0875, 213007.14)(202.0901, 17457.11)(203.0861, 7747.31)(204.0875, 902.56)(439.1262, 709.83)(401.1661, 8249.91)(402.1671, 1979.44)"
202.132@0.87581253,651707,640625,575383,622950,501294,534980,479401,484931,656158,641048,594021,634797,434000,461133,420577,457272,594947,652310,587142,552192,511892,501966,462670,482302,569029,652892,612108,613150,500696,466428,492287,491205,619900,581615,591777,304970,439024,443939,409550,475778,592223,651964,428523,477479,602090,598463,454902,487993,202.132@0.87581253,202.132,0.87581253,48,+,"(203.1395, 207992.4)(204.1422, 17233.2)(205.1436, 2081.21)(206.1509, 101.55)(443.2248, 1423.98)"
629.1503@0.8635678,32119,42861,39702,41305,21781,1,1,20412,44635,38917,42594,38237,21097,22014,1,1,45581,38629,39718,39318,22628,1,21905,21776,39306,39368,41910,37847,22889,1,22088,1,40402,37424,41574,38642,20950,1,20160,19793,39218,41481,1,1,39080,37434,21733,1,629.1503@0.8635678,629.1503,0.8635678,37,+,"(630.1577, 9541.03)(631.163, 4724.9)(632.165, 1065.95)"
387.0921@0.88650006,1,1,1,1,24650,24110,22281,22128,1,1,23780,22930,21125,21593,21356,21935,1,23311,24055,1,23673,21181,1,22018,1,24861,23164,1,24068,23183,23028,21558,1,1,23133,21751,21510,1,19219,21347,1,1,21483,24223,1,1,22411,23163,387.0921@0.88650006,387.0921,0.88650006,30,+,"(388.0995, 7813.34)(389.1013, 1710.18)(390.0967, 898.8)"
112.027@0.91109085,1,1,1,1,1,16656,11661,1,1,45066,39477,1,1,1,13692,1,1,1,1,1,1,1,1,1,1,19554,1,1,11876,1,31927,1,49205,1,1,1,1,1,1,1,1,1,1,1,1,39704,31057,1,112.027@0.91109085,112.027,0.91109085,11,+,"(113.0345, 5884.24)(114.0377, 513.68)(115.0386, 4151.84)"
288.1202@0.86915,1,109713,96999,113813,108600,108035,1,106010,111718,111486,119327,1,94504,1,99064,1,132185,114899,123181,108008,108326,109555,103045,99350,111936,103116,114317,112773,112892,108956,111273,103888,112994,107134,112257,107469,1,97321,96465,1,102841,122903,94340,107125,112315,113547,1,108888,288.1202@0.86915,288.1202,0.86915,40,+,"(599.2283, 3303.21)(600.2331, 1212.81)(289.1278, 23378.87)(290.1326, 2591.85)(291.1192, 841.84)(615.2008, 7339.68)(616.2035, 2156.69)(617.2019, 964.71)"
293.0644@0.8634839,22588,26396,27069,25739,1,1,1,1,28654,25779,27158,25794,13622,1,1,14740,29830,26737,28122,25741,13386,14063,1,14165,26604,27046,28190,1,14938,1,1,1,25965,1,28569,1,1,12879,1,1,27516,26014,12575,15053,24817,25207,13775,1,293.0644@0.8634839,293.0644,0.8634839,31,+,"(294.0715, 8319.14)(295.077, 633.84)(332.025, 544.24)"
989.3579@0.8959601,1,1,1,1,17007,18083,16797,16270,1,1,16754,1,14524,13853,14185,14282,21319,1,1,1,17013,16396,14644,15366,1,1,1,1,16573,15703,16610,14775,1,1,1,1,14769,14299,1,14985,1,1,14143,14967,1,1,14860,15296,989.3579@0.8959601,989.3579,0.8959601,25,+,"(990.3656, 6534.79)(991.3679, 2851.99)(992.3714, 848.56)"
444.1856@0.8949286,33759,1,1,1,1,41550,1,1,1,1,1,1,37799,1,1,37458,1,1,1,1,42760,1,41237,35799,1,1,1,1,42009,1,40107,1,1,1,1,1,38216,32607,36922,1,1,1,1,39346,1,1,1,39487,444.1856@0.8949286,444.1856,0.8949286,14,+,"(445.1931, 16113.31)(446.1954, 3928.03)"
413.1207@0.87968755,1316782,1779683,2130959,1894488,1870403,1876460,1887322,1776866,1945991,1857371,2027174,1920382,1741321,1701097,1683249,1760762,2412268,1876793,1980777,1874795,1959514,1852530,1865471,1759162,1898071,1840765,1876024,1717574,1906764,1803376,1952300,1700559,1897249,1732483,1854054,1768184,1829677,1656276,1603214,1747493,1901814,2072415,1686140,1854668,1846157,1914012,1821880,1839654,413.1207@0.87968755,413.1207,0.87968755,48,+,"(436.1089, 4338.6)(437.1113, 622.97)(414.1279, 624524.56)(415.1306, 74630.34)(416.132, 13225.63)(417.1348, 1906.72)(418.1372, 170.62)(452.0803, 8907.74)(453.0831, 1445.33)(454.0831, 766.12)(865.1961, 742.05)(827.2466, 8196.63)(828.2488, 2360.08)(829.2526, 726.99)"
341.1489@0.8631874,42092,65443,62656,63908,61455,58378,61033,47565,55841,55698,67163,55727,53543,54585,51549,56617,73704,57372,59197,53656,58836,53404,58233,51078,61143,59714,60584,52920,57164,51689,59050,55195,58647,56016,62439,56355,56540,48069,50542,56945,58662,62932,49059,51994,55819,59212,55401,49366,341.1489@0.8631874,341.1489,0.8631874,48,+,"(342.1564, 21429.29)(343.1598, 5197.03)"
300.0992@0.87080854,34449,43699,42687,42475,31814,34358,31039,29260,42363,37625,43440,39261,34206,30443,32641,36116,44924,37360,41650,42339,35056,34486,34320,33729,45450,38094,45457,41179,31068,32500,37127,29512,44265,36308,44823,37364,31530,33294,33240,30999,40484,37924,34375,32784,41129,39515,1,30617,300.0992@0.87080854,300.0992,0.87080854,47,+,"(323.0879, 1067.2)(301.1062, 7667.85)(302.1132, 689.34)(601.2057, 2561.62)(602.2095, 1011.04)(603.223, 423.73)"
576.2399@0.8734583,3533878,5836306,6297534,6116581,5277561,5350686,5249253,5252726,5645690,5549286,5931618,5756451,5015224,4994931,4934520,5073760,6932427,5873523,5962020,5538962,5344903,5302983,5172428,5053447,5475260,5603350,5342091,5384543,5227547,5243769,5292122,5073008,5451333,5157504,5411599,5331468,4994140,4996120,4617458,5197173,5557359,5922210,4764838,5255235,5380147,5627744,5073358,5212800,576.2399@0.8734583,576.2399,0.8734583,48,+,"(599.2277, 2943.86)(600.2328, 1182.6)(577.2467, 1676226.2)(578.2504, 381146.44)(579.2517, 67605.77)(580.2533, 8480.75)(581.2568, 1591.49)(615.2012, 7460.9)(616.2049, 1893.65)(617.2028, 958.5)"
315.0795@0.8716875,51410,60782,60226,60193,45402,47660,42615,39995,63671,61858,59894,60276,44331,51620,44363,46170,70692,61176,64596,63278,47948,45418,48011,45336,61836,62224,65217,61569,47921,42500,45943,43664,64040,64445,62744,61413,42771,45166,44831,44632,61155,62951,42633,50286,60419,59656,46377,66998,315.0795@0.8716875,315.0795,0.8716875,48,+,"(338.0688, 570.54)(316.0871, 16089.5)(317.0874, 3900.91)(318.0852, 1526.45)(354.0382, 3078.16)(355.0424, 468.79)(631.1632, 3682.47)(632.1657, 1121.57)(633.1649, 553.9)"
451.0729@0.8931666,1,1,21499,1,1,1,1,1,1,1,1,1,24498,1,23994,1,24143,1,1,1,1,26232,25568,1,1,1,1,1,27553,1,1,23046,1,1,1,1,1,22990,20210,1,1,1,22855,1,1,1,25171,1,451.0729@0.8931666,451.0729,0.8931666,12,+,"(452.0797, 8009.47)(453.0834, 1190.36)(454.085, 748.69)"
229.1071@0.9363333,121479,128974,130408,122511,91930,1,101077,98281,131197,130553,124229,120068,142449,91595,1,158037,140061,130498,123965,115680,99490,162658,147101,88930,144619,127434,127981,118947,167602,93636,93631,148383,128888,125810,120035,113860,98054,93515,94585,85788,123278,127263,146599,84893,118589,1,90176,88837,229.1071@0.9363333,229.1071,0.9363333,45,+,"(481.1962, 6294.98)(482.1954, 890.42)(483.1989, 595.44)(230.1137, 59227.73)(231.1148, 11070.39)(459.2216, 2318.89)"
315.1436@0.88217026,209847,327970,408742,411209,402573,352233,418066,358545,377660,1,423602,374989,410009,357208,366696,375963,497520,385404,419965,374485,408636,368286,398227,371162,379812,354231,361375,346952,418781,390428,403126,362589,378380,334489,358791,334299,415871,342513,339403,370807,367224,398209,382662,376352,281213,380765,390332,378585,315.1436@0.88217026,315.1436,0.88217026,47,+,"(338.1365, 517.71)(316.1509, 147856.05)(317.1542, 19495.18)(631.3015, 617.34)"
329.1821@0.85431254,98460,136115,144338,144048,1,1,140438,1,123384,168374,142268,150402,1,1,137319,1,147542,136318,149391,126547,1,207507,1,191935,140479,139600,138605,125538,144763,151461,1,1,138036,126589,133807,129841,1,1,1,1,135273,139429,1,118936,120149,132469,1,139095,329.1821@0.85431254,329.1821,0.85431254,32,+,"(330.1897, 24915.83)(331.1949, 20126.68)(368.1444, 1576.35)(659.3717, 10336.78)(660.374, 3468.3)(661.3765, 1319.17)"
350.1637@0.8713713,123566,93843,140378,145144,1,108000,1,1,148984,143184,163217,131452,1,1,1,1,1,68128,140624,144797,132783,152289,143408,1,93682,141253,143601,126836,139735,1,103399,129481,158446,138815,123330,97136,130607,99366,98779,125890,124370,1,88754,104071,134613,1,1,110021,350.1637@0.8713713,350.1637,0.8713713,35,+,"(351.1702, 36462.63)(352.1829, 4428.31)(353.1794, 2705.71)"
292.1059@0.87542546,34994,51152,52842,52982,46888,46105,46085,43543,50451,44902,49189,48426,45898,41460,36311,36740,61888,48723,45923,45121,45066,38653,45544,39816,46008,48002,43295,43579,39243,37855,50782,44347,46593,47519,49738,1,39081,35861,39001,41862,47410,50538,41147,47339,42273,48789,41050,45689,292.1059@0.87542546,292.1059,0.87542546,47,+,"(315.092, 996.84)(293.1131, 16852.25)(294.1148, 3515.21)(295.1054, 1086.58)"
453.2945@0.9264211,52041,57294,1,57665,104677,1,102126,97444,61681,55045,1,54745,95017,89079,88386,90312,39240,1,56696,55559,97398,88736,93203,92059,1,1,59467,51872,79394,99083,100113,89648,57363,54629,54414,58254,95117,89979,89794,93602,52864,1,1,1,1,54980,68566,91994,453.2945@0.9264211,453.2945,0.9264211,38,+,"(454.302, 11250.84)(455.3046, 2945.45)(456.2961, 792.52)"
310.1164@0.87602186,48438,56848,1,52470,39258,41931,39110,37249,58967,49186,50952,59436,36589,36157,36594,39886,54571,59664,55667,50033,38620,39301,1,38603,50237,53108,54060,53417,39790,38886,41379,35922,55120,48202,50679,51317,37422,38069,35565,40178,50021,49553,37893,40055,50537,49921,39693,38576,310.1164@0.87602186,310.1164,0.87602186,46,+,"(311.1236, 12667.17)(312.1252, 2119.47)(313.1301, 761.54)"
313.1733@0.8750477,33968,50318,1,38239,1,44189,1,33941,1,48151,1,1,1,1,36319,1,1,1,46394,43206,1,44052,1,52634,1,1,48817,42602,47184,1,1,1,1,1,45966,1,1,46335,39872,53660,1,1,31816,37978,1,1,1,33335,313.1733@0.8750477,313.1733,0.8750477,21,+,"(314.1821, 11678.36)(627.3561, 2451.05)(628.3582, 873.13)"
551.7598@0.9049091,1,1,1,1,16628,1,18005,15681,1,1,1,1,16858,1,16352,1,1,1,1,1,1,1,15741,1,1,1,1,1,16827,1,17527,1,1,1,1,1,16517,1,1,15094,1,1,1,15809,1,1,1,1,551.7598@0.9049091,551.7598,0.9049091,11,+,"(552.7671, 5778.28)(553.7716, 1320.73)"
479.688@0.9089584,1,1,1,1,31293,38753,27813,32937,1,1,1,1,26527,32896,29676,35833,1,1,1,1,35589,33041,32835,36116,1,1,1,1,31825,32236,30176,30953,1,1,1,1,27473,31403,30641,28688,1,1,27684,33263,1,1,30627,31951,479.688@0.9089584,479.688,0.9089584,24,+,"(480.6953, 13437.87)(481.6988, 2261.33)(482.7146, 532.45)"
142.1104@0.899394,1,96218,1,93078,71550,74843,70157,76456,1,93149,90836,96917,64215,63419,64079,68344,1,1,97876,97946,82910,68356,61852,66409,1,1,1,92710,90781,67221,72181,65580,95717,1,1,1,65605,65646,58052,64847,1,1,65080,70896,1,1,76380,68283,142.1104@0.899394,142.1104,0.899394,33,+,"(143.1177, 29809.9)(144.1208, 2408.25)(323.1793, 3293.67)"
508.2384@0.8866818,35982,1,42613,47378,36262,36052,31702,31798,49059,36676,45906,42396,1,35423,34071,35443,49235,38043,1,46703,37159,37766,34543,32098,34809,38219,37981,1,32939,33450,40654,35964,41859,40951,43637,46352,38127,31920,36312,34514,44724,41306,34471,37563,36713,41323,34435,41619,508.2384@0.8866818,508.2384,0.8866818,44,+,"(509.2469, 11211.55)(510.2506, 3653.53)(511.2531, 312.06)"
