# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.S083_2017_Jun_06_19_20_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Jun 06 19:27:02 EDT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MZ002H-Pool01-P008B3-S083-T00(raw),MZ002H-Pool01-P008B3-S083-T12(raw),MZ002H-Pool02-P008B3-S083-T00(raw),MZ002H-Pool02-P008B3-S083-T12(raw),MZ002H-Pool03-P008B3-S083-T00(raw),MZ002H-Pool03-P008B3-S083-T12(raw),MZ002H-Pool04-P008B3-S083-T00(raw),MZ002H-Pool04-P008B3-S083-T12(raw),MZ002H-Pool05-P008B3-S083-T00(raw),MZ002H-Pool05-P008B3-S083-T12(raw),MZ002H-Pool06-P008B3-S083-T00(raw),MZ002H-Pool06-P008B3-S083-T12(raw),MZ002H-Pool07-P008B3-S083-T00(raw),MZ002H-Pool07-P008B3-S083-T12(raw),MZ002H-Pool08-P008B3-S083-T00(raw),MZ002H-Pool08-P008B3-S083-T12(raw),MZ002H-Pool09-P008B3-S083-T00(raw),MZ002H-Pool09-P008B3-S083-T12(raw),MZ002H-Pool10-P008B3-S083-T00(raw),MZ002H-Pool10-P008B3-S083-T12(raw),MZ002H-Pool11-P008B3-S083-T00(raw),MZ002H-Pool11-P008B3-S083-T12(raw),MZ002H-Pool12-P008B3-S083-T00(raw),MZ002H-Pool12-P008B3-S083-T12(raw),MZ002H-Pool13-P008B3-S083-T00(raw),MZ002H-Pool13-P008B3-S083-T12(raw),MZ002H-Pool14-P008B3-S083-T00(raw),MZ002H-Pool14-P008B3-S083-T12(raw),MZ002H-Pool15-P008B3-S083-T00(raw),MZ002H-Pool15-P008B3-S083-T12(raw),MZ002H-Pool16-P008B3-S083-T00(raw),MZ002H-Pool16-P008B3-S083-T12(raw),MZ002H-Pool17-P008B3-S083-T00(raw),MZ002H-Pool17-P008B3-S083-T12(raw),MZ002H-Pool18-P008B3-S083-T00(raw),MZ002H-Pool18-P008B3-S083-T12(raw),MZ002H-Pool19-P008B3-S083-T00(raw),MZ002H-Pool19-P008B3-S083-T12(raw),MZ002H-Pool20-P008B3-S083-T00(raw),MZ002H-Pool20-P008B3-S083-T12(raw),MZ002H-Pool21-P008B3-S083-T00(raw),MZ002H-Pool21-P008B3-S083-T12(raw),MZ002H-Pool97-P008B3-S083-T00(raw),MZ002H-Pool97-P008B3-S083-T12(raw),MZ002H-Pool98-P008B3-S083-T00(raw),MZ002H-Pool98-P008B3-S083-T12(raw),MZ002H-Pool99-P008B3-S083-T00(raw),MZ002H-Pool99-P008B3-S083-T12(raw),Compound Name,Mass,Retention Time,Frequency,Ionization mode,CompositeSpectrum
290.0049@0.362,1,1,1,1,1,29258,1,25961,1,1,1,1,1,1,1,1,1,1,31115,1,1,1,1,1,1,1,24280,1,28909,1,1,1,1,1,1,21778,1,1,1,1,1,1,1,1,1,1,1,27900,290.0049@0.362,290.0049,0.362,7,+,"(291.0122, 18034.06)(292.0154, 1608.86)"
342.0183@0.36519054,37830,46746,48138,44698,47939,45258,1,44650,46206,43340,48312,45842,48833,45644,50633,1,51002,44240,49426,46232,1,45837,48700,1,43539,1,46228,42388,52019,47090,48233,46437,45404,41777,46367,42523,48870,46803,46139,46241,48090,46355,48412,44125,1,45416,48051,46875,342.0183@0.36519054,342.0183,0.36519054,42,+,"(343.0254, 21679.46)(344.0274, 1980.55)(345.0226, 1611.73)"
561.954@0.36530003,1,1,15405,1,15087,1,14615,13662,14027,1,15626,1,1,13445,13977,13623,14772,13080,14744,1,15382,1,1,1,14592,1,14121,1,14987,13638,14930,1,13832,1,1,1,14623,13244,14310,13104,15248,13873,14975,13874,14375,14111,1,13574,561.954@0.36530003,561.954,0.36530003,30,+,"(562.961, 6830.18)(563.9634, 870.99)(564.9602, 1098.95)"
729.8771@0.36781403,1,18484,19494,17625,19521,17637,18901,18445,1,18546,19568,1,18913,18122,19214,17876,21541,17380,22568,19490,20312,20177,19176,20628,18682,19265,1,18888,20110,18899,21086,18285,18707,1,19031,16903,19461,17613,20097,18512,19472,18320,21843,18678,18222,17799,20829,18857,729.8771@0.36781403,729.8771,0.36781403,43,+,"(730.8846, 6309.06)(731.8859, 1334.44)(732.8829, 2259.13)(733.8993, 661.49)(734.8739, 589.04)(768.8468, 445.7)"
577.9284@0.36748943,42078,48313,48729,49020,51826,48385,50666,48227,47391,47035,50554,47289,51799,49060,49658,47235,52496,45881,50177,46011,50632,47057,50636,45728,48148,44775,48778,47612,51915,49170,52579,47526,49885,45012,47426,1,50520,47530,48893,50052,50314,49750,51256,48812,50072,45731,51854,49552,577.9284@0.36748943,577.9284,0.36748943,47,+,"(578.9356, 17527.4)(579.939, 2220.07)(580.9341, 4043.46)(581.9401, 797.13)(582.9323, 259.13)"
645.9157@0.36729038,1,1,16595,1,15971,15345,1,16138,1,15650,15564,1,16655,1,16127,15423,16461,1,15892,1,17091,1,16582,1,16393,1,1,1,17082,15344,16707,16210,16085,1,16053,15147,16802,15781,16000,15843,16555,16648,15538,15206,1,1,15118,15656,645.9157@0.36729038,645.9157,0.36729038,31,+,"(646.9234, 6197.84)(647.928, 1057.8)(648.9207, 1717.36)"
813.8381@0.368125,1,1,1,1,19069,17440,18046,1,14183,18118,18112,1,1,16783,20814,1,19011,1,20446,1,20132,19760,20073,1,20411,16915,20145,1,17970,1,18200,1,17671,1,1,1,1,1,1,1,1,18013,19323,19227,1,1,18659,20190,813.8381@0.368125,813.8381,0.368125,24,+,"(836.8357, 354.78)(814.8452, 5462.84)(815.8474, 1484.09)(816.8437, 2505.26)(817.8443, 461.73)(818.8402, 674.87)(852.8033, 485.37)"
509.941@0.3688958,48535,58007,59843,55310,59082,54405,57408,56463,59141,52713,59796,55853,59033,55416,59902,52845,61190,53308,61153,54742,58930,55252,59840,54539,57536,53880,55717,52827,60593,55948,60756,54421,56371,51902,58352,53477,59391,53377,56631,58254,60609,56848,60444,54644,57605,56345,59679,56285,509.941@0.3688958,509.941,0.3688958,48,+,"(510.9483, 19872.37)(511.9512, 1958.56)(512.9465, 4290.63)(513.9506, 481.69)(514.9487, 350.15)"
357.9922@0.3682766,123732,161008,153991,148287,154006,154441,155885,147055,156529,145376,149929,147433,158029,149643,150075,145552,161762,148220,151293,148403,157058,149442,155691,148000,153683,151046,154769,143466,162937,151671,157492,148716,145450,144897,154875,146598,157369,151010,154929,151034,1,155608,152706,152804,154868,149750,145273,157614,357.9922@0.3682766,357.9922,0.3682766,47,+,"(358.9994, 50804.05)(359.9998, 5254.62)(360.998, 7525.69)(361.9972, 839.7)(363.0063, 466.21)"
661.8897@0.36962506,31115,33732,37101,33287,1,32495,34939,31413,34174,31511,1,1,1,34711,36545,31810,1,33718,1,1,1,33079,1,30607,33425,1,1,1,35924,32967,36418,34804,1,31064,33707,1,35226,32043,1,33308,1,35492,33538,32172,32535,26684,35832,34618,661.8897@0.36962506,661.8897,0.36962506,32,+,"(662.8971, 10727.59)(663.8998, 1585.71)(664.8951, 3250.1)(665.891, 541.58)(666.8878, 509.54)"
593.9025@0.37016666,83775,98759,100435,95505,101314,98642,102913,94141,99528,93206,100997,92738,103706,97683,99974,93457,104124,93229,101291,95288,100857,93097,101656,94307,101155,91062,98821,90409,102727,94577,103981,95485,97656,91621,97558,95299,102472,95434,99005,96091,101236,97946,98701,94711,98814,94655,99959,100704,593.9025@0.37016666,593.9025,0.37016666,48,+,"(594.9097, 31859.69)(595.9126, 3662.11)(596.9081, 8533.21)(597.9102, 1311.79)(598.9055, 1172.42)"
745.8511@0.36995745,29295,31867,33057,30530,34871,31751,34391,30973,30532,31897,32869,31140,33455,28966,33778,34058,34946,31255,35528,31251,31758,31471,34612,31999,33504,31604,29195,32125,35727,32978,34834,32632,32207,1,29263,31991,33103,29913,33758,31105,34786,32730,32597,32586,32645,32510,32915,30928,745.8511@0.36995745,745.8511,0.36995745,47,+,"(746.8583, 10054.54)(747.8611, 1821.17)(748.8556, 3846.61)(749.8532, 462.55)(750.8517, 649.76)"
677.8639@0.37193748,41775,43003,44478,41787,46400,46216,47473,43059,46184,42073,45255,44477,45923,44378,45695,42672,46696,40742,44352,46164,48681,45004,48147,44996,47300,42050,44807,44002,47343,44326,46714,42647,46056,42623,44731,43766,48333,41987,45885,43621,46867,44412,45082,43831,41925,43193,45022,44587,677.8639@0.37193748,677.8639,0.37193748,48,+,"(678.8713, 14301.38)(679.8744, 2022.89)(680.8688, 4919.31)(681.8676, 672.94)(682.8683, 930.5)"
441.9532@0.3702,35581,40772,40653,39010,42302,41325,41460,39155,42058,39019,42891,1,41867,38825,39435,39466,41386,37873,41683,38881,42068,38205,40083,38742,42422,1,42034,1,43350,39125,42661,38709,42265,37352,42705,38776,42455,38466,41651,39201,41817,39541,41107,39770,39238,37338,40935,39978,441.9532@0.3702,441.9532,0.3702,45,+,"(442.9605, 13262.69)(443.9638, 1478.16)(444.9591, 2925.45)(445.963, 473.76)"
184.062@0.3704565,746808,39724,699978,639310,930837,932435,327574,885118,928516,605349,668595,886937,317537,899341,941563,296322,982624,630135,961767,909409,949291,892437,44979,894086,920039,881357,50437,649071,964706,896568,967820,617283,932012,1,657622,1,954805,889582,917350,899555,937671,929174,960414,903165,632338,657570,902559,914992,184.062@0.3704565,184.062,0.3704565,46,+,"(207.0509, 111746.3)(208.0538, 7162.57)(209.0488, 7484.26)(210.051, 351.84)(391.1139, 4578.26)(392.1159, 769.73)(393.115, 1334.7)(185.0684, 11339.62)(186.0722, 1221.55)(187.0678, 831.57)(223.0251, 199925.66)(224.0278, 11392.84)(225.0229, 23401.83)(226.0257, 1575.49)(227.0216, 717.38)(407.0859, 1767.48)"
