# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.S082_2017_Jun_06_19_10_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Jun 06 19:17:20 EDT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MZ002H-Pool01-P008B2-S082-T00(raw),MZ002H-Pool01-P008B2-S082-T12(raw),MZ002H-Pool02-P008B2-S082-T00(raw),MZ002H-Pool02-P008B2-S082-T12(raw),MZ002H-Pool03-P008B2-S082-T00(raw),MZ002H-Pool03-P008B2-S082-T12(raw),MZ002H-Pool04-P008B2-S082-T00(raw),MZ002H-Pool04-P008B2-S082-T12(raw),MZ002H-Pool05-P008B2-S082-T00(raw),MZ002H-Pool05-P008B2-S082-T12(raw),MZ002H-Pool06-P008B2-S082-T00(raw),MZ002H-Pool06-P008B2-S082-T12(raw),MZ002H-Pool07-P008B2-S082-T00(raw),MZ002H-Pool07-P008B2-S082-T12(raw),MZ002H-Pool08-P008B2-S082-T00(raw),MZ002H-Pool08-P008B2-S082-T12(raw),MZ002H-Pool09-P008B2-S082-T00(raw),MZ002H-Pool09-P008B2-S082-T12(raw),MZ002H-Pool10-P008B2-S082-T00(raw),MZ002H-Pool10-P008B2-S082-T12(raw),MZ002H-Pool11-P008B2-S082-T00(raw),MZ002H-Pool11-P008B2-S082-T12(raw),MZ002H-Pool12-P008B2-S082-T00(raw),MZ002H-Pool12-P008B2-S082-T12(raw),MZ002H-Pool13-P008B2-S082-T00(raw),MZ002H-Pool13-P008B2-S082-T12(raw),MZ002H-Pool14-P008B2-S082-T00(raw),MZ002H-Pool14-P008B2-S082-T12(raw),MZ002H-Pool15-P008B2-S082-T00(raw),MZ002H-Pool15-P008B2-S082-T12(raw),MZ002H-Pool16-P008B2-S082-T00(raw),MZ002H-Pool16-P008B2-S082-T12(raw),MZ002H-Pool17-P008B2-S082-T00(raw),MZ002H-Pool17-P008B2-S082-T12(raw),MZ002H-Pool18-P008B2-S082-T00(raw),MZ002H-Pool18-P008B2-S082-T12(raw),MZ002H-Pool19-P008B2-S082-T00(raw),MZ002H-Pool19-P008B2-S082-T12(raw),MZ002H-Pool20-P008B2-S082-T00(raw),MZ002H-Pool20-P008B2-S082-T12(raw),MZ002H-Pool21-P008B2-S082-T00(raw),MZ002H-Pool21-P008B2-S082-T12(raw),MZ002H-Pool97-P008B2-S082-T00(raw),MZ002H-Pool97-P008B2-S082-T12(raw),MZ002H-Pool98-P008B2-S082-T00(raw),MZ002H-Pool98-P008B2-S082-T12(raw),MZ002H-Pool99-P008B2-S082-T00(raw),MZ002H-Pool99-P008B2-S082-T12(raw),Compound Name,Mass,Retention Time,Frequency,Ionization mode,CompositeSpectrum
183.9782@0.157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55653,1,1,1,1,1,1,1,1,1,183.9782@0.157,183.9782,0.157,1,+,"(184.9855, 5504.57)(185.9844, 926.15)(186.98, 2447.18)"
110.961@0.1885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15843,1,1,1,1,1,1,1,1,75783,110.961@0.1885,110.961,0.1885,2,+,"(111.9683, 5161.9)(112.9542, 8.95)(113.9401, 762.7)(114.9393, 8.95)(115.9384, 0.0)"
181.9777@0.27699998,1,1,1,1,1,1,1,1,1,1,1,67574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46404,140911,1,1,1,1,111669,1,1,1,1,1,1,1,1,1,181.9777@0.27699998,181.9777,0.27699998,4,+,"(182.9853, 11730.69)(183.9853, 3.09)(184.9852, 6820.84)(185.9853, 819.75)(186.98, 2534.46)(187.9788, 3.09)(188.9777, 446.33)(220.9376, 394.24)"
181.9545@0.24300002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73487,25633,1,1,1,24357,1,1,1,1,1,181.9545@0.24300002,181.9545,0.24300002,3,+,"(182.9618, 7264.25)(183.9735, 1.97)(184.9852, 4990.35)(185.9827, 1.97)(186.9801, 2153.36)"
302.2067@0.34735292,1,1,1,1,15245,1,1,1,1,15576,18236,1,1,1,18242,1,16530,1,1,1,13327,11101,14142,1,17016,15943,1,17824,1,1,17408,1,20635,1,1,1,1,13761,13895,12726,1,1,1,1,16858,1,1,1,302.2067@0.34735292,302.2067,0.34735292,17,+,"(325.1967, 825.35)(303.2135, 10227.14)(304.2162, 1351.25)(341.169, 1417.5)"
155.0699@0.35249996,1,1,1,156944,1,146358,127116,137907,1,1,1,1,126891,118095,117203,107800,1,1,1,1,120099,125935,1,104885,1,1,1,122973,1,108250,102672,109144,1,85668,1,1,103196,1,121404,101350,1,1,1,89049,1,111141,119204,1,155.0699@0.35249996,155.0699,0.35249996,22,+,"(156.0771, 95333.48)(157.0801, 5567.24)(158.0866, 3400.05)"
307.211@0.34947222,1,112830,1,1,149103,104651,157465,96956,181620,130947,1,1,131811,136170,123316,110973,156771,1,159949,1,140583,122810,143135,113668,1,1,1,146435,204128,156154,185492,120301,193346,198827,1,181848,158656,160719,152800,133871,185799,1,182775,134166,185382,181728,171401,136379,307.211@0.34947222,307.211,0.34947222,36,+,"(330.1997, 798.59)(308.2183, 117921.52)(309.2211, 15321.29)(310.2229, 2084.77)(346.1738, 2027.74)(347.1858, 545.32)"
111.1047@0.35012197,44838,31936,1,1,40238,31850,38931,1,50818,35419,1,1,34963,30879,32878,29880,1,47476,47758,42661,36626,30804,36230,32114,48838,45350,47002,37873,43958,36717,38226,30731,53016,46946,50931,48563,38098,37145,38025,30593,50157,1,40317,26745,50185,42898,43590,29666,111.1047@0.35012197,111.1047,0.35012197,41,+,"(112.1119, 31862.81)(113.1153, 1996.76)"
530.1603@0.35642108,17233,26656,17454,20304,18640,22980,19791,22669,1,28565,16230,28332,19548,26337,19212,27476,17617,1,17726,21442,20001,24944,20378,26864,1,25870,14737,1,1,26892,20854,28540,16322,24823,17293,1,20032,27809,18467,30107,1,1,1,32041,16558,1,17975,30222,530.1603@0.35642108,530.1603,0.35642108,38,+,"(531.1685, 15699.85)(532.1712, 3126.46)(533.1665, 2955.1)(534.1669, 395.75)"
516.1453@0.3573333,9447,1,1,16135,13393,1,10420,1,1,1,1,25443,11211,20963,12348,22783,10868,20301,10037,1,13986,1,12896,1,1,1,11261,1,12580,1,1,1,11912,20655,11283,1,14837,1,13141,1,1,1,1,32938,10796,1,11084,1,516.1453@0.3573333,516.1453,0.3573333,24,+,"(517.1525, 21276.74)(518.1546, 3874.67)(519.1516, 3341.73)"
