Sample,,,,,,,CLOPIDOGREL SULFATE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,PIDOTIMOD Results,,AMINOGLUTETHIMIDE Results,,APOMORPHINE HYDROCHLORIDE Results,,AZATADINE MALEATE Results,,AMISULPRIDE Results,,IS_EMETINE Results,,METHYLPHENIDATE HYDROCHLORIDE Results,,METOPROLOL TARTRATE Results,,TACRINE HYDROCHLORIDE Results,,ZIDOVUDINE [AZT] Results,,FAMCICLOVIR Results,,IS_CAFFEINE Results,,ACEBUTOLOL HYDROCHLORIDE Results,,IS_YOHIMBINE Results,,PITAVASTATIN CALCIUM  Results,,METICRANE Results,,IS_SULFAMETHOXAZOLE Results,,PYRIMETHAMINE Results,,TAMSULOSIN HYDRCHLORIDE Results,,TERAZOSIN HYDROCHLORIDE Results,,NOSCAPINE HYDROCHLORIDE Results,,KETOTIFEN FUMARATE Results,,CLOZAPINE Results,,IS_EYTHROMYCINE Results,,METHOCARBAMOL Results,,RANOLAZINE Results,,MEBHYDROLIN NAPHTHALENESULFONATE Results,,ENALAPRIL MALEATE Results,,TENOXICAM Results,,DULOXETINE HYDROCHLORIDE Results,,CARVEDILOL Results,,PREDNISONE Results,,CAMYLOFINE DIHYDROCHLORIDE Results,,DOXAZOSIN MESYLATE Results,,METOLAZONE Results,,SOLIFENACIN SUCCINATE Results,,THIOTHIXENE Results,,DIPYRIDAMOLE Results,,PENBUTOLOL SULFATE Results,,BENZTHIAZIDE Results,,DABIGATRAN ETEXILATE MESYLATE Results,,METHOXSALEN Results,,ENTACAPONE Results,,REBAMIPIDE Results,,TOLAZAMIDE Results,,OLMESARTAN MEDOXOMIL Results,,KETOROLAC TROMETHAMINE Results,,IS_MIFEPRISTONE Results,,MIFEPRISTONE Results,,SULINDAC Results,,LOSARTAN Results,,REPAGLINIDE Results,,DEFLAZACORT Results,,BEZAFIBRATE Results,,ISRADIPINE Results,,DIFLORASONE DIACETATE Results,,ETODOLAC Results,,MEGESTROL ACETATE Results,,IS_IPRIFLAVONE Results,,DANAZOL Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool20-P002C1-S024-T12,MZ002H-Pool20-P002C1-S024-T12.d,Sample,,5/4/2016 5:03 AM,,,1.064,4636173,1.108,3546487,1.276,162319,1.556,826773,1.645,1612090,1.612,23165,1.668,5338524,1.735,3484628,1.936,2255786,1.958,21680785,1.992,7730589,2.037,9015,1.992,3978027,2.003,1124996,2.037,12770576,2.059,8774651,2.160,1220675,2.216,155777,2.216,2648009,2.260,6446063,2.272,2586017,2.339,2843077,2.361,8044727,2.384,3647843,2.484,3098926,2.540,3658033,2.529,562405,2.540,5510457,2.775,2213323,2.876,567838,2.865,6539799,2.920,1230618,3.010,79352,3.077,81699,3.111,16748919,3.043,4798395,3.155,1839196,3.200,1969494,3.323,3204087,3.278,5904917,3.312,3645948,3.301,913109,3.480,6114908,3.390,10116195,3.524,0,3.659,1333978,3.726,23961469,3.737,2965885,3.782,5662260,3.894,10438513,3.894,10423977,4.028,30894,4.017,14485694,4.196,18642520,4.196,12410562,4.240,12727486,4.397,288179,4.397,6377777,4.509,3608504,4.710,15127676,4.822,13218678,4.811,15411
!,!,MZ002H-Pool20-P003A1-S025-T00,MZ002H-Pool20-P003A1-S025-T00.d,Sample,,5/4/2016 7:38 AM,,,1.068,4675970,1.101,4013604,1.280,180617,1.549,789259,1.638,1518651,1.605,33527,1.672,5874029,1.761,3347599,1.940,3004710,1.963,22321032,1.985,8939262,2.041,10712,1.996,3861112,1.996,1239967,2.041,13949008,2.052,9436900,2.164,1882026,2.220,189097,2.220,3016016,2.265,7965134,2.276,3226506,2.343,3155267,2.365,10191511,2.388,4023060,2.488,3934273,2.544,3205533,2.522,637430,2.533,6090558,2.768,2781217,2.880,586266,2.857,6786769,2.925,1666403,3.003,93498,3.081,114026,3.115,17276931,3.048,6306725,3.148,1887663,3.204,1783814,3.316,3604181,3.282,6585909,3.305,4017400,3.294,1042098,3.473,9252231,3.394,11606504,3.529,681069,3.663,991650,3.730,22213930,3.730,5079414,3.775,4995367,3.898,10313058,3.898,10286039,4.021,29478,4.021,14475572,4.189,18200241,4.200,13177119,4.244,12242561,4.401,284747,4.401,6876807,4.513,3514493,4.703,14679856,4.826,9301816,4.815,10139022
!,!,MZ002H-Pool20-P003A2-S026-T00,MZ002H-Pool20-P003A2-S026-T00.d,Sample,,5/4/2016 10:13 AM,,,1.074,4468437,1.119,3870354,1.286,174196,1.555,945964,1.644,2244635,1.611,14216,1.678,6880564,1.779,3764482,1.946,3310049,1.958,23688623,1.991,9575925,2.036,20541,1.991,4379168,2.002,1429402,2.036,15769973,2.058,10713792,2.170,2277939,2.215,246100,2.215,3849539,2.260,9225668,2.271,3590534,2.338,4057587,2.360,10643424,2.383,4767357,2.495,4202110,2.539,2539348,2.528,647328,2.539,6440069,2.774,3244542,2.875,647020,2.864,8170336,2.920,1910443,3.009,78776,3.076,130112,3.121,17790328,3.043,6598032,3.155,2219380,3.210,1882104,3.311,4625169,3.278,7292046,3.311,4085243,3.300,1212044,3.479,7027070,3.401,12281454,3.535,764374,3.669,1129878,3.725,24755329,3.736,5689232,3.781,6056004,3.904,10537447,3.904,10537200,4.016,26882,4.016,15274802,4.195,18189932,4.195,13076082,4.251,12937304,4.396,274384,4.396,7065280,4.508,3468761,4.709,15299438,4.821,11842082,4.810,9894398
!,!,MZ002H-Pool20-P003A1-S028-T00,MZ002H-Pool20-P003A1-S028-T00.d,Sample,,5/4/2016 3:22 PM,,,1.064,5083999,1.109,3624287,1.276,173764,1.556,689188,1.646,1140822,1.612,31721,1.668,5566216,1.780,3736653,1.936,2761493,1.959,21468865,1.992,7693049,2.037,15442,1.992,4098885,2.004,1167135,2.037,13018101,2.059,8451496,2.171,1569533,2.216,162070,2.216,2825591,2.261,6489316,2.272,2822305,2.339,2832318,2.362,9714731,2.384,3896921,2.485,3653293,2.541,3134619,2.529,545397,2.541,5843449,2.764,2611752,2.876,560634,2.865,6985700,2.921,1540934,2.999,81398,3.077,63215,3.111,16115439,3.044,5988121,3.156,1892782,3.201,1704353,3.312,4846682,3.279,6131700,3.312,3542052,3.301,950103,3.480,6723203,3.391,10916264,3.536,759312,3.659,1255175,3.726,23545170,3.737,5509227,3.782,5446989,3.894,10267461,3.894,10279361,4.028,37209,4.017,13623835,4.196,18104389,4.196,13314328,4.241,11480532,4.397,273645,4.397,6910839,4.509,3178388,4.711,15285471,4.823,12247336,4.811,9276850
!,!,MZ002H-Pool20-P003A1-S025-T12,MZ002H-Pool20-P003A1-S025-T12.d,Sample,,5/4/2016 5:57 PM,,,1.075,4271324,1.109,3887405,1.276,164054,1.556,839963,1.645,2409610,1.657,31270,1.668,5731035,1.802,2805188,1.936,2659792,1.959,21464430,1.992,8386774,2.037,12582,1.992,1037041,2.003,1180637,2.037,14838159,2.059,10031137,2.160,1844548,2.216,227592,2.216,3214648,2.261,8639796,2.272,3563250,2.339,3582683,2.373,9466117,2.384,4390463,2.484,3960161,2.540,3844042,2.529,671465,2.540,6728441,2.775,2684036,2.876,613337,2.865,6584323,2.921,1623158,2.999,45750,3.077,220501,3.122,15833902,3.044,5533743,3.156,1732587,3.212,1965414,3.323,3044252,3.279,5580866,3.312,3582265,3.290,1021931,3.480,11360813,3.391,4860745,3.536,0,3.670,850711,3.726,20369906,3.737,2432839,3.782,4097888,3.894,9925469,3.894,9926189,4.017,32718,4.017,14757913,4.196,17145928,4.196,11524935,4.241,12950834,4.397,267785,4.397,5927795,4.509,3404290,4.699,13469449,4.822,7835973,4.811,256979
!,!,MZ002H-Pool20-P003A2-S026-T12,MZ002H-Pool20-P003A2-S026-T12.d,Sample,,5/4/2016 8:32 PM,,,1.077,5342208,1.110,5337369,1.278,200843,1.546,1530023,1.647,4491520,1.614,16956,1.681,10992958,1.860,3434332,1.938,4428910,1.960,29180199,1.994,11909000,2.027,24879,1.994,771790,2.005,2005538,2.039,20806793,2.061,16311309,2.162,4220453,2.218,542101,2.218,7897356,2.262,16148737,2.274,6448871,2.341,6822948,2.374,14097222,2.385,7781379,2.486,6025545,2.542,3522325,2.520,944395,2.542,10160444,2.777,5577579,2.878,879527,2.866,10784921,2.922,2532824,3.001,51779,3.079,309267,3.135,21598045,3.045,8618393,3.157,2544984,3.213,2929242,3.336,6286872,3.280,9624315,3.303,5342251,3.291,1628811,3.482,8271163,3.392,11849736,3.549,0,3.661,1200569,3.728,25844732,3.739,4056499,3.784,7236652,3.896,12636779,3.896,12640124,4.019,44169,4.019,16795593,4.186,18710269,4.198,10406777,4.242,14970549,4.399,284227,4.399,5099188,4.511,3712829,4.701,15126347,4.824,10818749,4.813,457405
!,!,MZ002H-Pool20-P003A1-S028-T12,MZ002H-Pool20-P003A1-S028-T12.d,Sample,,5/5/2016 1:41 AM,,,1.077,3709719,1.110,3286958,1.278,154755,1.558,877921,1.647,1389552,1.614,60289,1.670,4785551,1.793,2521489,1.938,2303461,1.961,20425899,1.994,7741258,2.039,9062,1.994,3959255,2.005,927391,2.039,12997072,2.050,7400066,2.162,1055293,2.218,136589,2.218,2127701,2.263,6866651,2.274,2619348,2.341,2694346,2.363,7770198,2.375,3494658,2.486,3159091,2.542,3613122,2.531,459739,2.531,5378346,2.766,2419958,2.878,539179,2.856,6375902,2.911,1328102,3.001,88565,3.079,149460,3.113,15685396,3.046,4990015,3.146,1643851,3.202,2064935,3.314,4882242,3.281,6021103,3.303,3885019,3.292,872356,3.482,5532025,3.392,10047714,3.538,0,3.661,1376216,3.728,24156738,3.739,3039757,3.784,6027135,3.896,10143916,3.896,10108449,4.019,22760,4.019,15831844,4.187,18661343,4.198,13156274,4.243,14253363,4.399,326288,4.399,6375946,4.511,3643793,4.701,15598280,4.824,11206043,4.802,50509
!,!,MZ002H-Pool20-P003B1-S029-T00,MZ002H-Pool20-P003B1-S029-T00.d,Sample,,5/8/2016 2:23 PM,,,1.077,3885347,1.122,3737230,1.278,174077,1.558,829926,1.647,2348162,1.614,42613,1.681,5422044,1.726,2772402,1.949,2886923,1.961,22518052,1.994,8154398,2.039,26905,1.994,4433241,2.005,1207398,2.039,13478800,2.061,8217920,2.173,1769700,2.218,208295,2.218,2994542,2.263,6833328,2.274,2752597,2.341,2861018,2.363,9811342,2.386,3990650,2.498,3219021,2.542,3046769,2.520,525487,2.542,5921328,2.766,2614243,2.878,635144,2.856,7896649,2.923,1523464,3.001,89308,3.079,112974,3.113,17040184,3.046,4869580,3.158,2181325,3.213,1714991,3.314,3053974,3.281,6722345,3.314,3812009,3.292,978982,3.482,4558319,3.392,11738332,3.538,685245,3.661,1312490,3.728,24783028,3.739,6442566,3.773,6303741,3.907,10115173,3.907,10113241,4.019,58666,4.019,15080449,4.198,17438531,4.198,12169372,4.243,12905603,4.399,219901,4.399,6452140,4.511,3508223,4.701,14238235,4.824,8823275,4.813,8749957
!,!,MZ002H-Pool20-P003B2-S030-T00,MZ002H-Pool20-P003B2-S030-T00.d,Sample,,5/8/2016 4:57 PM,,,1.077,3936846,1.122,3667239,1.279,174109,1.558,793929,1.648,2194580,1.614,27118,1.670,5273923,1.726,2641799,1.939,2769427,1.961,21862624,1.995,7853707,2.028,12910,1.995,4321022,2.006,1210802,2.039,13002799,2.062,7889970,2.162,1737181,2.218,192991,2.218,2826398,2.263,6590554,2.274,2741104,2.341,2734564,2.364,9086568,2.386,3604722,2.487,3153846,2.543,2810724,2.531,505951,2.543,5601061,2.778,2318045,2.878,584908,2.856,7383500,2.923,1406317,3.001,82970,3.080,101570,3.102,16654377,3.046,4654554,3.147,2122039,3.203,1676332,3.315,2580846,3.281,6083467,3.303,3668526,3.292,923356,3.482,4215428,3.393,11118922,3.527,622372,3.661,1261490,3.728,23708463,3.740,6385087,3.773,5893718,3.907,8480658,3.907,8446545,4.019,61453,4.019,13909172,4.198,16352511,4.198,12203020,4.243,12004902,4.400,200363,4.388,5920856,4.511,3253747,4.702,13205867,4.825,9716378,4.813,6895587
!,!,MZ002H-Pool20-P003B3-S031-T00,MZ002H-Pool20-P003B3-S031-T00.d,Sample,,5/8/2016 7:32 PM,,,1.066,3994962,1.111,3161973,1.268,143696,1.547,668090,1.648,1722377,1.603,45181,1.682,4256092,1.726,2534558,1.939,2284377,1.961,18906666,1.995,6353881,2.040,11082,1.995,3596546,1.995,1193947,2.040,10932172,2.051,8014860,2.163,1395533,2.219,197935,2.219,2855301,2.263,5225753,2.274,2189807,2.342,2219031,2.364,7562242,2.386,3077580,2.487,2642096,2.543,2813112,2.521,440382,2.532,4733197,2.767,1957068,2.879,491203,2.856,6310340,2.923,1076855,3.002,82200,3.080,89455,3.113,13582256,3.046,3639075,3.147,1772853,3.203,1327818,3.315,2110220,3.281,5018130,3.304,2865257,3.292,781464,3.483,4456233,3.393,9613157,3.538,646997,3.662,1033795,3.729,21178107,3.740,5282175,3.773,5097665,3.908,8068048,3.908,8044179,4.019,47553,4.019,11926874,4.198,14139032,4.198,10452851,4.243,10472726,4.400,171113,4.400,4949322,4.512,2745910,4.702,11291727,4.825,7920481,4.814,6296892
!,!,MZ002H-Pool20-P003B4-S032-T00,MZ002H-Pool20-P003B4-S032-T00.d,Sample,,5/8/2016 10:06 PM,,,1.077,3888426,1.111,3402494,1.278,154760,1.558,811837,1.647,1935624,1.603,26718,1.670,4488492,1.737,2731595,1.938,2612460,1.961,20760310,1.994,7324392,2.028,21474,1.994,4028306,1.994,1171388,2.039,12564015,2.050,8167156,2.162,1488524,2.218,182935,2.218,2698204,2.263,6193348,2.274,2507551,2.341,2468840,2.363,8461394,2.386,3311758,2.486,3023470,2.542,2952709,2.520,484154,2.531,5347213,2.766,2259737,2.878,557536,2.856,7114452,2.911,1245189,3.001,83817,3.068,123870,3.102,14712940,3.046,4075976,3.146,1621327,3.202,1534467,3.314,2195605,3.281,5795407,3.303,3313413,3.292,866021,3.482,4549247,3.392,10632070,3.527,700589,3.661,1198254,3.728,22957445,3.739,5204871,3.773,5547936,3.907,8387155,3.907,8371684,4.019,71404,4.019,13589388,4.198,15780604,4.198,11926518,4.243,11729208,4.399,178793,4.388,5735606,4.500,3050656,4.701,13080211,4.824,10762960,4.813,6731261
!,!,MZ002H-Pool20-P003B1-S029-T12,MZ002H-Pool20-P003B1-S029-T12.d,Sample,,5/9/2016 12:41 AM,,,1.067,3794620,1.111,3510669,1.279,161568,1.548,875714,1.637,2639940,1.604,39550,1.671,4591807,1.749,2570923,1.939,2425871,1.962,20894202,1.984,7376772,2.029,15362,1.995,4044254,1.995,1098815,2.040,12416256,2.051,7578660,2.163,1430076,2.219,176641,2.219,2630494,2.264,6478402,2.275,2670382,2.342,2592724,2.364,8552476,2.387,3751673,2.487,3045207,2.532,2842878,2.521,446799,2.532,5135831,2.767,2313189,2.879,564809,2.857,7421845,2.912,1324908,3.002,77032,3.080,107922,3.103,15291976,3.047,4449512,3.147,1903933,3.203,1766612,3.315,2748768,3.282,6251973,3.304,3382212,3.293,922438,3.483,4118286,3.393,10515385,3.528,0,3.662,1267873,3.729,23920492,3.740,3949574,3.774,5955517,3.897,9379198,3.897,9358877,4.020,61801,4.020,14031250,4.199,16474915,4.199,10878970,4.244,12439800,4.400,226221,4.389,5679326,4.501,3140247,4.702,13431605,4.814,7619588,4.814,137493
!,!,MZ002H-Pool20-P003B2-S030-T12,MZ002H-Pool20-P003B2-S030-T12.d,Sample,,5/9/2016 3:16 AM,,,1.076,3784330,1.110,3664802,1.278,158171,1.557,848545,1.647,2202305,1.647,18221,1.680,4789592,1.781,2435895,1.938,2158859,1.960,20329112,1.993,7235916,2.016,10380,1.993,3940086,2.005,1157786,2.038,12072100,2.049,7835779,2.161,1345689,2.217,186583,2.217,2729449,2.262,6211267,2.273,2653576,2.340,2506258,2.363,7595914,2.385,3584185,2.486,2830584,2.530,2417536,2.530,479771,2.530,5063644,2.776,2115020,2.877,496502,2.855,6723517,2.911,1180383,3.000,74878,3.067,111269,3.112,14341762,3.045,4020119,3.157,1896237,3.202,1740657,3.313,2584547,3.280,5272086,3.302,3214842,3.291,848121,3.470,3903652,3.392,9973134,3.537,0,3.660,1064204,3.727,22634280,3.738,3420937,3.772,5506317,3.906,7981779,3.906,7947798,4.018,51560,4.018,12627598,4.197,15004789,4.197,10966015,4.242,11038558,4.387,170807,4.387,5159847,4.499,2836089,4.700,11859687,4.824,8181925,4.812,49545
!,!,MZ002H-Pool20-P003B3-S031-T12,MZ002H-Pool20-P003B3-S031-T12.d,Sample,,5/9/2016 5:51 AM,,,1.064,3850416,1.109,2889062,1.277,134805,1.545,700846,1.646,1797947,1.612,41585,1.679,3887850,1.746,2398571,1.937,1836152,1.959,17958283,1.993,6528686,2.037,12667,1.993,3321706,2.004,1078338,2.037,10259421,2.048,8079568,2.160,1095297,2.216,176315,2.216,2631762,2.261,5321780,2.272,2151936,2.339,2011524,2.362,6625705,2.384,3065835,2.485,2322478,2.541,2644855,2.529,390298,2.529,4374963,2.776,1775850,2.876,436966,2.854,5747173,2.921,955340,2.999,79468,3.066,110307,3.111,12810140,3.044,3435928,3.145,1676180,3.201,1424996,3.312,2236818,3.279,4703519,3.301,2840035,3.290,720106,3.469,4065392,3.391,8834396,3.525,440448,3.659,968351,3.726,20541424,3.738,3286265,3.771,4749777,3.905,7931934,3.905,7947178,4.017,42620,4.017,11566693,4.196,13832002,4.196,9798408,4.241,10121231,4.398,185576,4.398,4731585,4.498,2673956,4.700,11158533,4.823,7122596,4.811,65025
!,!,MZ002H-Pool20-P003B4-S032-T12,MZ002H-Pool20-P003B4-S032-T12.d,Sample,,5/9/2016 8:25 AM,,,1.075,3939811,1.108,3496335,1.276,173016,1.544,854811,1.645,1588372,1.645,36148,1.679,4896678,1.768,2660902,1.936,2222818,1.958,19909135,1.992,7402029,2.037,9349,1.992,4092449,2.003,1140482,2.037,13008040,2.048,8339627,2.160,1251021,2.216,167647,2.216,2542994,2.260,6020382,2.272,2545138,2.339,2494908,2.361,7489701,2.383,3522793,2.484,2932424,2.540,2822278,2.518,437153,2.529,5140378,2.764,2125864,2.876,533071,2.853,6665089,2.909,1129410,2.999,80826,3.077,120323,3.111,14683025,3.043,4215835,3.155,1675677,3.200,1707613,3.323,2731574,3.278,5735106,3.301,3153634,3.289,824409,3.480,5268264,3.390,9954357,3.524,528578,3.659,1141510,3.726,22224779,3.737,3390966,3.770,5183188,3.905,8476143,3.905,8443002,4.017,47509,4.017,13359096,4.196,16957170,4.196,11616846,4.240,12101622,4.397,207658,4.386,5868410,4.509,3166532,4.699,13147386,4.822,9628782,4.811,11043
!,!,MZ002H-Pool20-P003C1-S033-T00,MZ002H-Pool20-P003C1-S033-T00.d,Sample,,5/9/2016 11:00 AM,,,1.075,4038794,1.120,3529703,1.276,155802,1.556,738373,1.645,1936343,1.612,35699,1.679,5104272,1.768,2636625,1.936,2518331,1.959,20430624,1.992,7172708,2.037,16531,1.992,4000214,2.003,1045173,2.037,12353099,2.059,8238784,2.160,1566289,2.216,152149,2.216,2644985,2.261,6648094,2.272,2769345,2.339,2644513,2.361,8708142,2.384,3430528,2.484,3028920,2.540,2991435,2.518,479171,2.529,5420651,2.764,2187766,2.876,547229,2.854,6945175,2.909,1296593,2.999,68192,3.077,95168,3.111,15940137,3.044,4616316,3.156,2058291,3.200,1583424,3.312,2875468,3.279,5920280,3.301,3596757,3.290,891789,3.480,4775204,3.390,10816909,3.525,694936,3.659,1235663,3.726,22893802,3.737,5983530,3.771,5377465,3.905,7850218,3.905,7853366,4.017,69850,4.017,13204495,4.196,16267519,4.196,11992830,4.241,11604251,4.397,204057,4.397,5525034,4.509,3135064,4.699,12552813,4.822,6401492,4.811,6766977
!,!,MZ002H-Pool20-P003C2-S034-T00,MZ002H-Pool20-P003C2-S034-T00.d,Sample,,5/9/2016 1:35 PM,,,1.073,4120481,1.107,3866842,1.275,168531,1.554,753356,1.644,2157930,1.610,23848,1.677,4899071,1.789,2459595,1.935,2500207,1.957,20358943,1.991,7244574,2.024,12088,1.991,4044973,2.002,1099919,2.035,12751152,2.047,8485282,2.158,1629095,2.214,159784,2.214,2641256,2.259,6462344,2.270,2797109,2.337,2512499,2.360,8736792,2.382,3270058,2.483,3047234,2.539,2855414,2.516,482887,2.528,5345397,2.763,2163024,2.874,536921,2.852,6948393,2.908,1251831,2.997,69141,3.076,121012,3.109,14810863,3.042,4411506,3.154,1927163,3.199,1434724,3.311,2464474,3.277,5450367,3.299,3128544,3.288,877236,3.478,7898173,3.389,9522743,3.523,753842,3.657,1076865,3.725,20057788,3.736,4861489,3.769,4838358,3.904,7861539,3.904,7888302,4.015,63293,4.015,12816373,4.194,16247291,4.194,12017156,4.239,11630301,4.396,213411,4.396,5612274,4.508,3135694,4.698,12295352,4.821,8314207,4.810,7198116
!,!,MZ002H-Pool20-P003C3-S035-T00,MZ002H-Pool20-P003C3-S035-T00.d,Sample,,5/9/2016 4:10 PM,,,1.065,4129492,1.109,3253583,1.277,134712,1.546,599836,1.646,1717813,,,1.669,4165584,1.792,2758943,1.937,2039818,1.959,17648634,1.993,6356083,1.892,23040,1.993,3396164,1.993,1100260,2.038,10798532,2.049,8623089,2.161,1263407,2.217,159656,2.217,2616323,2.261,5569899,2.273,2288013,2.340,2176952,2.362,7280720,2.385,2545104,2.485,2442212,2.541,2788097,2.519,428306,2.530,4403353,2.765,1803959,2.877,455243,2.854,5821494,2.910,1112927,3.000,71273,3.067,87688,3.112,13205540,3.045,3850781,3.145,1758097,3.201,1323728,3.324,2297129,3.279,4916871,3.302,2933485,3.291,760148,3.481,4620931,3.391,9373908,3.526,643823,3.660,970580,3.716,20496168,3.738,5134517,3.772,4568439,3.906,7878007,3.906,7887792,4.018,49481,4.018,11317882,4.197,14159569,4.197,10616482,4.241,10081783,4.387,184380,4.387,4753225,4.499,2646407,4.700,11147136,4.812,7135395,4.812,6167464
!,!,MZ002H-Pool20-P003C4-S036-T00,MZ002H-Pool20-P003C4-S036-T00.d,Sample,,5/9/2016 6:44 PM,,,1.086,3840752,1.120,3313130,1.276,146933,1.556,634406,1.645,1398505,1.612,16208,1.679,4124520,1.802,2218317,1.936,2113615,1.959,18332557,1.992,6744106,2.037,22131,1.992,3566540,2.003,1071582,2.037,11382838,2.048,8507526,2.171,1434640,2.216,155127,2.216,2583442,2.261,5876417,2.272,2478344,2.339,2352436,2.361,7678082,2.384,2908250,2.484,2673035,2.529,2556219,2.518,477782,2.529,4507430,2.764,1858798,2.876,457219,2.854,5971182,2.909,1020994,2.999,69250,3.066,85150,3.111,13760250,3.044,3756456,3.144,1668832,3.200,1354589,3.323,2263714,3.279,5109980,3.301,3013019,3.290,813439,3.480,4847653,3.390,9545485,3.525,700189,3.659,894363,3.715,20488880,3.737,5038812,3.771,4333768,3.905,7651713,3.905,7651853,4.017,63171,4.017,11639590,4.196,13920730,4.185,11296167,4.241,9826203,4.397,168278,4.386,4919999,4.498,2689881,4.699,11636793,4.811,8289978,4.811,5522903
!,!,MZ002H-Pool20-P003C1-S033-T12,MZ002H-Pool20-P003C1-S033-T12.d,Sample,,5/9/2016 9:19 PM,,,1.088,3668631,1.121,3580064,1.278,155952,1.546,778426,1.636,2103070,1.602,19144,1.669,4370353,1.792,2351430,1.938,2065388,1.960,19525128,1.994,6995483,,,1.994,3834484,1.994,1036608,2.039,11710733,2.050,7710738,2.162,1244326,2.218,138087,2.218,2435784,2.262,6406621,2.273,2751612,2.341,2575836,2.363,8238538,2.385,3485568,2.486,2782309,2.531,2736260,2.520,471304,2.531,5005079,2.766,2144080,2.878,508677,2.855,6830829,2.911,1182273,3.001,77043,3.068,94879,3.112,15014339,3.045,4253740,3.146,1961130,3.191,1768966,3.325,2739894,3.280,5669625,3.303,3374940,3.291,825955,3.482,4806192,3.392,10148226,3.526,2268,3.661,1192436,3.717,22470038,3.739,3975522,3.772,5278731,3.895,7960544,3.895,7924331,4.019,61703,4.019,13044010,4.197,16557370,4.186,11625023,4.242,11810758,4.388,196529,4.388,5291663,4.500,3165752,4.701,12522915,4.813,6035841,4.802,84880
!,!,MZ002H-Pool20-P003C2-S034-T12,MZ002H-Pool20-P003C2-S034-T12.d,Sample,,5/9/2016 11:54 PM,,,1.064,4196075,1.109,3904034,1.276,164535,1.545,901995,1.645,1746467,1.634,46601,1.668,5014893,1.791,2491675,1.936,2320781,1.959,20758707,1.992,7356177,1.880,18112,1.992,4037445,2.003,1064634,2.037,13421293,2.048,8768503,2.160,1272112,2.216,170046,2.216,2319176,2.261,6571589,2.272,2771888,2.339,2526166,2.361,7787075,2.384,3442371,2.484,2630122,2.529,2795210,2.518,391655,2.529,5212665,2.764,1929149,2.876,485679,2.854,6015490,2.909,983700,2.999,90297,3.066,237643,3.111,14781171,3.044,3597529,3.144,1565984,3.200,1642669,3.312,2209167,3.279,5279653,3.301,2895683,3.290,733130,3.469,7759028,3.390,7958607,3.525,526802,3.659,1154658,3.715,17389566,3.737,2487168,3.771,4357308,3.905,7440524,3.905,7432967,4.017,47780,4.017,13811735,4.196,17250787,4.196,12202928,4.241,12920795,4.386,230039,4.386,5090882,4.498,3376470,4.699,12676652,4.811,8400822,4.811,30300
!,!,MZ002H-Pool20-P003C3-S035-T12,MZ002H-Pool20-P003C3-S035-T12.d,Sample,,5/10/2016 2:29 AM,,,1.076,3922536,1.121,2871564,1.277,131137,1.557,762352,1.646,1967019,1.669,43429,1.669,4128210,1.792,2331203,1.937,2034674,1.959,18506265,1.993,6208291,2.038,12429,1.993,3432462,2.004,1042871,2.038,11063636,2.049,8205751,2.161,1092069,2.217,169850,2.217,2378385,2.261,5670536,2.273,2362304,2.340,2183994,2.362,7096702,2.385,2721177,2.485,2468871,2.530,3199654,2.519,344516,2.530,4572946,2.765,1847168,2.866,456155,2.854,5722163,2.910,1047002,3.000,86813,3.067,151356,3.112,13440471,3.045,3769701,3.145,1444967,3.201,1486518,3.313,2715403,3.268,4879981,3.302,2963882,3.291,648492,3.470,4961481,3.391,7937527,3.526,601815,3.660,1132874,3.716,19072483,3.738,2942112,3.772,4669860,3.895,8466546,3.895,8460024,4.018,54199,4.018,12527191,4.197,14952932,4.186,10585049,4.241,11503878,4.387,175841,4.387,4370793,4.499,2890199,4.700,10646228,4.812,7677295,4.812,753657
