Sample,,,,,,,CLOPIDOGREL SULFATE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,PIDOTIMOD Results,,AMINOGLUTETHIMIDE Results,,APOMORPHINE HYDROCHLORIDE Results,,AZATADINE MALEATE Results,,AMISULPRIDE Results,,IS_EMETINE Results,,METHYLPHENIDATE HYDROCHLORIDE Results,,METOPROLOL TARTRATE Results,,TACRINE HYDROCHLORIDE Results,,ZIDOVUDINE [AZT] Results,,FAMCICLOVIR Results,,IS_CAFFEINE Results,,ACEBUTOLOL HYDROCHLORIDE Results,,IS_YOHIMBINE Results,,PITAVASTATIN CALCIUM  Results,,METICRANE Results,,IS_SULFAMETHOXAZOLE Results,,PYRIMETHAMINE Results,,TAMSULOSIN HYDRCHLORIDE Results,,TERAZOSIN HYDROCHLORIDE Results,,NOSCAPINE HYDROCHLORIDE Results,,KETOTIFEN FUMARATE Results,,CLOZAPINE Results,,IS_EYTHROMYCINE Results,,METHOCARBAMOL Results,,RANOLAZINE Results,,MEBHYDROLIN NAPHTHALENESULFONATE Results,,ENALAPRIL MALEATE Results,,TENOXICAM Results,,DULOXETINE HYDROCHLORIDE Results,,CARVEDILOL Results,,PREDNISONE Results,,CAMYLOFINE DIHYDROCHLORIDE Results,,DOXAZOSIN MESYLATE Results,,METOLAZONE Results,,SOLIFENACIN SUCCINATE Results,,THIOTHIXENE Results,,DIPYRIDAMOLE Results,,PENBUTOLOL SULFATE Results,,BENZTHIAZIDE Results,,DABIGATRAN ETEXILATE MESYLATE Results,,METHOXSALEN Results,,ENTACAPONE Results,,REBAMIPIDE Results,,TOLAZAMIDE Results,,OLMESARTAN MEDOXOMIL Results,,KETOROLAC TROMETHAMINE Results,,IS_MIFEPRISTONE Results,,MIFEPRISTONE Results,,SULINDAC Results,,LOSARTAN Results,,REPAGLINIDE Results,,DEFLAZACORT Results,,BEZAFIBRATE Results,,ISRADIPINE Results,,DIFLORASONE DIACETATE Results,,ETODOLAC Results,,MEGESTROL ACETATE Results,,IS_IPRIFLAVONE Results,,DANAZOL Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool20-P002A1-S013-T12,MZ002H-Pool20-P002A1-S013-T12.d,Sample,,5/3/2016 12:42 AM,,,1.077,7742968,1.122,5720782,1.290,234697,1.558,1518498,1.647,4939938,1.726,6148,1.681,12364258,1.771,10360952,1.950,4901548,1.961,31348611,1.994,13186871,2.061,21087,2.005,0,2.005,2763823,2.039,21023967,2.061,19065735,2.162,6138715,2.229,494500,2.218,10385219,2.274,16829895,2.285,7098336,2.341,7481842,2.375,15342120,2.386,7806428,2.498,7096169,2.587,160277,2.531,1805802,2.542,12889492,2.777,6160370,2.878,771994,2.867,11629571,2.923,2603016,3.001,53813,3.079,234659,3.124,22209851,3.057,8943123,3.158,2749194,3.214,2790464,3.325,6090568,3.281,6493586,3.314,4765083,3.303,1489381,3.482,16264190,3.404,9304856,3.549,0,3.661,863610,3.739,21106705,3.739,988914,3.784,5273685,3.896,11830954,3.896,11859582,4.030,194245,4.019,15803649,4.198,19078146,4.209,79172,4.254,12536242,4.399,330583,4.399,4592416,4.522,3311197,4.712,15622597,4.824,10230934,4.824,249599
!,!,MZ002H-Pool20-P002A2-S014-T12,MZ002H-Pool20-P002A2-S014-T12.d,Sample,,5/3/2016 3:16 AM,,,1.074,5752812,1.107,4402426,1.286,187878,1.555,1043094,1.644,3260959,1.610,9384,1.678,8205890,1.734,5821945,1.946,3580330,1.968,25198991,1.991,10530489,2.047,13670,1.991,0,2.002,1755663,2.047,17258995,2.058,12838679,2.170,2736221,2.215,264354,2.215,4810976,2.270,10447354,2.282,4336061,2.349,5268176,2.371,12263935,2.382,5986310,2.494,5545640,2.539,3394859,2.528,912156,2.539,8103354,2.774,3815280,2.886,687848,2.863,9542794,2.919,2232417,2.998,62494,3.076,184947,3.121,19449021,3.054,7439965,3.154,2728466,3.210,2372935,3.322,5392477,3.277,8200361,3.311,4295117,3.300,1299712,3.479,15425679,3.400,10115398,3.523,0,3.669,898437,3.736,22077077,3.736,1829302,3.781,5224641,3.904,12796328,3.904,12770396,4.027,218448,4.016,16189603,4.195,19460660,4.206,1236531,4.250,12778583,4.407,359567,4.407,6042066,4.519,3456828,4.709,16369515,4.832,13021921,4.821,863839
!,!,MZ002H-Pool20-P002A1-S016-T12,MZ002H-Pool20-P002A1-S016-T12.d,Sample,,5/3/2016 8:26 AM,,,1.077,7098419,1.111,6346896,1.279,288903,1.558,1607098,1.648,4494187,1.704,3391,1.681,11574303,1.804,8049643,1.950,5226744,1.961,32029137,1.995,13281408,1.838,47263,1.995,0,2.006,2738238,2.039,21117325,2.062,17466441,2.162,6140322,2.218,449443,2.218,9867554,2.263,16521695,2.274,6654973,2.341,6863665,2.364,13969991,2.386,6779236,2.498,6358943,2.543,100282,2.532,1910860,2.543,11829384,2.778,6092430,2.878,732103,2.867,11139784,2.923,2325836,3.001,50190,3.080,227177,3.136,20247712,3.046,8060620,3.158,2533817,3.225,2603123,3.326,4742736,3.281,8395554,3.315,4232614,3.292,1382286,3.482,17480112,3.393,9502761,3.527,0,3.661,743654,3.740,19267788,3.740,748467,3.784,4671743,3.896,9670958,3.896,9648081,4.031,189816,4.019,14267769,4.198,18221439,4.198,0,4.254,11876945,4.400,289480,4.400,2874199,4.512,3004766,4.713,14261377,4.825,10658628,4.814,89067
!,!,MZ002H-Pool20-P002C1-S021-T00,MZ002H-Pool20-P002C1-S021-T00.d,Sample,,5/3/2016 11:01 AM,,,1.074,4641148,1.119,3501816,1.287,165111,1.555,702197,1.645,1781851,1.611,58528,1.678,5125110,1.734,3687801,1.947,2815604,1.969,20675612,1.991,8048798,2.036,11546,2.003,3866632,2.003,1304661,2.047,13361081,2.058,9492651,2.170,1675973,2.226,185191,2.226,2903692,2.271,6313715,2.271,2522945,2.349,2901743,2.372,9571788,2.394,3718072,2.495,3162459,2.539,3240423,2.528,578294,2.539,5670911,2.774,2216563,2.875,544801,2.864,6427602,2.920,1245781,3.009,77583,3.076,79471,3.110,16372547,3.043,4720587,3.155,1833036,3.211,1608231,3.311,2268002,3.278,5575618,3.311,3640524,3.300,909214,3.479,6121269,3.390,11964804,3.535,631194,3.669,950463,3.736,23769547,3.736,5805384,3.781,4796214,3.893,9287626,3.893,9287626,4.027,18254,4.016,13640189,4.195,15726445,4.206,12594291,4.251,11463439,4.408,247719,4.396,5987379,4.519,3173326,4.710,13298642,4.833,9762141,4.821,5282025
!,!,MZ002H-Pool20-P002C2-S022-T00,MZ002H-Pool20-P002C2-S022-T00.d,Sample,,5/3/2016 1:35 PM,,,1.063,4519256,1.107,3912255,1.275,172479,1.555,814744,1.644,1573239,1.611,38805,1.667,6215520,1.734,3610694,1.946,2871756,1.958,21846780,1.991,8478064,2.036,13226,1.991,4299803,2.002,1253903,2.036,13771917,2.058,8700098,2.170,1874632,2.215,201384,2.215,3098262,2.260,6523050,2.271,2758795,2.338,3113416,2.371,10268693,2.383,4279958,2.483,3630999,2.539,3293645,2.528,618530,2.539,6281071,2.774,2610390,2.886,571086,2.864,7281598,2.920,1483742,3.009,87987,3.076,90928,3.110,17049612,3.043,5207219,3.154,2076440,3.210,1641744,3.322,2496434,3.278,6224541,3.311,3632224,3.300,996799,3.479,8089420,3.401,11800498,3.535,589937,3.669,1068945,3.736,23505861,3.736,5150155,3.781,5300166,3.893,9440103,3.893,9433236,4.027,16548,4.016,14338916,4.195,17263125,4.206,13472378,4.251,12147386,4.396,266568,4.396,6610985,4.519,3475769,4.709,13749428,4.821,12306429,4.821,8076069
!,!,MZ002H-Pool20-P002C3-S023-T00,MZ002H-Pool20-P002C3-S023-T00.d,Sample,,5/3/2016 4:10 PM,,,1.077,4626123,1.110,3627683,1.278,165264,1.558,720930,1.647,1615735,1.614,33086,1.670,5739557,1.737,3569796,1.949,2687324,1.961,20253245,1.994,7847244,2.028,14322,1.994,4008196,2.005,1287646,2.039,12912140,2.050,8825428,2.162,1651258,2.218,202978,2.218,3034746,2.263,6289690,2.274,2351820,2.341,2928719,2.363,9037733,2.386,3748446,2.486,3411291,2.542,3047422,2.531,603074,2.542,5705322,2.777,2414005,2.878,555274,2.867,7025379,2.923,1362064,3.012,72257,3.079,74554,3.113,14856984,3.046,4671788,3.158,1861510,3.213,1500381,3.314,2819981,3.281,5422716,3.314,3436115,3.303,926131,3.482,6757534,3.392,11567760,3.538,508144,3.661,944540,3.728,23164296,3.739,4975919,3.784,5148657,3.896,9346870,3.896,9346870,4.030,19567,4.019,13035997,4.187,15525910,4.198,12202480,4.254,11214932,4.399,217929,4.399,5883001,4.511,2978827,4.701,12882786,4.824,9913703,4.813,7166319
!,!,MZ002H-Pool20-P002C1-S024-T00,MZ002H-Pool20-P002C1-S024-T00.d,Sample,,5/3/2016 6:44 PM,,,1.075,4284576,1.120,3150198,1.288,145139,1.556,699314,1.646,1672890,1.612,40204,1.668,5062239,1.735,3629772,1.948,2627015,1.959,19632997,1.993,7541137,2.037,12158,1.993,3842559,2.004,1269071,2.037,12366224,2.060,8965793,2.172,1534246,2.216,193828,2.216,2941771,2.261,5997627,2.272,2333364,2.339,2878360,2.362,8666504,2.384,3708084,2.485,3323955,2.541,3143853,2.530,601659,2.541,5418261,2.776,2328792,2.876,544678,2.865,6903041,2.921,1318441,3.011,79651,3.078,59766,3.111,14877070,3.044,4734640,3.156,1774337,3.212,1549574,3.324,2879557,3.279,5572877,3.313,3517622,3.301,948179,3.480,5812913,3.391,11069170,3.536,244688,3.659,943611,3.726,23022918,3.738,5284652,3.782,4957586,3.894,9902362,3.894,9911279,4.028,29533,4.017,12935707,4.185,15579260,4.196,12742709,4.252,10853782,4.398,241584,4.398,5933193,4.509,2832273,4.711,13150899,4.823,12530216,4.812,2234422
!,!,MZ002H-Pool20-P002C1-S021-T12,MZ002H-Pool20-P002C1-S021-T12.d,Sample,,5/3/2016 9:19 PM,,,1.066,4548749,1.110,3749557,1.278,172154,1.558,758720,1.636,2237776,1.614,37873,1.670,4842832,1.737,3452195,1.949,2119353,1.961,19454825,1.994,7507541,1.894,25696,1.994,3703049,2.005,1250895,2.039,13121235,2.050,9548714,2.162,1315097,2.218,196270,2.218,2860820,2.263,6119651,2.274,2537204,2.341,2706249,2.363,7710363,2.386,3575582,2.486,3053833,2.542,2922825,2.531,547158,2.542,5252366,2.777,2118692,2.878,502968,2.867,5599976,2.923,1212093,3.012,83670,3.079,84324,3.113,14769491,3.046,4477636,3.158,1695625,3.213,1755385,3.314,2737305,3.281,5305692,3.314,3454792,3.292,896652,3.482,6205363,3.392,10717380,3.504,0,3.661,849587,3.728,22524059,3.739,3500522,3.784,4696118,3.896,8897820,3.896,8927374,4.019,27390,4.019,12816001,4.187,15562730,4.198,11392785,4.243,11285941,4.399,231626,4.399,5652358,4.511,3098949,4.701,12592189,4.824,8604548,4.813,42270
!,!,MZ002H-Pool20-P002C2-S022-T12,MZ002H-Pool20-P002C2-S022-T12.d,Sample,,5/3/2016 11:54 PM,,,1.066,4843333,1.111,3585781,1.279,184361,1.558,800957,1.637,1556830,1.603,58030,1.670,5356625,1.737,3561348,1.939,2323450,1.961,21812067,1.983,7424244,2.039,9262,1.995,4096215,2.006,1167955,2.039,13349036,2.050,8438538,2.162,1376347,2.218,177067,2.218,2921525,2.263,6535528,2.274,2634657,2.341,3084059,2.364,8122544,2.375,3934977,2.487,3252549,2.543,3353318,2.543,217910,2.543,5826941,2.778,2207792,2.878,566767,2.867,6400080,2.923,1117440,3.001,85256,3.068,131379,3.113,15740294,3.046,4441276,3.158,1882749,3.214,1730051,3.315,1974429,3.281,5278289,3.315,2932555,3.292,928993,3.482,10536168,3.393,10332942,3.516,0,3.661,1017070,3.728,21566829,3.728,1834633,3.784,4746690,3.896,8597031,3.896,8598945,4.019,22810,4.019,14805934,4.187,16551721,4.198,12722618,4.243,13190016,4.400,224291,4.400,6244027,4.511,3567200,4.702,13005627,4.825,11612404,,
!,!,MZ002H-Pool20-P002C3-S023-T12,MZ002H-Pool20-P002C3-S023-T12.d,Sample,,5/4/2016 2:29 AM,,,1.077,4943014,1.122,3576994,1.290,171103,1.558,783224,1.648,1205533,1.659,45412,1.670,5071160,1.748,3420439,1.939,2224348,1.961,21115174,1.983,7728190,2.039,12187,1.994,3970290,2.006,1168517,2.039,12600889,2.050,8464509,2.162,1327312,2.218,174949,2.218,2959361,2.263,6269035,2.274,2589540,2.341,2674050,2.364,7843706,2.386,3740949,2.487,3232123,2.543,3468563,2.554,103038,2.543,5779756,2.777,2212684,2.878,558172,2.867,6367787,2.923,1105530,3.012,84296,3.068,113311,3.113,14857180,3.046,4319486,3.158,1760740,3.214,1715833,3.314,3047846,3.281,5214981,3.303,3271739,3.292,872814,3.482,9475374,3.393,9524086,3.505,0,3.661,1063066,3.728,20460747,3.739,2527848,3.784,4783659,3.896,9293783,3.896,9284158,4.030,33919,4.019,13968304,4.187,16195825,4.198,11564998,4.243,12367235,4.399,226284,4.399,6237225,4.511,3318080,4.702,13332077,4.825,9982143,4.813,36409
