Sample,,,,,,,ATORVASTATIN CALCIUM Results,,NIZATIDINE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,FLUOXETINE Results,,PIDOTIMOD Results,,OLANZAPINE Results,,ROPINIROLE HYDROCHLORIDE Results,,TINIDAZOLE Results,,DESVENLAFAXINE SUCCINATE Results,,QUININE SULFATE Results,,IS_EMETINE Results,,IS_CAFFEINE Results,,DABIGATRAN ETEXILATE MESYLATE Results,,IS_YOHIMBINE Results,,TRIMETHOBENZAMIDE HYDROCHLORIDE Results,,BUPROPION Results,,ROSIGLITAZONE MALEATE Results,,PALIPERIDONE Results,,IS_SULFAMETHOXAZOLE Results,,TERAZOSIN HYDROCHLORIDE Results,,NOSCAPINE HYDROCHLORIDE Results,,BAMBUTEROL HYDROCHLORIDE Results,,ELETRIPTAN HYDROBROMIDE Results,,ANTAZOLINE PHOSPHATE Results,,PRAZOSIN HYDROCHLORIDE Results,,DOMPERIDONE Results,,IS_EYTHROMYCINE Results,,CITALOPRAM HYDROBROMIDE Results,,SPIPERONE Results,,CYCLOPHOSPHAMIDE Results,,DIPERODON HYDROCHLORIDE Results,,PERICIAZINE Results,,TRIHEXYPHENIDYL HYDROCHLORIDE Results,,PAROXETINE HYDROCHLORIDE Results,,METHSUXIMIDE Results,,OXCARBAZEPINE Results,,LETROZOLE Results,,BENZTHIAZIDE Results,,PHENYTOIN SODIUM Results,,PIMOZIDE Results,,METAXALONE Results,,BROMOCRIPTINE MESYLATE Results,,MEBENDAZOLE Results,,FLUPHENAZINE HYDROCHLORIDE Results,,DICYCLOMINE HYDROCHLORIDE Results,,RILUZOLE Results,,REBAMIPIDE Results,,GRISEOFULVIN Results,,DEXAMETHASONE Results,,IS_MIFEPRISTONE Results,,LOSARTAN Results,,IRBESARTAN Results,,BEZAFIBRATE Results,,SULFASALAZINE Results,,TRANILAST Results,,NITRENDIPINE Results,,RACECADOTRIL Results,,FINASTERIDE Results,,CYPROTERONE ACETATE Results,,BETAMETHASONE VALERATE Results,,PACLITAXEL Results,,IS_IPRIFLAVONE Results,,IDEBENONE Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool14-P002A1-S013-T12,MZ002H-Pool14-P002A1-S013-T12.d,Sample,,5/3/2016 12:22 AM,,,1.055,3169617,1.077,7456645,1.110,6157464,1.178,4153769,1.278,236068,1.357,1164028,1.636,2556752,1.681,0,1.770,7349762,1.826,8712268,1.748,10445325,1.994,3088166,2.005,729784,2.039,21374521,2.140,21420591,2.162,6188506,2.229,4629216,2.240,11919181,2.207,9456564,2.330,8155208,2.352,15651546,2.352,15494281,2.464,9753192,2.464,7751540,2.520,19204767,2.520,1876396,2.576,175558,2.621,23123816,2.665,12730784,2.822,7364530,2.889,21390154,2.911,269242,3.023,18080600,3.046,9458642,3.102,184915,3.169,8254772,3.191,331521,3.281,1910678,3.392,494375,3.426,9507921,3.504,3909005,3.549,257516,3.605,3219580,3.616,2023220,3.605,8200033,3.627,1636056,3.650,860988,3.818,14739013,3.851,658340,3.885,7878717,4.008,17310768,4.086,29852915,4.231,13612890,4.243,323790,4.377,166420,4.366,30342,4.422,0,4.455,17036203,4.623,12168430,4.724,2307455,4.623,149244,4.813,10695029,4.891,10168819
!,!,MZ002H-Pool14-P002A2-S014-T12,MZ002H-Pool14-P002A2-S014-T12.d,Sample,,5/3/2016 2:57 AM,,,1.053,2228545,1.064,5331914,1.109,4481673,1.176,3460365,1.277,173479,1.333,711412,1.635,1665589,1.668,0,1.769,4588774,1.814,5393936,1.713,5865645,1.993,1989605,2.004,2723980,2.037,14256805,2.149,13242259,2.160,3679319,2.216,2392864,2.239,4605423,2.205,5154341,2.328,5358135,2.350,12454693,2.350,12333708,2.462,7420389,2.462,5599168,2.518,12446112,2.518,976591,2.529,3425065,2.619,18904937,2.664,9854779,2.820,5654079,2.887,18885808,2.910,493848,3.022,15018074,3.044,6887151,3.100,145287,3.167,6642883,3.189,235103,3.279,1581376,3.391,474808,3.424,7429007,3.503,3575417,3.547,240029,3.603,3209889,3.615,2155621,3.603,8580381,3.626,1768228,3.648,929858,3.827,14249078,3.849,640205,3.883,8739653,4.006,16653385,4.084,28557512,4.230,12607686,4.241,1564316,4.386,154811,4.364,25826,4.420,0,4.453,16104850,4.621,11710375,4.722,2207330,4.610,144041,4.811,12580677,4.901,10302523
!,!,MZ002H-Pool14-P002A1-S016-T12,MZ002H-Pool14-P002A1-S016-T12.d,Sample,,5/3/2016 8:06 AM,,,1.042,2472876,1.076,7635298,1.109,6061783,1.165,4213459,1.266,242201,1.355,1120936,1.635,2178742,1.669,0,1.769,6968791,1.836,7351110,1.792,8236516,1.993,3009415,2.004,0,2.038,19666584,2.150,20181444,2.161,5953331,2.228,4036544,2.239,10021227,2.206,9007027,2.329,6645334,2.351,14011416,2.362,12650437,2.463,7774318,2.463,6329960,2.530,15893697,2.519,1664117,2.530,71587,2.631,20404982,2.664,10533724,2.821,6274897,2.888,17875032,2.910,331351,3.022,15551457,3.045,7903067,3.100,163650,3.168,7030189,3.190,259669,3.279,1549369,3.391,462243,3.425,6627661,3.503,2983643,3.548,179687,3.604,2667520,3.615,1304422,3.604,7188982,3.626,1349650,3.649,700556,3.816,12065187,3.850,536293,3.883,6709158,4.007,14615606,4.085,26583332,4.230,11657597,4.241,14285,4.387,138256,4.353,20459,4.432,0,4.454,14705624,4.622,10491721,4.722,1905226,4.611,135561,4.812,11131590,4.890,8645750
!,!,MZ002H-Pool14-P002C1-S021-T00,MZ002H-Pool14-P002C1-S021-T00.d,Sample,,5/3/2016 10:41 AM,,,1.054,1838813,1.077,3573996,1.110,3747663,1.177,3089079,1.278,151632,1.334,473549,1.636,1026195,1.669,696634,1.770,2814177,1.815,3245550,1.725,3404721,1.994,1337615,1.994,2118957,2.039,9815255,2.150,8275204,2.150,1940028,2.218,1399483,2.240,2779933,2.206,3080657,2.329,2969129,2.352,8033237,2.352,7256764,2.464,4085084,2.464,3220815,2.520,7184904,2.520,605484,2.531,2267583,2.631,12360472,2.665,5550962,2.822,3642379,2.889,11081292,2.911,263984,3.023,10204777,3.034,3665563,3.101,95844,3.168,4980377,3.191,179910,3.280,1027772,3.392,430053,3.426,3068456,3.504,3796866,3.549,261936,3.605,2883400,3.605,1681512,3.605,5090924,3.627,1241685,3.649,611371,3.817,11096198,3.851,477989,3.884,5142497,4.007,11184886,4.086,21343109,4.231,8636334,4.242,2896444,4.388,116234,4.354,538991,4.421,6885167,4.455,10949327,4.623,6469339,4.723,1078071,4.623,81456,4.813,7383818,4.891,4962921
!,!,MZ002H-Pool14-P002C2-S022-T00,MZ002H-Pool14-P002C2-S022-T00.d,Sample,,5/3/2016 1:16 PM,,,1.053,1499432,1.076,3761939,1.109,3704172,1.176,3045171,1.277,157157,1.322,472079,1.635,1074035,1.680,754632,1.769,2927416,1.825,3125693,1.724,3167918,1.993,1393767,1.993,2238163,2.038,9023276,2.150,8351306,2.161,1834820,2.217,1328619,2.239,2708282,2.205,3208621,2.329,2848187,2.351,8363909,2.351,7982917,2.463,4362584,2.463,3528478,2.530,7789362,2.519,546879,2.530,2711224,2.619,13014323,2.664,5728041,2.821,4141176,2.888,11583171,2.910,274498,3.022,10539310,3.044,3508854,3.100,103136,3.167,5037221,3.190,167682,3.279,1041277,3.391,373259,3.425,2678547,3.503,3616699,3.548,211650,3.604,2953480,3.604,1540463,3.615,4244070,3.626,1328371,3.648,709337,3.816,11761143,3.850,443533,3.883,5096780,4.006,11989004,4.085,22218052,4.230,9757823,4.241,3243694,4.376,129582,4.353,625193,4.420,7168367,4.454,11745422,4.622,6939414,4.722,1352629,4.611,96853,4.812,8270049,4.890,6440296
!,!,MZ002H-Pool14-P002C3-S023-T00,MZ002H-Pool14-P002C3-S023-T00.d,Sample,,5/3/2016 3:51 PM,,,1.040,1894047,1.062,4208451,1.107,3477056,1.174,2283978,1.275,142698,1.320,503653,1.633,1051446,1.678,598004,1.767,2808966,1.812,3017596,1.711,3590347,1.991,1471042,1.991,2327208,2.036,9701538,2.147,7857510,2.159,2054456,2.215,1228551,2.237,2521758,2.203,3151844,2.326,2801305,2.349,8508325,2.349,8019707,2.461,4523035,2.461,3653929,2.528,7643763,2.517,541533,2.528,3182719,2.628,13127717,2.662,6201008,2.819,4040170,2.886,12512977,2.908,298840,3.020,11036277,3.031,3789539,3.098,97570,3.165,5205502,3.188,169158,3.277,1015883,3.389,371397,3.423,2796259,3.501,3520672,3.546,222734,3.602,3160843,3.602,1753080,3.613,4911279,3.624,1275339,3.646,858060,3.825,12389456,3.859,428905,3.881,6787688,4.004,12930581,4.083,23843265,4.228,10694581,4.239,3513492,4.385,151631,4.362,628565,4.418,8361534,4.452,12836903,4.620,7825996,4.720,1442540,4.620,102600,4.810,11228540,4.899,7021312
!,!,MZ002H-Pool14-P002C1-S024-T00,MZ002H-Pool14-P002C1-S024-T00.d,Sample,,5/3/2016 6:25 PM,,,1.062,1836918,1.085,4303782,1.118,3128638,1.174,3245484,1.275,137947,1.331,485428,1.633,1074039,1.678,381330,1.767,2734302,1.812,3055555,1.711,3462157,1.991,1517055,1.991,2375471,2.036,9993013,2.148,8030841,2.159,2125731,2.215,1338821,2.237,2509048,2.203,2957768,2.327,2828168,2.349,8129615,2.360,7810773,2.461,4083615,2.461,3447509,2.528,7392306,2.517,534733,2.528,3078885,2.629,12787365,2.662,6043747,2.819,3747401,2.886,12125485,2.908,281596,3.020,11276277,3.031,3796933,3.098,101336,3.165,5236711,3.188,174068,3.277,1017641,3.389,426901,3.423,3333766,3.501,3727907,3.546,245413,3.602,3285886,3.602,2050765,3.602,6189237,3.624,1373526,3.646,818376,3.825,13005582,3.848,431019,3.881,7151011,4.004,13039551,4.083,24522840,4.228,10456734,4.239,3321231,4.385,150810,4.362,713818,4.418,8487305,4.452,13457185,4.620,8790332,4.720,1493222,4.608,106980,4.810,12298756,4.888,7614893
!,!,MZ002H-Pool14-P002C1-S021-T12,MZ002H-Pool14-P002C1-S021-T12.d,Sample,,5/3/2016 9:00 PM,,,1.042,2450787,1.064,4502925,1.109,3931639,1.176,3045142,1.277,187356,1.322,528181,1.635,1300525,1.657,0,1.769,3455149,1.814,3589488,1.724,3573003,1.993,1448560,1.993,2420591,2.038,10988397,2.149,9118962,2.149,2162179,2.216,1434837,2.239,1994413,2.205,2871757,2.328,3184329,2.351,8374025,2.351,9031481,2.463,4698884,2.463,4126589,2.519,8049306,2.519,612863,2.530,3018619,2.619,14705736,2.664,6873312,2.821,3672901,2.876,13232716,2.910,336263,3.022,13416910,3.033,4696170,3.100,121561,3.167,5988922,3.190,209580,3.279,1081735,3.380,535004,3.425,3470102,3.503,4101165,3.548,155790,3.604,3863984,3.604,2206828,3.604,5961413,3.626,1652159,3.648,880594,3.816,14471175,3.850,4225,3.883,6766013,4.006,14643786,4.085,26280088,4.230,12626315,4.241,0,4.375,172518,4.364,0,4.420,8012722,4.454,15542178,4.622,9919347,4.722,1423011,4.610,119804,4.812,10089589,4.890,7606854
!,!,MZ002H-Pool14-P002C2-S022-T12,MZ002H-Pool14-P002C2-S022-T12.d,Sample,,5/3/2016 11:35 PM,,,1.042,1596902,1.064,4260958,1.098,3821609,1.165,3328184,1.266,181629,1.322,624733,1.635,1264522,1.646,0,1.769,3214716,1.814,3280127,1.713,3228391,1.993,1290412,1.993,2482420,2.038,9079792,2.149,8498271,2.149,1771854,2.217,1351517,2.239,1470835,2.205,3000982,2.328,2926987,2.351,7338485,2.351,8567548,2.463,4639098,2.463,3760330,2.519,7771437,2.519,437554,2.530,3090799,2.619,14111539,2.664,5681558,2.821,3902701,2.888,11845512,2.910,282474,3.022,10875673,3.033,3440712,3.100,120815,3.167,5424723,3.190,179142,3.279,1042190,3.391,472277,3.425,871951,3.503,3381611,3.548,88873,3.604,2856681,3.604,888343,3.604,3517582,3.626,1422356,3.648,889960,3.816,12135757,3.850,438820,3.883,5437743,4.006,14589469,4.085,25431506,4.230,12637387,4.241,30073,4.376,158990,4.353,280366,4.420,5052794,4.454,14208007,4.622,8241196,4.722,1364871,4.610,111191,4.812,9466950,4.890,7420815
!,!,MZ002H-Pool14-P002C3-S023-T12,MZ002H-Pool14-P002C3-S023-T12.d,Sample,,5/4/2016 2:09 AM,,,1.044,2085299,1.077,4523154,1.111,3626576,1.167,134714,1.278,156812,1.334,415888,1.625,1057587,1.659,0,1.771,2780884,1.815,2984802,1.715,3212706,1.983,1376652,1.994,2330043,2.039,9610589,2.151,7742066,2.151,1604955,2.218,1227383,2.240,2005179,2.207,3243014,2.330,2752744,2.352,6772175,2.352,7733964,2.464,4294164,2.464,3431538,2.520,7161690,2.509,491275,2.531,3010666,2.621,12921386,2.666,6107570,2.811,3432656,2.878,11356754,2.900,290362,3.023,9986219,3.035,3534425,3.102,106377,3.169,4764870,3.180,157204,3.281,967184,3.381,424415,3.426,1959132,3.504,3119282,3.549,97111,3.605,2648036,3.605,1166486,3.605,3879588,3.628,1250892,3.650,816084,3.818,11089817,3.851,391480,3.885,6446353,4.008,13104796,4.086,23344937,4.232,11347947,4.232,39539,4.377,154269,4.366,0,4.422,7172819,4.455,12786240,4.623,7720976,4.724,1154646,4.612,100427,4.802,10148062,4.892,3306404
