Sample,,,,,,,IS_SPARTEINE Results,,NALOXONE HYDROCHLORIDE Results,,FENSPIRIDE HYDROCHLORIDE Results,,PIDOTIMOD Results,,TINIDAZOLE Results,,ROXATIDINE ACETATE HYDROCHLORIDE Results,,IS_EMETINE Results,,FAMCICLOVIR Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,IS_SULFAMETHOXAZOLE Results,,DIACETAMATE Results,,IS_EYTHROMYCINE Results,,VILAZODONE HYDROCHLORIDE Results,,PHENAZOPYRIDINE HYDROCHLORIDE Results,,DILTIAZEM HYDROCHLORIDE Results,,PERICIAZINE Results,,PANTOPRAZOLE Results,,FLUOXETINE Results,,ENTACAPONE Results,,METAXALONE Results,,MEBENDAZOLE Results,,RILUZOLE Results,,CETIRIZINE HYDROCHLORIDE Results,,QUINAPRIL HYDROCHLORIDE Results,,FAMPROFAZONE Results,,BISACODYL Results,,TELMISARTAN Results,,GRISEOFULVIN Results,,IS_MIFEPRISTONE Results,,BICALUTAMIDE Results,,IRBESARTAN Results,,DEFLAZACORT Results,,ARTEMISININ Results,,SULFASALAZINE Results,,NITRENDIPINE Results,,DIFLORASONE DIACETATE Results,,RACECADOTRIL Results,,LEVONORGESTREL Results,,ETODOLAC Results,,PACLITAXEL Results,,CYPROTERONE ACETATE Results,,NORETHINDRONE ACETATE Results,,DANAZOL Results,,IS_IPRIFLAVONE Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ009F-4Pool-P6-R04-T12,MZ009F-4Pool-P6-R04-T12.d,Sample,,2/22/2018 11:26 PM,1.020,1340702,1.166,1947927,1.166,2323529,1.278,86887,1.647,661366,1.781,990300,1.602,2352576,1.949,2775021,1.971,397858,1.949,2819113,2.184,869069,2.318,62012,2.441,937733,2.553,1645777,2.531,1352055,2.777,6665123,2.799,4103947,3.045,1999158,3.090,1261907,3.459,119440,3.426,1273978,3.526,2276239,3.549,1181028,3.549,3076508,3.526,4303231,3.616,5326403,3.728,1844,3.705,5451188,3.750,5030678,3.784,2444865,3.896,211601,4.007,8641440,4.097,4643478,3.974,2964,4.321,22227,4.265,480813,4.287,3652939,4.321,1288903,4.354,5177842,4.388,812162,4.500,68654,4.522,3709961,4.589,3636890,4.701,49428,4.701,4409250
,!,MZ009F-4Pool-P6-R06-T12,MZ009F-4Pool-P6-R06-T12.d,Sample,,2/22/2018 11:32 PM,1.032,1151002,1.189,1861232,1.178,2140151,1.289,68728,1.659,683967,1.793,1295874,1.614,2137830,1.949,2465794,1.983,333707,1.961,2352534,2.196,981130,2.330,115539,2.453,1053351,2.565,1323737,2.542,1167914,2.800,6448599,2.811,3930806,3.046,1981472,3.102,1100195,3.471,133332,3.437,1238034,3.538,2169708,3.538,1174076,3.549,3072952,3.527,4689743,3.583,5138279,3.628,31347,3.706,5888397,3.762,4887305,3.773,2411155,3.907,223031,4.008,9577842,4.097,4824547,4.254,1219,4.343,30900,4.276,487047,4.299,3502840,4.321,1618525,4.366,5231656,4.399,839846,4.511,73616,4.534,3693593,4.601,3670953,4.713,49913,4.713,4606381
,!,MZ009F-4Pool-P6-R08-T12,MZ009F-4Pool-P6-R08-T12.d,Sample,,2/22/2018 11:39 PM,1.031,1347768,1.165,1932406,1.165,2304398,1.277,81761,1.646,670398,1.780,1020644,1.601,2282211,1.948,2669810,1.971,379007,1.948,2654400,2.183,837108,2.284,1480,2.440,984161,2.552,1433839,2.530,1288060,2.776,6580440,2.798,3985095,3.056,2004561,3.089,1222556,3.458,125138,3.425,1308629,3.526,2174628,3.548,1170404,3.548,3038123,3.526,4306027,3.604,5301214,3.626,2201,3.693,5653139,3.749,4867699,3.783,2432912,3.895,209059,4.007,8967675,4.085,5076847,4.510,1390,4.297,20319,4.264,464397,4.286,3569753,4.320,1269555,4.353,5139186,4.387,816987,4.499,64296,4.521,3543723,4.600,3544444,4.700,37553,4.700,4286633
!,!,MZ009F-4Pool-P6-R10-T12,MZ009F-4Pool-P6-R10-T12.d,Sample,,2/22/2018 11:45 PM,1.031,1150497,1.177,1980975,1.177,2277042,1.289,80790,1.658,682021,1.792,1006083,1.613,2344723,1.949,2620527,1.982,388045,1.960,2700258,2.195,1129314,2.329,40386,2.452,957775,2.564,1498283,2.542,1277330,2.799,3772129,2.810,4282452,3.056,2000238,3.101,1208552,3.470,129820,3.436,1201036,3.537,2116955,3.548,1170204,3.560,2897605,3.526,4556169,3.582,5065714,3.638,4205,3.705,5757242,3.761,4763358,3.772,2493967,3.906,210521,4.007,9807991,4.096,4991505,,,4.331,23216,4.275,470702,4.287,3397437,4.320,1126037,4.365,5143827,4.399,812314,4.510,70659,4.533,3594852,4.600,3638523,4.712,32869,4.712,4429058
,!,MZ009F-4Pool-P6-R12-T12,MZ009F-4Pool-P6-R12-T12.d,Sample,,2/22/2018 11:52 PM,1.021,1260169,1.166,2043197,1.166,2347069,1.278,83443,1.647,690564,1.781,1041221,1.591,2392806,1.949,2780938,1.971,404899,1.949,2887185,2.184,848152,2.318,72105,2.441,968987,2.553,1490539,2.531,1298500,2.777,6904195,2.799,4214012,3.057,2036716,3.090,1242095,3.459,124777,3.426,1272465,3.526,2267637,3.549,1207439,3.549,3043192,3.526,4362569,3.605,5518611,3.627,13715,3.705,5700519,3.750,5108386,3.784,2674165,3.896,230679,4.008,8796887,4.097,4599557,4.500,2464,4.310,21521,4.265,492088,4.287,3623567,4.321,1385636,4.354,5302462,4.388,830561,4.500,66998,4.522,3791348,4.589,3691510,4.701,31066,4.701,4557974
!,!,MZ009F-4Pool-P6-R14-T12,MZ009F-4Pool-P6-R14-T12.d,Sample,,2/22/2018 11:58 PM,1.032,1232774,1.189,2083991,1.178,2396829,1.289,87268,1.659,696814,1.793,966258,1.614,2397282,1.950,2898017,1.983,406543,1.961,2875913,2.196,1137633,2.319,71923,2.442,919826,2.565,1544098,2.542,1373686,2.789,6961692,2.811,4243936,3.046,2103688,3.102,1256417,3.471,114684,3.437,1227029,3.538,2219541,3.549,1209447,3.549,2873750,3.527,4527726,3.583,5022051,3.628,11605,3.706,5678262,3.762,4997071,3.773,2279236,3.907,225755,4.008,9903542,4.097,5030720,,,4.332,18858,4.276,492177,4.288,3603692,4.321,1361322,4.366,5376689,4.399,850316,4.511,71130,4.534,3861691,4.601,3725486,4.701,25332,4.713,4791028
,!,MZ009F-4Pool-P6-R16-T12,MZ009F-4Pool-P6-R16-T12.d,Sample,,2/23/2018 12:04 AM,1.018,1483975,1.164,2006287,1.164,2363399,1.264,81934,1.645,647022,1.779,864774,1.600,2274664,1.947,2766238,1.969,378790,1.958,2622920,2.182,772050,2.316,31759,2.439,1023650,2.551,1416381,2.528,1284139,2.786,6901653,2.797,4171901,3.054,2123351,3.088,1263372,3.457,122178,3.434,1283170,3.524,2247157,3.546,1247258,3.546,2957460,3.524,4270237,3.613,5600487,3.625,6938,3.692,5490592,3.748,5259012,3.781,2591233,3.893,237149,4.005,10305157,4.083,5712714,4.520,1970,4.307,14202,4.262,495033,4.285,3814852,4.318,1256208,4.352,5610475,4.385,884221,4.497,69811,4.520,3839995,4.587,3911610,4.699,22666,4.699,4760520
!,!,MZ009F-4Pool-P6-C01-T12,MZ009F-4Pool-P6-C01-T12.d,Sample,,2/23/2018 12:11 AM,1.044,1185769,1.190,1966716,1.190,2259837,1.290,82255,1.660,725266,1.794,1062580,1.615,2330632,1.950,2763595,1.984,391561,1.962,2808346,2.196,1180160,2.320,124756,2.443,959308,2.566,1520221,2.543,1336684,2.789,6609199,2.812,4037697,3.047,1988302,3.103,1114862,3.472,141578,3.438,1201622,3.539,2137899,3.539,1121967,3.550,2890170,3.528,4431015,3.584,4620177,3.628,16845,3.696,5600737,3.763,4803079,3.774,2337183,3.908,207340,4.009,9765251,4.098,5200032,,,4.333,24714,4.277,465063,4.289,3481695,4.322,1488607,4.367,5071914,4.400,809064,4.512,65304,4.535,3589374,4.602,3442035,4.702,16816,4.714,4329486
,!,MZ009F-4Pool-P6-C02-T12,MZ009F-4Pool-P6-C02-T12.d,Sample,,2/23/2018 12:17 AM,1.021,1215362,1.166,2005724,1.166,2325076,1.278,91525,1.647,722875,1.781,1123918,1.602,2326717,1.949,2800925,1.972,406759,1.949,2852189,2.184,887504,2.318,149063,2.441,883970,2.553,1557765,2.531,1324376,2.777,6571382,2.799,4071903,3.046,2004272,3.090,1295911,3.459,139979,3.437,1276484,3.527,2196635,3.549,1147338,3.549,3014583,3.527,4253030,3.605,5178755,3.627,23089,3.706,5520488,3.750,4968432,3.784,2312480,3.896,212565,4.008,8518686,4.086,4678189,4.511,3991,4.298,28304,4.265,486362,4.287,3568790,4.321,1520403,4.354,5100791,4.388,819764,4.500,66988,4.522,3638077,4.589,3583322,4.701,17326,4.701,4237989
,!,MZ009F-4Pool-P6-C03-T12,MZ009F-4Pool-P6-C03-T12.d,Sample,,2/23/2018 12:24 AM,1.034,1136752,1.179,1975979,1.179,2275892,1.291,80405,1.660,734648,1.783,1335871,1.616,2332266,1.951,2752158,1.974,396783,1.962,2792162,2.197,1140549,2.320,186652,2.444,957258,2.567,1466042,2.533,1269706,2.790,6571278,2.813,4051202,3.048,2005871,3.104,1190908,3.473,140233,3.439,1239905,3.540,2152441,3.540,1137780,3.551,2989216,3.529,4643329,3.585,4890101,3.629,36144,3.696,5617316,3.764,4834308,3.775,2422365,3.909,204449,4.010,9287285,4.099,4703952,4.502,1191,4.334,35366,4.278,455911,4.289,3458843,4.323,1678756,4.368,5059594,4.401,814545,4.513,65401,4.535,3398511,4.603,3357181,4.714,12422,4.703,4318050
,!,MZ009F-4Pool-P6-C04-T12,MZ009F-4Pool-P6-C04-T12.d,Sample,,2/23/2018 12:30 AM,1.031,1202212,1.165,2089521,1.165,2420450,1.277,88791,1.646,792264,1.781,1437806,1.602,2434525,1.948,2782156,1.971,394603,1.960,2820256,2.183,841439,2.317,252100,2.441,966539,2.552,1570745,2.530,1413706,2.787,7003958,2.799,4256333,3.056,2027489,3.089,1283942,3.470,164624,3.425,1305724,3.526,2285312,3.548,1221091,3.548,3161184,3.526,4414767,3.615,5562310,3.638,45359,3.693,5799089,3.749,5302907,3.783,2611898,3.895,230441,4.007,9033947,4.085,4902822,4.499,2016,4.309,39894,4.264,524298,4.286,3684889,4.320,1898029,4.354,5469512,4.387,864639,4.499,71566,4.521,3830484,4.588,3815160,4.700,11356,4.700,4959681
,!,MZ009F-4Pool-P6-C05-T12,MZ009F-4Pool-P6-C05-T12.d,Sample,,2/23/2018 12:37 AM,1.030,1127905,1.175,2052404,1.175,2294513,1.287,88190,1.656,760990,1.790,1321595,1.611,2365750,1.947,2816541,1.981,418368,1.958,2890695,2.193,1171864,2.316,241871,2.450,902138,2.574,1481553,2.540,1429417,2.797,6617051,2.808,4140480,3.055,1938513,3.099,1226269,3.468,142678,3.435,1270978,3.547,2160105,3.547,1147349,3.547,2994597,3.524,4577497,3.580,4901664,3.726,3876,3.703,5774812,3.759,4834844,3.771,2397926,3.905,203690,4.005,9550173,4.095,4952318,3.938,452,4.330,42603,4.274,481447,4.296,3421734,4.319,1709738,4.363,5059658,4.397,809992,4.509,67638,4.531,3592704,4.598,3538499,4.710,10130,4.710,4480899
!,!,MZ009F-4Pool-P6-C06-T12,MZ009F-4Pool-P6-C06-T12.d,Sample,,2/23/2018 12:43 AM,1.030,1246510,1.176,1900937,1.176,2183071,1.276,81733,1.657,732009,1.780,1131141,1.601,2273687,1.948,2520174,1.970,397124,1.959,2812827,2.183,922940,2.317,75764,2.451,951534,2.552,1395728,2.529,1330239,2.787,3138526,2.798,4027458,3.055,1880067,3.089,1219614,3.458,138058,3.435,1293579,3.525,2208106,3.547,1146003,3.547,3049509,3.525,4220501,3.614,5058999,3.648,6312,3.704,5620410,3.760,4677225,3.782,2357199,3.894,193275,4.006,8220443,4.095,4246104,,,4.319,36336,4.263,460060,4.286,3337917,4.319,1217252,4.353,4877266,4.386,772680,4.509,63636,4.521,3388587,4.599,3351522,4.711,10041,4.700,4061516
,!,MZ009F-4Pool-P6-C07-T12,MZ009F-4Pool-P6-C07-T12.d,Sample,,2/23/2018 12:49 AM,1.031,1146613,1.187,2034804,1.176,2341785,1.288,76310,1.657,754881,1.792,1284308,1.613,2333154,1.948,2788750,1.982,392364,1.959,2768498,2.194,1119429,2.329,224929,2.452,995208,2.563,1467442,2.541,1306343,2.798,6675999,2.810,4140083,3.044,2061645,3.100,1194208,3.470,147108,3.436,1255814,3.548,2184939,3.548,1185221,3.548,3008797,3.525,4626306,3.581,4975327,3.626,37077,3.693,5762182,3.760,5048171,3.760,2417787,3.895,213955,3.995,9650076,4.096,5013932,4.085,692,4.331,44974,4.275,481890,4.286,3476990,4.320,1753028,4.365,5255246,4.398,830513,4.499,67132,4.521,3694572,4.588,3676756,4.711,7929,4.700,4722027
